address_1,senior_care_community_number_1,residence_hall_dormitory,state_province,worship_facility_gross_floor,supermarket_grocery_gross,census_tract,senior_care_community_number_2,energy_alerts,data_center_pdu_input_site,hotel_amount_of_laundry,estimated_data_flag_other,estimated_data_flag_natural,hospital_general_medical_5,senior_care_community_number_3,national_median_site_eui,refrigerated_warehouse_gross,site_energy_use_kbtu,weather_normalized_source,multifamily_housing_number_3,multifamily_housing_gross,supermarket_grocery_worker,supermarket_grocery_number_1,residence_hall_dormitory_4,hospital_general_medical,electricity_sourced_from,estimated_data_flag_diesel,bank_branch_worker_density,retail_store_gross_floor,multifamily_housing_maximum,k_12_school_cooking_facilities,multifamily_housing_number_4,medical_office_number_of,supermarket_grocery_percent,outdoor_water_use_all_water,hotel_gym_fitness_center,hotel_full_service_spa_floor,medical_office_percent_that,retail_store_number_of_walk,estimated_data_flag_fuel_1,supermarket_grocery_walk,supermarket_grocery_weekly,source_energy_use_kbtu,multifamily_housing_primary,bank_branch_weekly_operating,retail_store_exterior_entrance,data_center_national_median,k_12_school_refrigeration,percent_better_than_national,bank_branch_number_of_workers
647-651 West 171st St.,Not Available,Not Available,New York,Not Available,Not Available,253.0,Not Available,Not Available,Not Available,Not Available,Not Available,No,Not Available,Not Available,Not Available,Not Available,3320651.6,145,49,33605,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,6,Not Available,102,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,No,Not Available,Not Available,4967927.7,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
50 Park Avenue,Not Available,Not Available,New York,Not Available,Not Available,82.0,Not Available,Data > 120 days old<br>,Not Available,Not Available,Not Available,No,Not Available,Not Available,Not Available,Not Available,10252671,120.2,125,129565,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,18,Not Available,143,11,Not Available,Not Available,Not Available,Not Available,100,Not Available,Not Available,Not Available,Not Available,16462127.5,Fuel Oil (No. 5 and No. 6),Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
1742 Morris Avenue,Not Available,Not Available,New York,Not Available,Not Available,22901.0,Not Available,Not Available,Not Available,Not Available,Not Available,No,Not Available,Not Available,70,Not Available,595129.9,0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,833622.7,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
1070 HAVEMEYER AVE ENT,6,Not Available,New York,Not Available,Not Available,96.0,50,Data > 120 days old<br>,Not Available,Not Available,Not Available,No,Not Available,9,111.7,Not Available,16256985.2,278.7,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,36718050.9,Not Available,Not Available,Not Available,Not Available,Not Available,6.9,Not Available
3041 Broadway,Not Available,200000,New York,Not Available,Not Available,205.0,Not Available,Overlapping meter entries<br>,Not Available,Not Available,Not Available,No,Not Available,Not Available,74,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,220,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0.01,Not Available,Not Available
1780 Grand Concourse,Not Available,Not Available,New York,Not Available,Not Available,22901.0,Not Available,Not Available,Not Available,Not Available,Not Available,No,Not Available,Not Available,103.2,Not Available,10895666.3,157,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,29744530.5,Not Available,Not Available,Not Available,Not Available,Not Available,-41.4,Not Available
29 Broadway,Not Available,Not Available,New York,Not Available,Not Available,13.0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,107.3,Not Available,22011592.8,179.4,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,3.41,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,54103133,Not Available,55,Not Available,Not Available,Not Available,-31.8,15
505 E. 75th St,Not Available,Not Available,New York,Not Available,Not Available,132.0,Not Available,Not Available,142872,Not Available,Not Available,No,Not Available,Not Available,68.4,Not Available,8248030.7,142.4,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,1,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,23396394.8,Not Available,Not Available,Not Available,1.82,0.02,-26,Not Available
1330 Avenue of Americas,Not Available,Not Available,New York,Not Available,Not Available,104.0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,118.5,Not Available,65026125.6,256.2,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,134444120.7,Not Available,Not Available,Not Available,Not Available,Not Available,2.6,Not Available
300 Park Avenue,Not Available,Not Available,New York,Not Available,Not Available,102.0,Not Available,Not Available,Not Available,Not Available,Not Available,No,Not Available,Not Available,105.4,Not Available,49298235.2,160.2,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,2.51,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,121584734.8,Not Available,50,Not Available,Not Available,Not Available,-39.9,30
148-25 88th Avenue,Not Available,Not Available,New York,Not Available,Not Available,238.0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,149808.1,10.3,78,50070,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,6,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,500359,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
55 W 13th St,Not Available,Not Available,New York,Not Available,Not Available,63.0,Not Available,Data > 120 days old<br>,Not Available,Not Available,Not Available,No,Not Available,Not Available,104,Not Available,15578282.6,545.8,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,No,Not Available,Not Available,44539238.8,Not Available,Not Available,Not Available,Not Available,Not Available,87.2,Not Available
310 West Broadway,Not Available,Not Available,New York,Not Available,Not Available,47.0,Not Available,Not Available,Not Available,No laundry facility,Not Available,No,Not Available,Not Available,97.5,Not Available,22786411.3,283.3,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,2200,0,Not Available,Not Available,Not Available,Not Available,Not Available,53900960.2,Not Available,Not Available,Not Available,Not Available,Not Available,23.1,Not Available
115 East 90th Street,Not Available,Not Available,New York,Not Available,Not Available,14802.0,Not Available,Not Available,Not Available,Not Available,Not Available,No,Not Available,Not Available,Not Available,Not Available,2748323.3,81.2,47,55061,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,10,Not Available,80,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,4544942.2,Fuel Oil (No. 5 and No. 6),Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
161-04 Harry Van Arsdale Jr Avenue,Not Available,Not Available,New York,Not Available,Not Available,,Not Available,Data > 120 days old<br>,Not Available,Not Available,Not Available,No,Not Available,Not Available,Not Available,Not Available,37397004.8,157,Not Available,383000,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,62143299.1,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
730 Third Avenue,Not Available,Not Available,New York,Not Available,Not Available,92.0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,124.1,Not Available,58198870.4,262.9,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0.78,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,159338948.4,Not Available,52,Not Available,1.82,Not Available,-25.3,10
54 West 16th Street,Not Available,Not Available,New York,Not Available,1500,54.0,Not Available,Data > 120 days old<br>,Not Available,Not Available,Not Available,No,Not Available,Not Available,Not Available,Not Available,9511855.4,108.1,120,131720,1.33,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,1500,15,Not Available,126,Not Available,100,Not Available,Not Available,Not Available,Not Available,0,Not Available,0,105,14889035.6,Fuel Oil (No. 5 and No. 6),Not Available,1,Not Available,Not Available,Not Available,Not Available
210 West 19th Street,Not Available,Not Available,New York,Not Available,Not Available,87.0,Not Available,Data > 120 days old<br>,Not Available,Not Available,Not Available,No,Not Available,Not Available,Not Available,Not Available,2837433.7,83.9,60,51717,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,6,Not Available,60,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,4412001.2,Fuel Oil (No. 2),Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
222 East 41st St.,Not Available,Not Available,New York,Not Available,Not Available,88.0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,104.2,Not Available,26598082.9,218.9,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,80849793.9,Not Available,Not Available,Not Available,Not Available,Not Available,-33.7,Not Available
50 East 89th Street,Not Available,Not Available,New York,Not Available,Not Available,15002.0,Not Available,Not Available,Not Available,Not Available,Not Available,No,Not Available,Not Available,Not Available,Not Available,25075135.6,143.8,188,313271,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,32,Not Available,210,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,44183599.1,Natural Gas,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
110-11 Queens Boulevard,Not Available,Not Available,New York,Not Available,Not Available,75702.0,Not Available,Not Available,Not Available,Not Available,Not Available,No,Not Available,Not Available,Not Available,Not Available,65939790.1,194.6,405,490310,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,33,Not Available,591,2,Not Available,Not Available,Not Available,Not Available,100,Not Available,Not Available,Not Available,Not Available,93186652.3,Natural Gas,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
344 West 38th Street,Not Available,Not Available,New York,Not Available,Not Available,111.0,Not Available,Data > 120 days old<br>,Not Available,Not Available,Not Available,No,Not Available,Not Available,Not Available,Not Available,7436838.9,132.2,25,80392,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,50,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,11902073.5,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
250 Fort Washington Ave,Not Available,Not Available,New York,Not Available,Not Available,253.0,Not Available,Not Available,Not Available,Not Available,Not Available,No,Not Available,Not Available,Not Available,Not Available,3964537.6,187.2,43,30030,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,7,Not Available,70,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,5713404.6,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
158-13 72nd Ave,Not Available,Not Available,New York,Not Available,Not Available,122701.0,Not Available,Not Available,Not Available,Not Available,Not Available,No,Not Available,Not Available,Not Available,Not Available,10803946.6,231,Not Available,83763,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,18955095.8,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
524-534 West 23rd street,Not Available,Not Available,New York,Not Available,Not Available,99.0,Not Available,Not Available,Not Available,Not Available,Not Available,No,Not Available,Not Available,10,Not Available,5430408.4,83.7,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,10437684.5,Not Available,Not Available,Not Available,Not Available,Not Available,311.9,Not Available
202 Canal Street,Not Available,Not Available,New York,Not Available,Not Available,29.0,Not Available,Not Available,Not Available,Not Available,Not Available,No,Not Available,Not Available,81.4,Not Available,5009805.9,297.9,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,14734727.6,Not Available,Not Available,Not Available,Not Available,Not Available,25.4,Not Available
1359 Broadway,Not Available,Not Available,New York,Not Available,Not Available,109.0,Not Available,Not Available,Not Available,Not Available,Not Available,No,Not Available,Not Available,102.7,Not Available,26998733.3,148.2,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,70890171,Not Available,Not Available,Not Available,Not Available,Not Available,-44.1,Not Available
7 East 14th Street,Not Available,Not Available,New York,Not Available,8605,52.0,Not Available,Not Available,Not Available,Not Available,Not Available,No,Not Available,Not Available,Not Available,Not Available,46189536.3,173,495,408591,1.05,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,3107,22,Not Available,547,Not Available,100,Not Available,Not Available,Not Available,Not Available,0,Not Available,0.23,105,74069333,Natural Gas,Not Available,1,Not Available,Not Available,Not Available,Not Available
20 East 92 Street,Not Available,Not Available,New York,Not Available,Not Available,16001.0,Not Available,Not Available,Not Available,Not Available,Not Available,No,Not Available,Not Available,68.3,Not Available,6059939.2,175.1,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,1,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,14493938.9,Not Available,Not Available,Not Available,Not Available,0.02,4.3,Not Available
515 West 59th Street,Not Available,402707,New York,Not Available,Not Available,147.0,Not Available,Not Available,Not Available,Not Available,Not Available,No,Not Available,Not Available,109.2,Not Available,43834145.3,169,Not Available,Not Available,Not Available,Not Available,493,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,73751544.6,Not Available,Not Available,Not Available,Not Available,Not Available,-0.3,Not Available
110-45 Queens Boulevard,Not Available,Not Available,New York,Not Available,Not Available,75701.0,Not Available,Data > 120 days old<br>,Not Available,Not Available,Not Available,No,Not Available,Not Available,Not Available,Not Available,15433861.7,115.3,410,213900,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,33,Not Available,412,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,22977058.7,Natural Gas,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
45 West 27th Street,Not Available,Not Available,New York,Not Available,Not Available,58.0,Not Available,Not Available,Not Available,Not Available,Not Available,No,Not Available,Not Available,50.4,Not Available,742489.6,16.9,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,984542.1,Not Available,Not Available,Not Available,Not Available,Not Available,-74.8,Not Available
10 Teleport Drive,Not Available,Not Available,New York,Not Available,Not Available,29103.0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,166486410.9,4133.7,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,No,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,537375944.2,Not Available,Not Available,Not Available,1.82,Not Available,Not Available,Not Available
101 EAST 69TH STREET,Not Available,Not Available,New York,Not Available,Not Available,120.0,Not Available,Not Available,Not Available,Not Available,Not Available,No,Not Available,Not Available,171.6,Not Available,8331981540,124780.3,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,10093975241,Not Available,Not Available,Not Available,Not Available,Not Available,52118.5,Not Available
485 Madison Ave,Not Available,Not Available,New York,Not Available,Not Available,102.0,Not Available,Not Available,Not Available,Not Available,Not Available,No,Not Available,Not Available,115.7,Not Available,23020986.9,233.5,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,61326530.8,Not Available,Not Available,Not Available,Not Available,Not Available,-24.3,Not Available
166-05 HIGHLAND AVE PLP,Not Available,Not Available,New York,Not Available,Not Available,454.0,Not Available,Data > 120 days old<br>,Not Available,Not Available,Not Available,No,Not Available,Not Available,Not Available,Not Available,12361772.8,117.9,189,167857,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,419,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,18878210.8,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
111 Vrendenburg Ave.,Not Available,Not Available,New York,Not Available,74379,,Not Available,Not Available,Not Available,Not Available,Not Available,No,Not Available,Not Available,256.5,Not Available,14891738.6,520.2,Not Available,Not Available,0.74,37,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,70,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0.19,168,38726977,Not Available,Not Available,Not Available,Not Available,Not Available,-21.9,Not Available
610 Fifth Avenue,Not Available,Not Available,New York,Not Available,Not Available,104.0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,112.8,Not Available,16418431.3,318.4,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,16145,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,34135884.2,Not Available,Not Available,1,Not Available,Not Available,31,Not Available
130 Barrow Street,Not Available,Not Available,New York,Not Available,Not Available,69.0,Not Available,Not Available,Not Available,Not Available,Not Available,No,Not Available,Not Available,Not Available,Not Available,9132649.9,181.6,96,88227,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,6,Not Available,124,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,15412961.1,Natural Gas,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
300 PARK AVENUE SOUTH,Not Available,Not Available,New York,Not Available,Not Available,56.0,Not Available,Not Available,Not Available,Not Available,Not Available,No,Not Available,Not Available,115.6,Not Available,16460550.9,215.8,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,7600,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,7,Not Available,Not Available,Not Available,40814801.6,Not Available,Not Available,1,Not Available,Not Available,-22.9,Not Available
215 East 73rd Street,Not Available,Not Available,New York,Not Available,Not Available,126.0,Not Available,Not Available,Not Available,Not Available,Not Available,No,Not Available,Not Available,Not Available,Not Available,6383746.1,125.2,73,82199,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,11,Not Available,107,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,10499940.4,Fuel Oil (No. 5 and No. 6),Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
77 W 24th Street,Not Available,Not Available,New York,Not Available,Not Available,58.0,Not Available,Not Available,Not Available,Not Available,Not Available,No,Not Available,Not Available,Not Available,Not Available,25420537.7,179,301,269610,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,14901,29,Not Available,365,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,50557340.7,Not Available,Not Available,1,Not Available,Not Available,Not Available,Not Available
255 West 23rd Street,Not Available,Not Available,New York,Not Available,Not Available,91.0,Not Available,Not Available,Not Available,Not Available,Not Available,No,Not Available,Not Available,Not Available,Not Available,8706297.4,194.3,79,69545,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,6700,6,Not Available,90,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,15698294.1,Not Available,Not Available,1,Not Available,Not Available,Not Available,Not Available
1919 Williamsbridge Road,Not Available,Not Available,New York,Not Available,1200,250.0,Not Available,Not Available,Not Available,Not Available,Not Available,No,Not Available,Not Available,Not Available,Not Available,16829873.2,265.3,91,86425,2.5,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,2000,5,Not Available,351,5,100,Not Available,Not Available,Not Available,100,0,Not Available,0.83,80,23198516.2,Fuel Oil (No. 2),Not Available,1,Not Available,Not Available,Not Available,Not Available
53 WEST 23RD STREET,Not Available,Not Available,New York,Not Available,Not Available,58.0,Not Available,Not Available,Not Available,Not Available,Not Available,No,Not Available,Not Available,99,Not Available,16046642.7,148.3,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,56394,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,42074754.7,Not Available,Not Available,1,Not Available,Not Available,-40.9,Not Available
1850 Second Avenue,Not Available,Not Available,New York,Not Available,Not Available,15601.0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,1190577.2,64.3,48,64198,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,25,Not Available,58,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,3976527.9,Natural Gas,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
554 Cozine Ave,Not Available,Not Available,New York,Not Available,Not Available,1078.0,Not Available,Not Available,Not Available,Not Available,Not Available,No,Not Available,Not Available,60.6,Not Available,4014584.7,106.4,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,6936624.1,Not Available,Not Available,Not Available,Not Available,Not Available,-2.5,Not Available
419 East 57th Street,Not Available,Not Available,New York,Not Available,Not Available,10601.0,Not Available,Not Available,Not Available,Not Available,Not Available,No,Not Available,Not Available,Not Available,Not Available,7101065.2,80.8,92,136655,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,16,Not Available,122,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,11271303,Fuel Oil (No. 5 and No. 6),Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
257 West 117th Street,Not Available,Not Available,New York,Not Available,Not Available,218.0,Not Available,Not Available,Not Available,Not Available,Not Available,No,Not Available,Not Available,Not Available,Not Available,3602072.6,80.4,47,99886,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,8,Not Available,62,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,8000941.4,Natural Gas,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
150 East 52nd Street,Not Available,Not Available,New York,Not Available,Not Available,100.0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,87.6,Not Available,27922103.4,284.1,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,84057259.9,Not Available,Not Available,Not Available,Not Available,Not Available,7.1,Not Available
11 Madison Avenue,Not Available,Not Available,New York,Not Available,Not Available,56.0,Not Available,Not Available,Not Available,Not Available,Not Available,No,Not Available,Not Available,131.3,Not Available,237645862.8,298.3,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,779841692.6,Not Available,Not Available,Not Available,1.82,Not Available,-30.8,Not Available
"1130, 1132 St Nicholas Avenue",Not Available,Not Available,New York,Not Available,Not Available,,Not Available,Not Available,Not Available,Not Available,Not Available,No,Not Available,Not Available,68,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
50 Lefferts Avenue,Not Available,Not Available,New York,Not Available,Not Available,79801.0,Not Available,Less than 1 year of data<br>Data > 120 days old<br>,Not Available,Not Available,Not Available,No,Not Available,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
8700 25 AVE PLP,Not Available,Not Available,New York,Not Available,Not Available,302.0,Not Available,Data > 120 days old<br>,Not Available,Not Available,Not Available,No,Not Available,Not Available,Not Available,Not Available,9874652.2,134.2,125,120860,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,264,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,15103081.1,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
