property_name,city,swimming_pool_location_of,retail_store_number_of_open,retail_store_worker_density,senior_care_community_gross,target_site_eui_kbtu_ft,hotel_number_of_rooms,k_12_school_weekend_operation,hospital_general_medical_3,energy_star_certification_4,electricity_use_grid_purchase_1,swimming_pool_months_in_use,multifamily_housing_number_1,energy_current_date,natural_gas_use_kbtu,supermarket_grocery_cooking,data_center_it_site_energy,fuel_oil_4_use_kbtu,district_hot_water_use_kbtu,space_alerts,office_gross_floor_area_ft,avoided_emissions_offsite,estimated_data_flag_district_2,refrigerated_warehouse_weekly,swimming_pool_approximate,energy_star_certification_2,fuel_oil_2_use_kbtu,custom_property_id_1_id,multifamily_housing_percent,hospital_general_medical_4,bank_branch_percent_that,office_computer_density_number,hotel_room_density_number,hotel_worker_density_number,office_percent_that_can_be,longitude,multifamily_housing_number_2,property_floor_area_buildings,county,year_built,natural_gas_use_therms,senior_care_community_maximum,data_center_gross_floor_area,non_refrigerated_warehouse,district_steam_use_kbtu,supermarket_grocery_number,nta,estimated_data_flag,worship_facility_computer,residence_hall_dormitory_3,multifamily_housing_number,release_date,multifamily_housing_government,worship_facility_cooking,bbl,borough,energy_star_certification,non_refrigerated_warehouse_5,non_refrigerated_warehouse_4,total_ghg_emissions_mtco2e
295 Madison Avenue,New York,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,4338480,Not Available,Not Available,28-FEB-13,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,294344,Not Available,Not Available,Not Available,Not Available,No Status Available,Not Available,1035321,Not Available,Not Available,Not Available,2.12,Not Available,Not Available,100,-73.979864,Not Available,294344,NEW YORK,1929,Not Available,Not Available,Not Available,Not Available,8826114.2,Not Available,Murray Hill-Kips Bay,No,Not Available,Not Available,Not Available,2013-05-29T06:52:33.000,Not Available,Not Available,1012750050.0,MANHATTAN,Not Available,Not Available,Not Available,2086.63
555 Park Ave,New York,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,879895,Not Available,0,31-DEC-12,196581.25,Not Available,Not Available,Not Available,Not Available,"""Multifamily Housing"" space types must be <=10% of Total Floor Space.<br>Less than 50% of the Total Floor Space can be benchmarked.<br>Less than One Full Year of Space Attribute Data",Not Available,Not Available,Not Available,Not Available,Not Available,No Status Available,1876482.47,1042010,100,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,-73.968124,25,95603,NEW YORK,1912,1965.8,Not Available,Not Available,Not Available,Not Available,Not Available,Upper East Side-Carnegie Hill,No,Not Available,Not Available,25,2013-04-26T13:12:05.000,0,Not Available,1013960071.0,MANHATTAN,Not Available,Not Available,Not Available,585.05
One Wall,New York,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,19-APR-12,14721086.3,Not Available,Not Available,31-DEC-12,839216.19,Not Available,0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Application - Label Sent (24-APR-12),Not Available,BIN# 1000815,Not Available,Not Available,99.79,Not Available,Not Available,Not Available,Not Available,,Not Available,1112533,NEW YORK,1931,8392.2,Not Available,17030,Not Available,59394567.1,Not Available,,No,Not Available,Not Available,Not Available,2013-05-31T10:34:46.000,Not Available,Not Available,1000237501.0,MANHATTAN,Not Available,Not Available,Not Available,9449.66
200 WATER LLC,NEW YORK,Not Available,14,2.58,Not Available,0,Not Available,Not Available,Not Available,Not Available,5994553.5,Not Available,Not Available,31-DEC-12,12556241.94,Not Available,Not Available,6406391.58,Not Available,"""Multifamily Housing"" space types must be <=10% of Total Floor Space.<br>Less than 50% of the Total Floor Space can be benchmarked.<br>",Not Available,Not Available,Not Available,Not Available,Not Available,No Status Available,Not Available,BIN# 1001163,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,-74.005316,Not Available,541000,NEW YORK,1961,125562.4,Not Available,Not Available,Not Available,Not Available,Not Available,Battery Park City-Lower Manhattan,No,Not Available,Not Available,Not Available,2013-04-03T12:30:42.000,0,Not Available,1000750001.0,MANHATTAN,Not Available,Not Available,Not Available,3059.61
Riverbank West,New York,Not Available,1,0.68,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,41,29-FEB-12,Not Available,.33,0,Not Available,Not Available,"""Multifamily Housing"" space types must be <=10% of Total Floor Space.<br>Weekly operating hours is much lower than normal for Vacant Retail.<br> Less than 50% of the Total Floor Space can be benchmarked.<br>",1370,Not Available,Not Available,Not Available,Not Available,No Status Available,Not Available,1-01071-0001,90.75,Not Available,Not Available,3.65,Not Available,Not Available,100,-73.997213,0,471264,NEW YORK,1987,Not Available,Not Available,2705,Not Available,Not Available,4,Clinton,No,Not Available,Not Available,420,2013-05-31T06:35:33.000,0,Not Available,1010710001.0,MANHATTAN,Not Available,Not Available,Not Available,Not Available
ARCADE BUILDING ASSOCIATES,NEW YORK,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,3051745.5,Not Available,Not Available,31-DEC-12,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,185789,Not Available,Not Available,Not Available,Not Available,No Status Available,Not Available,BIN# 1015846,Not Available,Not Available,Not Available,1.61,Not Available,Not Available,100,-73.986484,Not Available,203096,NEW YORK,1908,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Midtown-Midtown South,No,Not Available,Not Available,Not Available,2013-04-24T09:59:53.000,Not Available,Not Available,1008340022.0,MANHATTAN,Not Available,Not Available,Not Available,1264.95
980 Madison Avenue,New York,Not Available,0,2.14,Not Available,0,Not Available,Not Available,Not Available,Not Available,2258943,Not Available,Not Available,31-DEC-12,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,No Status Available,Not Available,1041796,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,-73.963368,Not Available,121480,NEW YORK,1949,Not Available,Not Available,Not Available,Not Available,1229903.58,Not Available,Upper East Side-Carnegie Hill,No,Not Available,Not Available,Not Available,2013-05-29T08:45:54.000,Not Available,Not Available,1013910014.0,MANHATTAN,Not Available,Not Available,Not Available,820.74
Chrysler East Building,New York,Not Available,13,3.81,Not Available,74.6,Not Available,Not Available,Not Available,Not Available,13645309,Not Available,Not Available,28-FEB-13,Not Available,Not Available,Not Available,Not Available,Not Available,Weekly operating hours is much lower than normal for 27th floor - Vacant.<br> Weekly operating hours is much lower than normal for 20th Floor - Vacant.<br>,732583,Not Available,Not Available,Not Available,Not Available,No Status Available,Not Available,1036161,Not Available,Not Available,100,3.58,Not Available,Not Available,100,-73.974252,Not Available,769421,NEW YORK,1951,Not Available,Not Available,Not Available,Not Available,17475384,Not Available,Turtle Bay-East Midtown,No,Not Available,Not Available,Not Available,2013-05-20T10:08:53.000,Not Available,Not Available,1012970033.0,MANHATTAN,Not Available,Not Available,Not Available,5750.88
"1522 University Realty, L.L.C.",Bronx,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,276072,Not Available,0,31-DEC-12,4303800,Not Available,Not Available,Not Available,Not Available,"""Multifamily Housing"" space types must be <=10% of Total Floor Space.<br>Less than 50% of the Total Floor Space can be benchmarked.<br>Less than One Full Year of Space Attribute Data",Not Available,Not Available,Not Available,Not Available,Not Available,No Status Available,0,2008784,0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,-73.853325,33,55000,BRONX,1920,43038,Not Available,Not Available,Not Available,Not Available,Not Available,Pelham Parkway,No,Not Available,Not Available,0,2013-06-17T07:12:30.000,0,Not Available,2042730029.0,BRONX,Not Available,Not Available,Not Available,317.4
90 Park,New York,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,17050367.9,Not Available,Not Available,31-JAN-13,358938.71,Not Available,Not Available,Not Available,Not Available,Not Available,869223,Not Available,Not Available,Not Available,Not Available,No Status Available,Not Available,1017595,Not Available,Not Available,100,2.07,Not Available,Not Available,100,-73.978865,Not Available,888431,NEW YORK,1964,3589.4,Not Available,Not Available,Not Available,49691737.94,Not Available,Murray Hill-Kips Bay,No,Not Available,Not Available,Not Available,2013-05-28T05:53:25.000,Not Available,Not Available,1008690034.0,MANHATTAN,Not Available,Not Available,Not Available,9404.24
0541 Carle Place,Carle Place,Not Available,Not Available,Not Available,Not Available,215.8,Not Available,Not Available,Not Available,Not Available,2696312.6,Not Available,Not Available,31-JAN-13,4339163.92,1,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,No Status Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,,Not Available,80810,NASSAU,Not Available,43391.6,Not Available,Not Available,Not Available,Not Available,15,,No,Not Available,Not Available,Not Available,2013-05-15T06:33:10.000,Not Available,Not Available,,,Not Available,Not Available,Not Available,1973.1
333 East 68th Street,New York,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,574498.4,Not Available,8,31-DEC-12,47043.33,Not Available,Not Available,Not Available,Not Available,"""Multifamily Housing"" space types must be <=10% of Total Floor Space.<br>Less than 50% of the Total Floor Space can be benchmarked.<br>",Not Available,Not Available,Not Available,Not Available,Not Available,No Status Available,Not Available,1044754,90,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,-73.959333,30,140899,NEW YORK,1928,470.4,Not Available,Not Available,Not Available,Not Available,Not Available,Lenox Hill-Roosevelt Island,No,Not Available,Not Available,64,2013-05-31T12:02:12.000,0,Not Available,1014430011.0,MANHATTAN,Not Available,Not Available,Not Available,726.05
"Webb Avenue Company, LLC",Bronx,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,385876.7,Not Available,4,31-DEC-12,3910883.87,Not Available,Not Available,Not Available,Not Available,"""Multifamily Housing"" space types must be <=10% of Total Floor Space.<br>Less than 50% of the Total Floor Space can be benchmarked.<br>Less than One Full Year of Space Attribute Data",Not Available,Not Available,Not Available,Not Available,Not Available,No Status Available,Not Available,2014757,90,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,-73.907437,0,79000,BRONX,1963,39108.8,Not Available,Not Available,Not Available,Not Available,Not Available,Kingsbridge Heights,No,Not Available,Not Available,12,2013-05-30T05:49:08.000,0,Not Available,2032190055.0,BRONX,Not Available,Not Available,Not Available,331.67
110 Central Park South Corp,New York,Not Available,0,1.04,Not Available,0,Not Available,Not Available,Not Available,Not Available,2313963.8,Not Available,7,31-DEC-12,74620,Not Available,Not Available,Not Available,Not Available,"""Multifamily Housing"" space types must be <=10% of Total Floor Space.<br>Less than 50% of the Total Floor Space can be benchmarked.<br>",Not Available,Not Available,Not Available,Not Available,Not Available,No Status Available,Not Available,1023756,100,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,-73.976816,120,208125,NEW YORK,1927,746.2,Not Available,Not Available,Not Available,4381100.27,Not Available,Midtown-Midtown South,No,Not Available,Not Available,60,2013-05-31T12:02:12.000,0,Not Available,1010110038.0,MANHATTAN,Not Available,Not Available,Not Available,1091.12
0570 New Hyde Park,New Hyde Park,Not Available,Not Available,Not Available,Not Available,210,Not Available,Not Available,Not Available,Not Available,3546635.1,Not Available,Not Available,31-DEC-12,4824631.35,1,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,No Status Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,,Not Available,78862,NASSAU,Not Available,48246.3,Not Available,Not Available,Not Available,Not Available,15,,No,Not Available,Not Available,Not Available,2013-05-15T06:33:10.000,Not Available,Not Available,,,Not Available,Not Available,Not Available,2548.37
KOFLER ASSOCIATES,NEW YORK,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,679784.9,Not Available,Not Available,31-DEC-12,652.69,Not Available,Not Available,Not Available,Not Available,Not Available,63270,Not Available,Not Available,Not Available,Not Available,No Status Available,Not Available,BIN# 1018069,Not Available,Not Available,Not Available,1.11,Not Available,Not Available,100,-73.984894,Not Available,63270,NEW YORK,1913,6.5,Not Available,Not Available,Not Available,Not Available,Not Available,Gramercy,No,Not Available,Not Available,Not Available,2013-04-24T06:13:30.000,Not Available,Not Available,1008800014.0,MANHATTAN,Not Available,Not Available,Not Available,340.04
500 Park Avenue,New York,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,5488529,Not Available,Not Available,31-JAN-13,Not Available,Not Available,0,Not Available,Not Available,Not Available,75284,Not Available,Not Available,Not Available,Not Available,No Status Available,Not Available,1-01294-0037,Not Available,Not Available,100,0.77,Not Available,Not Available,100,-73.97037,Not Available,223543,NEW YORK,1959,Not Available,Not Available,5400,Not Available,4916318.88,Not Available,Midtown-Midtown South,No,Not Available,Not Available,Not Available,2013-04-25T06:13:45.000,Not Available,Not Available,1012940037.0,MANHATTAN,Not Available,Not Available,Not Available,2146.36
