gi_id,bbl,tree_latin,constructed_date,status_gro,row_onsite,asset_y_co,constructi,asset_area,asset_type,asset_leng,program_ar,dep_contra,sewer_type,:@computed_region_92fq_4b7q
DA9-B,2049050001.0,,2017-10-16T00:00:00.000,Constructed,Onsite,262400.198,,2910.0,Permeable Pavers,0.0,Public Onsite,GXHP24-03,Combined,2
GS650B,4113460011.0,No Tree,2021-05-06T00:00:00.000,Constructed,ROW,185343.52,53320022-03,45.5,ROWGS,13.0,Right of Way (ROW),GK26W5-06,Combined,41
6168E,4002360012.0,Gleditsia triacanthos var. inermis,2019-11-08T00:00:00.000,Constructed,ROW,208276.701,GQBB09-01,75.0,ROWB,15.0,Right of Way (ROW),GQBB09-01,Combined,33
159B,4161720011.0,Nyssa sylvatica,2021-05-11T00:00:00.000,Constructed,ROW,151603.3039,GI-NYR-1,80.0,ROWB,20.0,Right of Way (ROW),GI-NYR,Non-combined,41
211a,3047530038.0,Quercus acutissima,2016-06-30T00:00:00.000,Constructed,ROW,177090.03,GK26W3-03,60.0,ROWB,12.0,Right of Way (ROW),GK26W3-03,Combined,25
IB2127a,4063570025.0,No Tree,2021-11-02T00:00:00.000,Constructed,ROW,211735.12,GCTI10-4A,40.0,ROW Infiltration Basin with Grass Top,10.0,Right of Way (ROW),GQTI10-04,Combined,3
IB560A,4072640007.0,No Tree,2021-12-15T00:00:00.000,Constructed,ROW,202753.98,GCTI10-03,52.0,ROW Infiltration Basin with Grass Top,13.0,Right of Way (ROW),GQTI10-03,Combined,24
1124B,4095260072.0,No Tree,2021-06-11T00:00:00.000,Constructed,ROW,187186.3323,GCJA03-2B,50.0,ROWB,10.0,Right of Way (ROW),GQJA03-02,Combined,41
IB219A,2031240072.0,No Tree,2021-03-30T00:00:00.000,Constructed,ROW,247898.5108,GXHP02-02_GXHP04-04,40.0,ROW Infiltration Basin with Concrete Top,10.0,Right of Way (ROW),GXHP04-04,Combined,22
IB598C,4011050032.0,No Tree,2022-09-30T00:00:00.000,Constructed,ROW,217870.33697,BB05-02-A,52.0,ROW Infiltration Basin with Concrete Top,13.0,Right of Way (ROW),GQBB05-05,Combined,21
IB357c,4066070001.0,No Tree,2021-10-31T00:00:00.000,Constructed,ROW,201838.79,GCTI10-4B,100.0,ROW Infiltration Basin with Grass Top,20.0,Right of Way (ROW),GQTI10-04,Combined,24
3-IB499a,3018780043.0,No Tree,2022-07-16T00:00:00.000,Constructed,ROW,193045.3286,GNCB14-2A,52.0,ROW Infiltration Basin with Concrete Top,13.0,Right of Way (ROW),GKNC14-07,Combined,38
IB1659C,4089300089.0,No Tree,2021-05-14T00:00:00.000,Constructed,ROW,191492.438,53320022-05,65.0,ROW Infiltration Basin with Concrete Top,13.0,Right of Way (ROW),GK26W5-05,Combined,41
366,4018550038.0,Zelkova serrata 'Village Green',2013-09-08T00:00:00.000,Constructed,ROW,208228.66767,GQBB06-01,50.0,ROWB,10.0,Right of Way (ROW),GQBB06-01,Combined,5
