payment_id,contract_id_,revised_contract_start_date,payment_recipient,project_status,stimulus_funding,award_lead_city_agency,contract_value,contract_method,funding_source,revised_contract_end_date,actual_completion_date,_of_funds_spent,project_lead_city_agency,stimulus_tracker_id,payment_description
14874.0,B075108,,"TEQUIPMENT, INCORPORATED                ",Less than 50% completed,14713215.0,DOE,2200000.0,Competitive Sealed Bid,State Fiscal Stabilization Fund - Government Services: Teacher Center,,,0.04,DOE,501006.0,INTERACTIVE WHITE BOARDS                
6.52e+03,P-4STIMUB,,"Ferrandino and Son, Inc.",Less than 50% completed,0.0,OPS,1289000.0,Competitive Sealed Bid,Surface Transportation Program - Displaced City Funding*,,,5.14,DPR,103015.0,Construction Contract Partial Payment #2
2866.0,20090028652,,SCO Family of Services,Completed 50% or more,18753652.0,DYCD,780000.0,Competitive Sealed Proposal (RFP),Workforce Investment Act - Youth,2012-03-31T00:00:00.000,,0.13,DYCD,301001.0,Contract Payments for Youth Services
3994.0,260080766463,,"Catholic Charities Neighborhood Services, Inc.",Completed 50% or more,4035570.0,DYCD,723519.0,Competitive Sealed Proposal (RFP),Community Services Block Grant (CSBG) ARRA Funds,2011-06-30T00:00:00.000,,0.07,DYCD,414001.0,DEC PYMT
2897.0,20090029345,,St. Nicholas Neighborhood Preservation Corporation,Completed 50% or more,18753652.0,DYCD,438750.0,Competitive Sealed Proposal (RFP),Workforce Investment Act - Youth,2012-03-31T00:00:00.000,,0.03,DYCD,301001.0,Contract Payments for Youth Services
12962.0,,,,Less than 50% completed,707717837.0,DOE,,,Title 1 Grants,,,4.04,DOE,501001.0,Personal Service
1228.0,9010140,,CLADDAGH ELECTRONICS LTD,Completed 50% or more,1648528.44,NYCHA,856975.0,Competitive Sealed Bid,Public Housing Capital Fund Recovery Grant (Formula),,,0.75,NYCHA,109035.0,SOLID STATE BOARDS FOR ELEVATORS
3689.0,,,SBS,Completed 50% or more,9941858.0,SBS,,,Workforce Investment Act - Adult and Dislocated Worker,,,0.0,SBS,301005.0,PS
2978.0,20100001671,,"The Fortune Society, Inc.",Completed 50% or more,2940277.0,DYCD,216000.0,Competitive Sealed Proposal (RFP),Workforce Investment Act - Youth,2011-06-30T00:00:00.000,,0.01,DYCD,301002.0,PAYMENT REFLECTS OSY ARRA LINE ITEM FOR OCTOBER 2009
,,,,Less than 50% completed,2807224.0,NYCHA,,,Public Housing Capital Fund Recovery Grant (Formula),,,0.0,NYCHA,109085.0,
13030.0,7000288,,ABRAMS COMPANY PUBLISHERS               ,Less than 50% completed,316603358.0,DOE,15000.0,Listing Application,Special Education (IDEA),,,0.0,DOE,501002.0,TEXTBKS/TEACHER                         
4605.0,90266A,,"Federation Employment and Guidance Service, Inc.",Completed 50% or more,5328321.0,DYCD,128143.0,Competitive Sealed Proposal (RFP),Workforce Investment Act - Youth,2011-08-31T00:00:00.000,,0.12,DYCD,301003.0,PAYMENT REFLECTS WIA ISY ARRA LINE ITEM FOR FEBRUARY 2010
13350.0,7000610,,WILSON LANGUAGE TRAINING                ,Less than 50% completed,316603358.0,DOE,25000.0,Listing Application,Special Education (IDEA),,,0.0,DOE,501002.0,TEXTBOOKS                               
959100.00%,20100013316,2009-07-01T00:00:00.000,Area 145 DCC,Less than 50% completed,11837352.0,ACS,571067.0,Negotiated Acquisition,Child Care and Development Block Grant,2010-06-30T00:00:00.000,2010-06-30T00:00:00.000,0.18,ACS,414011.0,Funding allocated to re-open pre-school classrooms previously assigned to be closed.
,,,,Less than 50% completed,5522504.18,NYCHA,,,Public Housing Capital Fund Recovery Grant (Formula),,,0.0,NYCHA,109014.0,
9572.0,,,,Less than 50% completed,6628688.0,DOP,,,Edward Byrne Memorial Competitive Grant Program - Probation Supervision and Community Reintegration,,,17.8,DOP,606003.0,Payment to Byrne Program Staff
10976.0,B058812,,B & H FOTO & ELECTRONICS CORP.          ,Less than 50% completed,707717837.0,DOE,13000000.0,Competitive Sealed Bid,Title 1 Grants,,,0.0,DOE,501001.0,AUDIO/VIDEO EQUIPMENT AND SERVICES      
14819.0,,,,Less than 50% completed,782255871.0,DOE,,,State Fiscal Stabilization Fund - Education,,,0.0,DOE,501003.0,Personal Service
