address_1,alert_meter_has_gaps,energy_star_certification_5,district_chilled_water_use,other_weekly_operating_hours,residence_hall_dormitory,green_power_onsite_kwh,avoided_emissions_offsite,multifamily_housing_gross,retail_store_percent_that,laboratory_gross_floor_area,generation_date,multifamily_housing_number_1,retail_store_walk_in,convenience_store_without,college_university_number,green_power_offsite_kwh,national_median_total_ghg,fuel_oil_no_5_and_no_6_cost,estimated_data_flag_district,fuel_oil_no_4_cost,hotel_gross_floor_area_ft,financial_office_gross_floor,financial_office_weekly,enclosed_mall_gross_floor,electricity_use_generated,office_computer_density_number,municipally_supplied_potable_2,postcode,diesel_2_use_kbtu,propane_use_kbtu,egrid_output_emissions_rate,museum_gross_floor_area_ft,percent_of_total_electricity,energy_cost_intensity_ft,source_eui_kbtu_ft,latitude,indirect_ghg_emissions_metric,other_number_of_computers,water_use_all_water_sources,site_eui_kbtu_ft,medical_office_weekly,parking_gross_floor_area,retail_store_number_of_open,district_hot_water_use_kbtu,veterinary_office_gross_floor,hospital_general_medical_10,date_property_last_modified,multifamily_housing_number_2,alert_gross_floor_area_is,weather_normalized_source_1,energy_star_certification_4,city,office_number_of_computers,number_of_buildings,percent_of_recs_retained,national_median_source_energy,adult_education_gross_floor,refrigerated_warehouse_gross,hotel_gym_fitness_center,weather_normalized_site_2
520 8th AVe,Ok,No,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,2015-04-09T17:21:12.000,Not Available,Not Available,Not Available,Not Available,0,6958.4,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,2.29112,19483.7,10018,Not Available,Not Available,82.9,Not Available,Not Available,Not Available,179.3,40.753612,3235.7,Not Available,20008.4,76,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,04/09/2015 03:51 PM EDT,Not Available,Ok,142122261.8,Not Available,New York,1791,1,Not Available,215603231.7,Not Available,Not Available,Not Available,93943.7
130 8th Avenue,Ok,No,Not Available,Not Available,Not Available,Not Available,0,56000,Not Available,Not Available,2015-04-25T13:59:15.000,Not Available,Not Available,Not Available,Not Available,0,276.6,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,1700.9,11215,Not Available,Not Available,82.9,Not Available,Not Available,Not Available,120.5,40.672008,69,Not Available,1700.9,85.2,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,09/03/2014 11:20 PM EDT,Not Available,Ok,6550102.1,Not Available,Brooklyn,Not Available,1,Not Available,6707874,Not Available,Not Available,Not Available,37378.7
730 Third Avenue,Ok,No,Not Available,70.42,Not Available,Not Available,0,Not Available,Not Available,Not Available,2015-05-01T11:50:22.000,Not Available,Not Available,Not Available,Not Available,0,6659.9,Not Available,No,Not Available,Not Available,12900,52,Not Available,Not Available,3.67936,Not Available,10017,Not Available,Not Available,82.9,Not Available,Not Available,Not Available,227.7,40.753104,4445.4,9,12197.7,91.5,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,09/03/2014 11:16 PM EDT,Not Available,Ok,141907400.2,Not Available,New York,2160,1,Not Available,214090706.7,Not Available,Not Available,Not Available,Not Available
516 W 34th Street,Ok,No,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,2015-04-16T11:57:29.000,Not Available,Not Available,Not Available,Not Available,0,2511.1,98130.09,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,3.82838,Not Available,10001,Not Available,Not Available,82.9,Not Available,Not Available,Not Available,226.6,40.754985,1481.3,Not Available,Not Available,86.1,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,09/03/2014 11:20 PM EDT,Not Available,Ok,60501444.9,Not Available,New York,1044,1,Not Available,82262464.8,Not Available,Not Available,Not Available,7365.6
60 Broad Street,Ok,No,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,2015-04-15T12:15:52.000,Not Available,Not Available,Not Available,Not Available,0,9889.1,Not Available,No,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,4.1722,Not Available,10004,Not Available,Not Available,82.9,Not Available,Not Available,2.39,227.9,40.705351,7607.5,Not Available,15576.4,101.1,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,10/02/2014 02:38 PM EDT,Not Available,Ok,222235430.1,Not Available,New York,4164,1,Not Available,295718313.5,Not Available,Not Available,Not Available,Not Available
325 Riverside Dr.,Ok,No,Not Available,Not Available,Not Available,Not Available,0,74899,Not Available,Not Available,2015-04-30T14:09:50.000,0,Not Available,Not Available,Not Available,0,468.4,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,10025,Not Available,Not Available,82.9,Not Available,Not Available,0,108.2,40.801425,75.2,Not Available,3082.5,78.9,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,09/03/2014 11:20 PM EDT,3,Ok,7825079.3,Not Available,New York,Not Available,1,Not Available,11127915.4,Not Available,Not Available,Not Available,47280.3
360 Madison Avenue,Ok,No,Not Available,Not Available,Not Available,Not Available,0,Not Available,100,Not Available,2015-05-01T00:35:55.000,Not Available,0,Not Available,Not Available,0,2673.4,Not Available,No,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,1.79047,Not Available,10017,Not Available,Not Available,82.9,Not Available,Not Available,Not Available,261.5,40.755024,2680.5,Not Available,Not Available,98.5,Not Available,Not Available,0,Not Available,Not Available,Not Available,05/01/2015 12:31 AM EDT,Not Available,Ok,89255342,Not Available,New York,583.88,0,Not Available,90067313.4,Not Available,Not Available,Not Available,Not Available
120 East 90th Street,Ok,No,Not Available,Not Available,Not Available,Not Available,0,77520,100,Not Available,2015-07-31T14:52:18.000,6,0,Not Available,Not Available,0,538.1,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,10128,Not Available,Not Available,82.9,Not Available,Not Available,Not Available,173,40.782344,254.2,Not Available,Not Available,96.8,Not Available,Not Available,0,Not Available,Not Available,Not Available,09/03/2014 11:19 PM EDT,12,Ok,14750887.1,Not Available,New York,Not Available,1,Not Available,12544544,Not Available,Not Available,Not Available,2806.7
110 Post Avenue,Ok,No,Not Available,Not Available,Not Available,Not Available,0,106215,Not Available,Not Available,2015-05-02T23:33:58.000,0,Not Available,Not Available,Not Available,0,410.9,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,7573.5,10034,Not Available,Not Available,82.9,Not Available,Not Available,Not Available,Not Available,40.864395,95.1,Not Available,7573.5,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,09/03/2014 11:20 PM EDT,4,Ok,Not Available,Not Available,New York,Not Available,1,Not Available,13588104.9,Not Available,Not Available,Not Available,Not Available
824 West 176th Street,Ok,No,Not Available,Not Available,Not Available,Not Available,0,84800,Not Available,Not Available,2015-04-14T10:47:28.000,Not Available,Not Available,Not Available,Not Available,0,268.3,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,2252.4,10024,Not Available,Not Available,82.9,Not Available,Not Available,Not Available,4.7,40.847448,10.6,Not Available,3976.7,1.5,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,09/03/2014 11:20 PM EDT,Not Available,Ok,399898.8,Not Available,New York,Not Available,1,Not Available,10157637.8,Not Available,Not Available,Not Available,Not Available
1540 Broadway,Ok,No,Not Available,Not Available,Not Available,Not Available,0,Not Available,100,Not Available,2015-04-30T19:13:24.000,Not Available,0,Not Available,Not Available,0,7166.1,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,1.79627,Not Available,10036,Not Available,Not Available,82.9,Not Available,Not Available,Not Available,326,40.757847,8012.7,Not Available,Not Available,109.9,Not Available,37039,6,Not Available,Not Available,Not Available,09/03/2014 11:20 PM EDT,Not Available,Ok,313385598.3,Not Available,New York,1417.94,0,Not Available,264225890.1,Not Available,Not Available,Not Available,87270.6
1 Court Square,Ok,Yes,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,2015-04-30T17:00:46.000,Not Available,Not Available,Not Available,Not Available,0,10457.5,Not Available,Not Available,Not Available,Not Available,10561,55,Not Available,Not Available,3.46254,31705.5,11101,Not Available,Not Available,82.9,Not Available,Not Available,Not Available,226.6,40.746704,8558.6,Not Available,31705.5,72.9,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,09/03/2014 11:17 PM EDT,Not Available,Ok,316931634.7,Not Available,NEW YORK,4912,1,Not Available,393948211.8,Not Available,Not Available,Not Available,13382.6
270 Madison Avenue,Ok,No,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,2015-04-29T11:55:03.000,Not Available,Not Available,Not Available,Not Available,0,2386.1,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,2.80657,Not Available,10016,Not Available,Not Available,82.9,Not Available,Not Available,Not Available,181.3,40.751124,1112.5,Not Available,Not Available,76.3,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,09/03/2014 11:20 PM EDT,Not Available,Ok,Not Available,Not Available,New York,769,1,Not Available,70818640.6,Not Available,Not Available,Not Available,1148.6
359 Fort Washington,Ok,No,Not Available,Not Available,Not Available,Not Available,0,81804,Not Available,Not Available,2015-04-30T14:09:52.000,0,Not Available,Not Available,Not Available,0,452.1,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,10033,Not Available,Not Available,82.9,Not Available,Not Available,0,104.8,,78.4,Not Available,Not Available,76.8,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,04/23/2015 02:40 PM EDT,5,Ok,8242161.9,Not Available,New York,Not Available,1,Not Available,10709275.8,Not Available,Not Available,Not Available,50257.1
400 Park Avenue,Ok,No,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,2015-04-16T15:52:26.000,Not Available,Not Available,Not Available,Not Available,0,766.7,Not Available,No,Not Available,Not Available,42068,54.73,Not Available,Not Available,1.7292,2163,10022,Not Available,Not Available,82.9,Not Available,Not Available,2.08,200.1,40.75978,1036.1,Not Available,2163,77.5,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,09/03/2014 11:20 PM EDT,Not Available,Ok,34287632.2,Not Available,New York,223.07,1,Not Available,25326815.1,Not Available,Not Available,Not Available,Not Available
11 West 42nd street,Ok,No,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,2015-04-27T14:28:25.000,Not Available,Not Available,Not Available,250,0,11447.7,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,2.36173,25560.2,10036,Not Available,Not Available,82.9,Not Available,Not Available,Not Available,282.6,40.75379,1147.7,Not Available,25560.2,239.9,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,04/27/2015 11:28 AM EDT,Not Available,Ok,257719471.6,Not Available,New York,1921,1,Not Available,239096573.9,Not Available,Not Available,Not Available,1922749
3315 NOSTRAND AVE PLPM,Ok,No,Not Available,Not Available,Not Available,Not Available,0,89004,Not Available,Not Available,2015-04-30T16:29:40.000,Not Available,Not Available,Not Available,Not Available,0,535.1,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,11229,Not Available,Not Available,82.9,Not Available,Not Available,0,137.7,40.60347,110.8,Not Available,Not Available,101.3,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,04/15/2015 04:42 PM EDT,Not Available,Ok,12080532.3,Not Available,Brooklyn,Not Available,1,Not Available,12647354.1,Not Available,Not Available,Not Available,75095.9
80 Riverside Boulevard,Ok,No,Not Available,Not Available,Not Available,Not Available,Not Available,640641,Not Available,Not Available,2015-07-31T14:52:35.000,342,Not Available,Not Available,Not Available,Not Available,2495.7,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,10069,Not Available,Not Available,82.9,Not Available,Not Available,Not Available,Not Available,40.775485,Not Available,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,06/03/2015 05:01 PM EDT,6,Ok,Not Available,Not Available,New York,Not Available,1,Not Available,82537743,Not Available,Not Available,Not Available,254261.6
250 West 39th Street,Ok,No,Not Available,Not Available,Not Available,Not Available,0,Not Available,100,Not Available,2015-07-30T10:59:24.000,Not Available,0,Not Available,Not Available,0,1519.9,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,1.09566,Not Available,10018,Not Available,Not Available,82.9,Not Available,Not Available,Not Available,136.7,40.754732,570.7,Not Available,Not Available,61.9,Not Available,Not Available,4,Not Available,Not Available,Not Available,05/19/2015 01:42 PM EDT,Not Available,Ok,Not Available,Not Available,New York,193,1,Not Available,42169866.4,Not Available,Not Available,Not Available,8.9
620 West 47th Street,Ok,No,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,2015-05-01T10:58:59.000,Not Available,Not Available,Not Available,Not Available,0,111.7,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,10036,Not Available,Not Available,82.9,Not Available,Not Available,5.13,315.7,40.764246,167,Not Available,Not Available,154.9,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,04/30/2015 03:29 PM EDT,Not Available,Ok,8588829.9,Not Available,New York,Not Available,1,Not Available,3385828.5,Not Available,Not Available,Not Available,21306.8
136 West 21st Street,Ok,No,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,2015-06-02T15:08:53.000,Not Available,Not Available,Not Available,Not Available,0,399.5,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,10011,Not Available,Not Available,82.9,Not Available,Not Available,Not Available,483.8,40.742101,431.5,Not Available,Not Available,219.1,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,09/03/2014 11:20 PM EDT,Not Available,Ok,Not Available,Not Available,New York,Not Available,1,Not Available,11085761.9,Not Available,Not Available,Not Available,51.8
9216 7th Avenue,Ok,No,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,2015-04-27T16:39:37.000,Not Available,Not Available,Not Available,Not Available,0,904.2,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,11228,Not Available,Not Available,82.9,Not Available,Not Available,2.77,180.3,40.612318,330.1,Not Available,Not Available,113,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,09/03/2014 11:19 PM EDT,Not Available,Ok,Not Available,Not Available,Brooklyn,Not Available,1,Not Available,22845887.4,Not Available,Not Available,Not Available,92159.7
178-10 WEXFORD TERR ENTM,Ok,No,Not Available,Not Available,Not Available,Not Available,0,144350,Not Available,Not Available,2015-04-30T16:29:38.000,Not Available,Not Available,Not Available,Not Available,0,756.1,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,11432,Not Available,Not Available,82.9,Not Available,Not Available,0,129.4,40.71335,233,Not Available,Not Available,84.5,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,04/15/2015 04:42 PM EDT,Not Available,Ok,18248492.3,Not Available,Queens,Not Available,1,Not Available,19304004.2,Not Available,Not Available,Not Available,91519.7
67-97 224 STREET,Ok,No,Not Available,Not Available,Not Available,Not Available,Not Available,10875,Not Available,Not Available,2015-04-30T11:04:42.000,Not Available,Not Available,Not Available,Not Available,Not Available,42.1,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,11364,Not Available,Not Available,82.9,Not Available,Not Available,Not Available,Not Available,40.745187,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,04/29/2015 01:05 PM EDT,Not Available,Ok,Not Available,Not Available,Oakland Gardens,Not Available,1,Not Available,1391240.8,Not Available,Not Available,Not Available,11920
481 8th Avenue,Ok,No,Not Available,Not Available,159470,Not Available,0,Not Available,Not Available,Not Available,2015-05-13T15:47:41.000,Not Available,Not Available,Not Available,Not Available,0,8053.8,Not Available,No,Not Available,742596,Not Available,Not Available,Not Available,Not Available,1.25,70232.5,10001,Not Available,Not Available,82.9,Not Available,Not Available,Not Available,206.5,40.752295,3772.8,Not Available,70232.5,118.2,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,03/16/2015 02:15 PM EDT,Not Available,Ok,Not Available,Not Available,New York,200,1,Not Available,216843892.4,Not Available,Not Available,1850,691494.8
3830 Woodside Ave,Ok,No,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,2015-03-31T11:52:50.000,Not Available,Not Available,Not Available,Not Available,0,596.7,Not Available,Not Available,36135.43,Not Available,Not Available,Not Available,Not Available,Not Available,4.94721,Not Available,11104,Not Available,Not Available,82.9,Not Available,Not Available,5.21,272.3,40.749499,409.6,Not Available,Not Available,123.4,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,09/03/2014 11:18 PM EDT,Not Available,Ok,Not Available,Not Available,Long Island City,328,1,Not Available,17761466.4,Not Available,Not Available,Not Available,19657.8
192-05 73 Ave,Ok,No,Not Available,Not Available,Not Available,Not Available,0,13800,Not Available,Not Available,2015-04-24T12:08:25.000,Not Available,Not Available,Not Available,Not Available,0,149.5,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,11365,Not Available,Not Available,82.9,Not Available,Not Available,5.05,686.9,40.734053,88.2,Not Available,Not Available,500.8,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,04/15/2015 04:41 PM EDT,Not Available,Ok,9490405.3,Not Available,Fresh Meadows,Not Available,1,Not Available,3552342.5,Not Available,Not Available,Not Available,58478.7
5 BROADWAY,Ok,No,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,2015-04-29T16:05:50.000,Not Available,Not Available,Not Available,Not Available,0,4043.2,Not Available,No,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,4.49984,Not Available,10004,Not Available,Not Available,82.9,Not Available,Not Available,Not Available,235.2,40.705019,3203.8,Not Available,11708.5,99.8,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,04/03/2015 04:57 PM EDT,Not Available,Ok,99125833.5,Not Available,NEW YORK,1905,1,Not Available,125045381.7,Not Available,Not Available,Not Available,2869
463 East Fordham Road,Ok,No,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,2015-04-24T09:43:29.000,Not Available,Not Available,Not Available,Not Available,0,594.3,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,10458,Not Available,Not Available,82.9,Not Available,Not Available,1.14,63.4,40.860607,389.4,Not Available,Not Available,20.2,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,09/03/2014 11:20 PM EDT,Not Available,Ok,14741982.7,Not Available,Bronx,Not Available,1,Not Available,22499531.7,Not Available,Not Available,Not Available,Not Available
630 3rd Avenue,Ok,Yes,Not Available,Not Available,Not Available,Not Available,0,Not Available,100,Not Available,2015-04-24T12:19:56.000,Not Available,0,Not Available,Not Available,0,1777,Not Available,No,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,2.87805,3227.2,10017,Not Available,Not Available,82.9,Not Available,Not Available,Not Available,169.7,40.749798,1140.5,Not Available,3227.2,61.5,Not Available,Not Available,7,Not Available,Not Available,Not Available,09/03/2014 11:19 PM EDT,Not Available,Ok,38927903.9,Not Available,New York,649,1,Not Available,61526053,Not Available,Not Available,Not Available,Not Available
255 Greenwich Street,Ok,No,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,2015-04-28T15:12:28.000,Not Available,Not Available,Not Available,Not Available,0,2170.6,Not Available,No,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,4.89661,Not Available,10007,Not Available,Not Available,82.9,Not Available,Not Available,Not Available,255,40.71445,3738.4,Not Available,Not Available,92.6,Not Available,16818,Not Available,Not Available,Not Available,Not Available,09/03/2014 11:18 PM EDT,Not Available,Ok,128607291.1,Not Available,New York,1820,1,Not Available,75061497,Not Available,Not Available,Not Available,Not Available
223-27 65th Avenue,Ok,No,Not Available,Not Available,Not Available,Not Available,Not Available,12150,Not Available,Not Available,2015-04-30T11:04:38.000,Not Available,Not Available,Not Available,Not Available,Not Available,47,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,11364,Not Available,Not Available,82.9,Not Available,Not Available,Not Available,Not Available,40.746855,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,04/29/2015 12:31 PM EDT,Not Available,Ok,Not Available,Not Available,Oakland Gardens,Not Available,1,Not Available,1554351.8,Not Available,Not Available,Not Available,11247.9
3463 third ave,Ok,No,Not Available,Not Available,Not Available,Not Available,0,144730,Not Available,Not Available,2015-04-30T16:26:12.000,0,Not Available,Not Available,Not Available,0,682.3,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0,10456,Not Available,Not Available,82.9,Not Available,Not Available,Not Available,113.8,40.829837,234.7,Not Available,0,69.5,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,09/03/2014 11:19 PM EDT,0,Ok,15836990.7,Not Available,bronx,Not Available,1,Not Available,18172547.7,Not Available,Not Available,Not Available,67773.3
112-02 15th Ave,Ok,No,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,2015-04-20T13:47:32.000,Not Available,Not Available,Not Available,Not Available,0,764.9,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,94452.2,11356,Not Available,Not Available,82.9,Not Available,Not Available,Not Available,674.1,40.783872,1198.7,Not Available,94452.2,462.2,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,09/03/2014 11:19 PM EDT,Not Available,Ok,107848730.3,Not Available,College Point,Not Available,1,Not Available,18926350.1,Not Available,Not Available,Not Available,594909.4
153 East 57th Street,Ok,No,Not Available,Not Available,Not Available,Not Available,0,129049,100,Not Available,2015-04-29T11:36:18.000,0,0,Not Available,Not Available,0,877,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,10155,Not Available,Not Available,82.9,Not Available,Not Available,0,155.4,40.760726,313.9,Not Available,Not Available,95,Not Available,11797,0,Not Available,Not Available,Not Available,09/03/2014 11:20 PM EDT,18,Ok,20690331.4,Not Available,New York,Not Available,1,Not Available,18784658.3,Not Available,Not Available,Not Available,2525.1
460 HOWARD AVE OM,Ok,No,Not Available,Not Available,Not Available,Not Available,0,22033,Not Available,Not Available,2015-04-30T16:29:45.000,Not Available,Not Available,Not Available,Not Available,0,127.1,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,10301,Not Available,Not Available,82.9,Not Available,Not Available,0,175.5,40.619147,25.7,Not Available,Not Available,139.1,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,04/15/2015 04:43 PM EDT,Not Available,Ok,3786350.9,Not Available,Staten Island,Not Available,1,Not Available,2857269,Not Available,Not Available,Not Available,26783.6
425 East 51st Street,Ok,No,Not Available,Not Available,Not Available,Not Available,0,81862,Not Available,Not Available,2015-07-31T14:52:04.000,0,Not Available,Not Available,Not Available,0,559.7,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,10022,Not Available,Not Available,82.9,Not Available,Not Available,Not Available,68.7,40.754145,71.4,Not Available,Not Available,45.7,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,05/01/2015 05:21 PM EDT,8,Ok,Not Available,Not Available,New York,Not Available,1,Not Available,11220423,Not Available,Not Available,Not Available,2245.8
215 East 73rd Street,Ok,No,Not Available,Not Available,Not Available,Not Available,0,82199,Not Available,Not Available,2015-07-31T14:52:24.000,6,Not Available,Not Available,Not Available,0,522.1,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,10021,Not Available,Not Available,82.9,Not Available,Not Available,Not Available,119.5,40.770203,135.1,Not Available,Not Available,76.4,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,09/03/2014 11:19 PM EDT,16,Ok,Not Available,Not Available,New York,Not Available,1,Not Available,10622866.6,Not Available,Not Available,Not Available,1385
444 East 75th Street,Ok,No,Not Available,Not Available,Not Available,Not Available,0,142521,100,Not Available,2015-07-31T14:52:09.000,4,0,Not Available,Not Available,0,987.2,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,7280.8,10021,Not Available,Not Available,82.9,Not Available,Not Available,Not Available,156.1,40.76879,244.7,Not Available,7280.8,111.3,Not Available,Not Available,0,Not Available,Not Available,Not Available,09/03/2014 11:19 PM EDT,16,Ok,22403079.9,Not Available,New York,Not Available,1,Not Available,18424633.6,Not Available,Not Available,Not Available,4731.5
1015 Gerard Avenue,Ok,No,Not Available,Not Available,Not Available,Not Available,0,59446,Not Available,Not Available,2015-04-30T16:26:12.000,0,Not Available,Not Available,Not Available,0,404.1,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0,10452,Not Available,Not Available,82.9,Not Available,Not Available,Not Available,132.2,40.830774,71,Not Available,0,99.5,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,04/30/2015 02:20 PM EDT,0,Ok,7643268.8,Not Available,Bronx,Not Available,1,Not Available,7701465.9,Not Available,Not Available,Not Available,16073
47-40 21st Street,Ok,No,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,2015-04-21T15:25:15.000,Not Available,Not Available,Not Available,Not Available,0,1548.7,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,2.75876,3185.7,11101,Not Available,Not Available,82.9,Not Available,Not Available,2.71,126.3,40.743852,590.6,Not Available,3185.7,49.2,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,09/03/2014 11:20 PM EDT,Not Available,Ok,Not Available,Not Available,Long Island City,550,1,Not Available,53187178.1,Not Available,Not Available,Not Available,Not Available
320 East 43rd Street,Ok,No,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,2015-04-08T17:22:11.000,Not Available,Not Available,Not Available,Not Available,0,1406.5,Not Available,No,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0.87321,1478.2,10017,Not Available,Not Available,82.9,Not Available,Not Available,Not Available,185.3,40.750156,1730.9,Not Available,1478.2,81.4,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,09/03/2014 11:16 PM EDT,Not Available,Ok,52002898.7,Not Available,New York,250,0,Not Available,42549653.3,Not Available,Not Available,Not Available,5557
3310 NOSTRAND AVE PLPM,Ok,No,Not Available,Not Available,Not Available,Not Available,0,93118,Not Available,Not Available,2015-04-30T16:29:40.000,Not Available,Not Available,Not Available,Not Available,0,505,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,11229,Not Available,Not Available,82.9,Not Available,Not Available,0,155.1,40.603575,156.9,Not Available,Not Available,107.3,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,04/15/2015 04:42 PM EDT,Not Available,Ok,14166419.7,Not Available,Brooklyn,Not Available,1,Not Available,12426109.4,Not Available,Not Available,Not Available,78704.5
