latitude,longitude,manhattan_condominiums_comparable_properties_gross_income_per_sqft,comparable_rental_1_gross_income_per_sqft,comparable_rental_1_year_built,comparable_rental_1_gross_sqft,manhattan_condominiums_comparable_properties_year_built,comparable_rental_3_net_operating_income,comparable_rental_1_boro_block_lot,bbl,manhattan_condominiums_comparable_properties_building_classification,comparable_rental_2_gross_sqft,community_board,comparable_rental_2_year_built,comparable_rental_3_expense_per_sqft,comparable_rental_3_boro_block_lot
40.724549,-73.999744,35.38,41.2,1910,21740,1879.0, ,1-00504-0019,1005007506.0,R4-CONDOMINIUM,38880.0,2.0,1920.0, ,
40.738879,-74.00048,41.68,45.49,1910,4789,1910.0, ,1-00617-0032,1006187503.0,R2-CONDOMINIUM,13000.0,2.0,1910.0, ,
40.753686,-73.971547,38.31,44.76,1938,49914,1985.0, ,1-01320-0018,1013207502.0,R4-CONDOMINIUM,66386.0,6.0,1929.0, ,
40.74429,-73.978719,41.89,45.15,1975,182767,1990.0, ,1-00889-0039,1009127502.0,R4-CONDOMINIUM,137628.0,6.0,1974.0, ,
40.711988,-73.994308,25.04,22.89,1910,8995,1990.0,"250,090",1-00273-0017,1002747501.0,R4-CONDOMINIUM,14200.0,3.0,1945.0,5.56,1-00271-0037
40.762813,-73.975673,44.48,50.95,2001,81050,2008.0, ,1-01041-0019,1012727501.0,R4-CONDOMINIUM,84210.0,5.0,2001.0, ,
40.740855,-73.994277,45.73,45.73,1911,64049,1906.0,"3,376,568",1-00818-0010,1008217503.0,R4-CONDOMINIUM,78646.0,5.0,1911.0,12.26,1-00850-0039
40.742749,-73.994533,42.26,45.73,1911,64049,1911.0, ,1-00818-0010,1007977507.0,R4-CONDOMINIUM,62400.0,4.0,1920.0, ,
40.731671,-74.001429,30.43,32.0,1929,20874,1929.0,"384,380",1-00543-0048,1005897501.0,R4-CONDOMINIUM,27108.0,2.0,1900.0,7.6,1-00592-0080
40.74878,-73.980092,46.35,46.84,1984,97414,2006.0, ,1-00887-0023,1008927503.0,R4-CONDOMINIUM,142260.0,6.0,1962.0, ,
40.725796,-73.983736,35.81,39.25,2005,16454,1920.0, ,1-00449-0017,1004347501.0,R4-CONDOMINIUM,11000.0,3.0,1920.0, ,
40.738264,-73.993025,45.16,52.84,1900,22503,1906.0, ,1-00846-0001,1008197504.0,R4-CONDOMINIUM,64049.0,5.0,1911.0, ,
40.75996,-73.969823,37.43,38.2,1940,107485,1956.0, ,1-01311-0028,1013107502.0,R4-CONDOMINIUM,66386.0,6.0,1929.0, ,
40.765169,-73.977138,39.8,35.98,1923,85309,1926.0, ,1-01007-0001,1010107505.0,R4-CONDOMINIUM,165078.0,5.0,1954.0, ,
