address_1,list_of_all_property_use,weather_normalized_source_1,data_quality_checker_date,parent_property_id,estimated_data_flag,net_emissions_metric_tons,estimated_data_flag_fuel_1,water_use_all_water_sources,ambulatory_surgical_center,race_track_gross_floor_area,medical_office_mri_machine,difference_from_national,library_gross_floor_area,hospital_general_medical_14,costar_property_id,district_chilled_water_use,restaurant_weekly_operating,fuel_oil_1_use_kbtu,propane_use_kbtu,fuel_oil_5_6_use_kbtu,performing_arts_gross_floor,laboratory_gross_floor_area,estimated_data_flag_district,census_tract,office_worker_density_number,data_center_pue,data_center_pdu_input_meter,fitness_center_health_club,courthouse_gross_floor_area,retail_store_percent_that,multifamily_housing_total_1,multifamily_housing_number_4,supermarket_grocery_gross,data_center_pdu_output_meter,natural_gas_use_kbtu,hospital_general_medical_15,food_service_gross_floor,weather_normalized_site,difference_from_national_2,property_gfa_epa_calculated_2,museum_gross_floor_area_ft,energy_star_certification_2,data_center_ups_output_meter,multifamily_housing_number_7,parking_gross_floor_area,multifamily_housing_total,financial_office_weekly,energy_star_certification,year_ending,default_values,office_percent_that_can_be,distribution_center_gross,retail_store_number_of_open,temporary_values,retail_store_walk_in,parent_property_name,transportation_terminal,municipally_supplied_potable_3,hospital_general_medical_13,medical_office_weekly,primary_property_type_epa,fast_food_restaurant_gross,data_center_national_median,hotel_percent_that_can_be,property_gfa_self_reported,municipally_supplied_potable_1,hospital_general_medical_3,alert_gross_floor_area_is
21-16 43 Avenue,Office,15862214.2,2016-03-28,Not Applicable: Standalone Property,No,544.2,Not Available,195737.5,Not Available,Not Available,Not Available,-45.8,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,19.0,2.01613,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,4432819.9,Not Available,Not Available,8.5,Not Available,Not Available,Not Available,No,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,2015-12-31T00:00:00.000,No,100,Not Available,Not Available,No,Not Available,Not Applicable: Standalone Property,Not Available,Not Available,Not Available,Not Available,Office,Not Available,Not Available,Not Available,124000,195737.5,Not Available,Ok
75 St. Nicholas Place,Multifamily Housing,9059423.2,Not Available,Not Applicable: Standalone Property,No,401.2,Not Available,5394.4,Not Available,Not Available,Not Available,10.4,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,23501.0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0.96303,0,Not Available,Not Available,6197499.5,Not Available,Not Available,3.3,Not Available,Not Available,Not Available,No,Not Available,0.19155,Not Available,66.21,Not Available,Not Available,2015-12-31T00:00:00.000,Yes,Not Available,Not Available,Not Available,No,Not Available,Not Applicable: Standalone Property,Not Available,Not Available,Not Available,Not Available,Multifamily Housing,Not Available,Not Available,Not Available,68754,5394.4,Not Available,Ok
740 Empire Blvd.,"Multifamily Housing, Retail Store, Supermarket/Grocery Store",11361932.1,2016-03-27,Not Applicable: Standalone Property,No,453.9,Not Available,0,Not Available,Not Available,Not Available,-7.3,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,331.0,Not Available,Not Available,Not Available,Not Available,Not Available,0,1.05618,0,1200,Not Available,6022316.4,Not Available,Not Available,4.9,Not Available,Not Available,Not Available,No,Not Available,1.05618,Not Available,99,Not Available,Not Available,2015-12-31T00:00:00.000,Yes,Not Available,Not Available,0,No,0,Not Applicable: Standalone Property,Not Available,Not Available,Not Available,Not Available,Multifamily Housing,Not Available,Not Available,Not Available,96134,0,Not Available,Ok
162-01 / 162-05  71st Ave.,Multifamily Housing,Not Available,Not Available,4442227,Not Available,0,Not Available,1426.5,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,1.02857,0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,No,Not Available,0,Not Available,36,Not Available,Not Available,2015-12-31T00:00:00.000,No,Not Available,Not Available,Not Available,No,Not Available,First Housing Company Inc.,Not Available,Not Available,Not Available,Not Available,Multifamily Housing,Not Available,Not Available,Not Available,35000,Not Available,Not Available,Ok
225 Fifth Avenue,"Financial Office, Multifamily Housing, Other",51856881.8,Not Available,Not Applicable: Standalone Property,No,1579.3,Not Available,9646,Not Available,Not Available,Not Available,34.4,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,56.0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0.94064,191,Not Available,Not Available,6296558.9,Not Available,Not Available,15.2,Not Available,Not Available,Not Available,No,Not Available,0,Not Available,191,52,Not Available,2015-12-31T00:00:00.000,No,Not Available,Not Available,Not Available,No,Not Available,Not Applicable: Standalone Property,Not Available,Not Available,Not Available,Not Available,Multifamily Housing,Not Available,Not Available,Not Available,273157,9646,Not Available,Ok
1155  Avenue  of  the  Americas,"Office, Retail Store",146410603.6,Not Available,Not Applicable: Standalone Property,No,4228.8,Not Available,Not Available,Not Available,Not Available,Not Available,-30.7,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,No,119.0,2.3797,Not Available,Not Available,Not Available,Not Available,100,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,18.2,Not Available,Not Available,Not Available,No,Not Available,Not Available,Not Available,Not Available,Not Available,"2015, 2010, 2008, 2006, 2005, 2003, 2002, 2001",2015-12-31T00:00:00.000,No,100,Not Available,0,No,0,Not Applicable: Standalone Property,Not Available,Not Available,Not Available,Not Available,Office,Not Available,Not Available,Not Available,686838,Not Available,Not Available,Ok
57-35 Marathon Parkway,"Multifamily Housing, Parking",10174572.8,2016-03-14,Not Applicable: Standalone Property,No,423,Not Available,Not Available,Not Available,Not Available,Not Available,39.3,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,152902.0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,1.16931,0,Not Available,Not Available,6069625.1,Not Available,Not Available,6.3,Not Available,4779,Not Available,No,Not Available,0,4779,64,Not Available,Not Available,2015-12-31T00:00:00.000,No,Not Available,Not Available,Not Available,No,Not Available,Not Applicable: Standalone Property,Not Available,Not Available,Not Available,Not Available,Multifamily Housing,Not Available,Not Available,Not Available,54733,Not Available,Not Available,Ok
3530 Wayne Ave.,Senior Care Community,28492114.4,2016-03-25,Not Applicable: Standalone Property,No,858,Not Available,Not Available,Not Available,Not Available,Not Available,28.7,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,431.0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,3756893.5,Not Available,Not Available,25.3,Not Available,Not Available,Not Available,No,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,2015-12-31T00:00:00.000,No,Not Available,Not Available,Not Available,No,Not Available,Not Applicable: Standalone Property,Not Available,Not Available,Not Available,Not Available,Senior Care Community,Not Available,Not Available,Not Available,90550,Not Available,Not Available,Ok
194 East Second Street,"Multifamily Housing, Retail Store",15447070.7,Not Available,Not Applicable: Standalone Property,No,502.9,Not Available,Not Available,Not Available,Not Available,Not Available,9.4,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,3002.0,Not Available,Not Available,Not Available,Not Available,Not Available,90,0.79221,0,Not Available,Not Available,3525246.3,Not Available,Not Available,12.5,Not Available,Not Available,Not Available,No,Not Available,0.79221,Not Available,61,Not Available,Not Available,2015-12-31T00:00:00.000,Yes,Not Available,Not Available,0,No,0,Not Applicable: Standalone Property,Not Available,Not Available,Not Available,Not Available,Multifamily Housing,Not Available,Not Available,Not Available,88000,Not Available,Not Available,Ok
3140-3150 Kingsbridge Ave,Multifamily Housing,12961667.9,2016-03-27,Not Applicable: Standalone Property,No,770.9,Not Available,7745.4,Not Available,Not Available,Not Available,49.3,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,5143800.2,Not Available,Not Available,Not Available,289.0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0.93672,0,Not Available,Not Available,527324,Not Available,Not Available,4.4,Not Available,Not Available,Not Available,No,Not Available,0,Not Available,70,Not Available,Not Available,2015-12-31T00:00:00.000,Yes,Not Available,Not Available,Not Available,No,Not Available,Not Applicable: Standalone Property,Not Available,Not Available,Not Available,Not Available,Multifamily Housing,Not Available,Not Available,Not Available,74729,7745.4,Not Available,Ok
444 West 35th Street,Multifamily Housing,10064044.7,2016-03-24,Not Applicable: Standalone Property,No,380.7,Not Available,5032.9,Not Available,Not Available,Not Available,9.1,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,111.0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,1.30303,86,Not Available,Not Available,4457559.3,Not Available,Not Available,7.4,Not Available,Not Available,Not Available,No,Not Available,0,Not Available,86,Not Available,Not Available,2015-12-31T00:00:00.000,No,Not Available,Not Available,Not Available,No,Not Available,Not Applicable: Standalone Property,Not Available,Not Available,Not Available,Not Available,Multifamily Housing,Not Available,Not Available,Not Available,66000,5032.9,Not Available,Ok
230 Ocean Parkway,Multifamily Housing,6651957,Not Available,Not Applicable: Standalone Property,No,287.5,Not Available,Not Available,Not Available,Not Available,Not Available,6.9,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,494.0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,1.2081,0,Not Available,Not Available,4319599.9,Not Available,Not Available,3.9,Not Available,Not Available,Not Available,No,Not Available,0.27996,Not Available,59.82,Not Available,Not Available,2015-12-31T00:00:00.000,Yes,Not Available,Not Available,Not Available,No,Not Available,Not Applicable: Standalone Property,Not Available,Not Available,Not Available,Not Available,Multifamily Housing,Not Available,Not Available,Not Available,49518,Not Available,Not Available,Ok
201 E. 86th St,"Fitness Center/Health Club/Gym, Multifamily Housing, Retail Store",42933204.2,Not Available,Not Applicable: Standalone Property,No,1817.9,Not Available,9890.8,Not Available,Not Available,Not Available,38.2,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,14602.0,Not Available,Not Available,Not Available,20357,Not Available,100,1.57942,252,Not Available,Not Available,857060,Not Available,Not Available,13.4,Not Available,Not Available,Not Available,No,Not Available,0,Not Available,252,Not Available,Not Available,2015-12-31T00:00:00.000,No,Not Available,Not Available,0,Yes,0,Not Applicable: Standalone Property,Not Available,Not Available,Not Available,Not Available,Multifamily Housing,Not Available,Not Available,Not Available,195528,Not Available,Not Available,Ok
1339 York Avenue,Senior Care Community,88174808.5,2016-03-24,Not Applicable: Standalone Property,No,3691.4,Not Available,Not Available,Not Available,Not Available,Not Available,81.7,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,No,124.0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,825580,Not Available,Not Available,15.5,Not Available,Not Available,Not Available,No,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,2015-12-31T00:00:00.000,Yes,Not Available,Not Available,Not Available,No,Not Available,Not Applicable: Standalone Property,Not Available,Not Available,Not Available,Not Available,Senior Care Community,Not Available,Not Available,Not Available,252000,Not Available,Not Available,Ok
253 West 24th St,"Other - Entertainment/Public Assembly, Residence Hall/Dormitory",5663020.2,2016-03-31,Not Applicable: Standalone Property,No,299.7,Not Available,2612.9,Not Available,Not Available,Not Available,-38.6,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,91.0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,968920,Not Available,Not Available,3.2,Not Available,Not Available,Not Available,No,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,2015-12-31T00:00:00.000,No,Not Available,Not Available,Not Available,No,Not Available,Not Applicable: Standalone Property,Not Available,Not Available,Not Available,Not Available,Residence Hall/Dormitory,Not Available,Not Available,Not Available,59250,2612.9,Not Available,Ok
