address_1,senior_care_community_gross,performing_arts_gross_floor,estimated_data_flag,annual_maximum_demand_kw,estimated_data_flag_fuel_1,nyc_borough_block_and_lot,multifamily_housing_number_5,difference_from_national_1,supermarket_grocery_gross,estimated_values_energy,convenience_store_with_gas,medical_office_gross_floor,fuel_oil_2_use_kbtu,site_eui_kbtu_ft,electricity_use_generated,office_weekly_operating_hours,last_modified_date_gas_meters,default_values,office_gross_floor_area_ft,annual_maximum_demand_mm,weather_normalized_site_3,financial_office_number_of,indoor_water_use_all_water,postcode,weather_normalized_site_2,district_chilled_water_use,last_modified_date_property,address_2,source_energy_use_adjusted,retail_store_number_of_walk,property_gfa_calculated,other_weekly_operating_hours,source_energy_use_kbtu,multifamily_housing_gross,multifamily_housing_number_1,_2nd_largest_property_use,retail_store_gross_floor,outdoor_water_use_all_water,other_number_of_computers,_2nd_largest_property_use_1,multifamily_housing_percent,ambulatory_surgical_center,other_gross_floor_area_ft,automobile_dealership_gross,electricity_use_generated_2,fuel_oil_5_6_use_kbtu,pre_school_daycare_gross,multifamily_housing_number_6,alert_gross_floor_area_is,college_university_number,food_service_gross_floor,hotel_percent_that_can_be,third_party_certification_2,k_12_school_gross_floor_area,outpatient_rehabilitation
424 Leonard Street,Not Available,Not Available,No,296,No,3027120001,Not Available,-43.1,Not Available,No,Not Available,Not Available,Not Available,50.1,Not Available,Not Available,04/09/2019 04:46 PM EDT,No,Not Available,06/2018,751063.9,Not Available,Not Available,11222,55725.3,Not Available,04/09/2019 04:46 PM EDT,Not Available,12969317.7,Not Available,160800.0,Not Available,12969317.7,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,Not Available,Not Available,160800,Not Available
900 Adee Avenue,Not Available,Not Available,No,214.4,Not Available,2045520010,Not Available,-1,Not Available,No,Not Available,Not Available,621000.1,85.5,Not Available,Not Available,04/09/2019 02:09 PM EDT,No,Not Available,01/2018,407120,Not Available,Not Available,10469,48871,Not Available,04/09/2019 02:10 PM EDT,Not Available,9527691.5,Not Available,79300.0,Not Available,9527691.5,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,Not Available,Not Available,79300,Not Available
3530 Kings College Place,Not Available,Not Available,No,172.8,Not Available,2033560042,Not Available,-6.5,Not Available,No,Not Available,Not Available,0,70.2,Not Available,Not Available,04/09/2019 02:09 PM EDT,No,Not Available,09/2018,376318.4,Not Available,Not Available,10467,49546.2,Not Available,04/09/2019 02:10 PM EDT,Not Available,8800482.9,Not Available,88739.0,Not Available,8800482.9,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,Not Available,Not Available,88739,Not Available
800 Taylor Avenue,Not Available,Not Available,No,188,No,2036410001,Not Available,-16.6,Not Available,No,Not Available,Not Available,Not Available,52.2,Not Available,Not Available,04/09/2019 02:09 PM EDT,No,Not Available,06/2018,361800,Not Available,Not Available,10473,441.7,Not Available,04/09/2019 02:10 PM EDT,Not Available,7336907.3,Not Available,97280.0,Not Available,7336907.3,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,Not Available,Not Available,97280,Not Available
225 Liberty Street,Not Available,Not Available,No,Not Available,Not Available,1-00016-0125,Not Available,-13.1,Not Available,No,Not Available,Not Available,Not Available,117,Not Available,65,04/17/2019 10:39 AM EDT,No,2366683,Not Available,41905045.8,Not Available,50945.1,10281,10794.8,92972895.9,04/17/2019 03:52 PM EDT,Not Available,563649520.1,0,2577575.0,Not Available,563649520.1,Not Available,Not Available,Retail Store,85652,Not Available,Not Available,85652,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
925 Astor Avenue,Not Available,Not Available,No,533.3,Not Available,2043580001,Not Available,-24.1,Not Available,No,Not Available,Not Available,2761104,78.4,Not Available,Not Available,04/09/2019 02:09 PM EDT,No,Not Available,09/2018,1584799.8,Not Available,Not Available,10469,166256.4,Not Available,04/09/2019 02:10 PM EDT,Not Available,35239666.2,Not Available,314575.0,Not Available,35239666.2,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,Not Available,Not Available,314575,Not Available
344 Monroe Street,Not Available,Not Available,No,177.6,Not Available,3018190014,Not Available,-41.8,Not Available,No,Not Available,Not Available,621000.1,52.1,Not Available,Not Available,04/09/2019 04:46 PM EDT,No,Not Available,09/2018,324000,Not Available,Not Available,11216,39322.3,Not Available,04/09/2019 04:47 PM EDT,Not Available,7757516.3,Not Available,106800.0,Not Available,7757516.3,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,Not Available,Not Available,106800,Not Available
750 Prospect Avenue,Not Available,Not Available,No,126.4,No,2026880001,Not Available,-8.5,Not Available,No,Not Available,Not Available,Not Available,78.2,Not Available,Not Available,04/09/2019 02:09 PM EDT,No,Not Available,09/2018,342400,Not Available,Not Available,10455,14.4,Not Available,04/09/2019 02:10 PM EDT,Not Available,8539598.8,Not Available,81680.0,Not Available,8539598.8,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,Not Available,Not Available,81680,Not Available
300 Willoughby Avenue,Not Available,Not Available,No,268,Not Available,3019260010,Not Available,-28.9,Not Available,No,Not Available,Not Available,7884630,58.1,Not Available,Not Available,04/09/2019 04:46 PM EDT,No,Not Available,09/2018,630799.9,Not Available,Not Available,11205,2215.3,Not Available,04/09/2019 04:47 PM EDT,Not Available,14219627.3,Not Available,176400.0,Not Available,14219627.3,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,Not Available,Not Available,176400,Not Available
388 GREENWICH STREET,Not Available,Not Available,No,Not Available,Not Available,1002160001,Not Available,-22.2,Not Available,No,Not Available,Not Available,11724.5,69.8,Not Available,67.59,04/11/2019 09:03 AM EDT,No,1869756,Not Available,26962492.2,Not Available,44022,10013,137896,Not Available,04/30/2019 08:57 AM EDT,Not Available,301785209.3,Not Available,1869756.0,Not Available,301785209.3,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
205-01 33rd Avenue,Not Available,Not Available,No,155.2,Not Available,4060380013,Not Available,-16.2,Not Available,No,Not Available,Not Available,3061116.2,58.5,Not Available,Not Available,04/09/2019 02:09 PM EDT,No,Not Available,09/2018,319039.9,Not Available,Not Available,11361,2817,Not Available,04/09/2019 02:10 PM EDT,Not Available,6435492.8,Not Available,75700.0,Not Available,6435492.8,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,Not Available,Not Available,75700,Not Available
135-21 241st Street,Not Available,Not Available,No,70.8,Not Available,4132220001,Not Available,24.5,Not Available,No,Not Available,Not Available,814199.8,88.5,Not Available,Not Available,04/11/2019 11:56 AM EDT,No,Not Available,11/2018,182680,Not Available,Not Available,11422,20728.2,Not Available,04/11/2019 11:57 AM EDT,Not Available,4773538.7,Not Available,39960.0,Not Available,4773538.7,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,Not Available,Not Available,39960,Not Available
3750 Baychester Avenue,Not Available,Not Available,No,224,No,2049350001,Not Available,-26.1,Not Available,No,Not Available,Not Available,8271996.3,62.3,Not Available,Not Available,04/09/2019 02:09 PM EDT,No,Not Available,09/2018,547999.9,Not Available,Not Available,10466,1293.8,Not Available,04/09/2019 02:10 PM EDT,Not Available,13724384.1,Not Available,164751.0,Not Available,13724384.1,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,Not Available,Not Available,164751,Not Available
650 Waring Avenue,Not Available,Not Available,No,385.4,Not Available,2043410013,Not Available,54.9,Not Available,No,Not Available,Not Available,910800.2,75.8,Not Available,Not Available,04/09/2019 02:09 PM EDT,Yes,Not Available,09/2018,1289199.9,Not Available,Not Available,10467,61905.3,Not Available,04/09/2019 02:10 PM EDT,2385 Olinville Avenue,19494934.8,Not Available,148666.0,Not Available,19494934.8,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,Not Available,Not Available,148666,Not Available
1025 Eastern Parkway,Not Available,Not Available,No,118.4,Not Available,3013890035,Not Available,-9.3,Not Available,No,Not Available,Not Available,2108364,64.9,Not Available,Not Available,04/11/2019 11:56 AM EDT,No,Not Available,11/2018,424319.9,Not Available,Not Available,11213,22856,Not Available,04/11/2019 11:58 AM EDT,Not Available,8583111.1,Not Available,90000.0,Not Available,8583111.1,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,Not Available,Not Available,90000,Not Available
888 Seventh Ave,Not Available,Not Available,No,Not Available,Not Available,1010280029,Not Available,-6.9,Not Available,No,Not Available,Not Available,Not Available,88.4,Not Available,70,03/14/2019 12:50 PM EDT,No,833901,Not Available,13717837.3,Not Available,18389,10019,290,Not Available,04/24/2019 08:35 PM EDT,Not Available,165103748.8,Not Available,920762.0,Not Available,165103748.8,Not Available,Not Available,Parking,Not Available,Not Available,Not Available,72752,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
544 7th Avenue,Not Available,Not Available,No,300,No,3008800001,Not Available,-21.8,Not Available,No,Not Available,Not Available,5664693.1,59.7,Not Available,Not Available,04/09/2019 04:46 PM EDT,No,Not Available,06/2018,788799.9,Not Available,Not Available,11215,18127,Not Available,04/09/2019 04:47 PM EDT,Not Available,15160554.8,Not Available,170400.0,Not Available,15160554.8,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,Not Available,Not Available,170400,Not Available
56-45 Main Street,Not Available,Not Available,No,Not Available,Not Available,4-05165-0001,Not Available,-0.4,Not Available,No,Not Available,Not Available,4738092,334.6,Not Available,Not Available,03/06/2019 12:13 PM EST,No,Not Available,Not Available,18690674.8,Not Available,101781.8,11355,1282099.8,Not Available,04/18/2019 12:27 PM EDT,Not Available,318821556.1,Not Available,590371.0,Not Available,318821556.1,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
188 Rochester Avenue,Not Available,Not Available,No,324,Not Available,3013670022,Not Available,-12.1,Not Available,No,Not Available,Not Available,6220626,68.7,Not Available,Not Available,04/11/2019 11:56 AM EDT,No,Not Available,09/2018,675199.9,Not Available,Not Available,11213,3810,Not Available,04/11/2019 11:58 AM EDT,Not Available,13133473.1,Not Available,129600.0,Not Available,13133473.1,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,Not Available,Not Available,129600,Not Available
150 East 58th Street,Not Available,Not Available,No,Not Available,Not Available,1013120041,Not Available,-16.9,Not Available,No,Not Available,Not Available,Not Available,93,Not Available,70,Not Available,No,538101,Not Available,6703073.2,Not Available,8177.3,10155,Not Available,Not Available,04/15/2019 08:26 PM EDT,Not Available,100938288.6,0,573338.0,50.37,100938288.6,Not Available,Not Available,Retail Store,30614,Not Available,5,30614,Not Available,Not Available,4623,Not Available,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
1434 Longfellow Avenue,Not Available,Not Available,No,510.7,Not Available,2030070008,Not Available,-57.6,Not Available,No,Not Available,Not Available,5372063.8,41.1,Not Available,Not Available,04/09/2019 02:09 PM EDT,No,Not Available,08/2018,926738.5,Not Available,Not Available,10459,831.9,Not Available,04/09/2019 02:10 PM EDT,Not Available,14561159.7,Not Available,211200.0,Not Available,14561159.7,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,Not Available,Not Available,211200,Not Available
7000 21st Avenue,Not Available,Not Available,No,252.8,Not Available,3061740036,Not Available,-15.4,Not Available,No,Not Available,Not Available,552000,75,Not Available,Not Available,04/11/2019 11:56 AM EDT,No,Not Available,09/2018,473599.9,Not Available,Not Available,11204,28668.6,Not Available,04/11/2019 11:58 AM EDT,Not Available,8000370,Not Available,66000.0,Not Available,8000370,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,Not Available,Not Available,66000,Not Available
2750 Throop Avenue,Not Available,Not Available,No,252.8,No,2045260001,Not Available,-11.3,Not Available,No,Not Available,Not Available,Not Available,63.6,Not Available,Not Available,04/09/2019 02:09 PM EDT,No,Not Available,09/2018,534339.9,Not Available,Not Available,10469,13,Not Available,04/09/2019 02:10 PM EDT,Not Available,10434997.7,Not Available,111700.0,Not Available,10434997.7,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,Not Available,Not Available,111700,Not Available
165 Brown Place,Not Available,Not Available,No,200,Not Available,2022800040,Not Available,-35.4,Not Available,No,Not Available,Not Available,4726941.7,55,Not Available,Not Available,04/09/2019 02:09 PM EDT,No,Not Available,09/2018,473725.1,Not Available,Not Available,10454,525,Not Available,04/09/2019 02:10 PM EDT,Not Available,9380671.4,Not Available,116460.0,Not Available,9380671.4,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,Not Available,Not Available,116460,Not Available
212 West 120th Street,Not Available,Not Available,No,248,Not Available,1019250019,Not Available,-13.9,Not Available,No,Not Available,Not Available,5265390.2,64.1,Not Available,Not Available,04/09/2019 04:46 PM EDT,No,Not Available,08/2018,516914.1,Not Available,Not Available,10027,383.1,Not Available,04/09/2019 04:47 PM EDT,Not Available,10336574.6,Not Available,110480.0,Not Available,10336574.6,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,Not Available,Not Available,110480,Not Available
345 Park Ave,Not Available,Not Available,No,Not Available,Not Available,1013060001,Not Available,7,Not Available,Yes,Not Available,Not Available,Not Available,150.9,Not Available,65.53,04/12/2019 10:51 AM EDT,No,1798735,Not Available,34674406.4,17,39526.8,10154,15722.1,Not Available,04/29/2019 12:36 PM EDT,Not Available,523223906.1,Not Available,1889571.0,Not Available,523223906.1,Not Available,Not Available,Parking,Not Available,Not Available,Not Available,47077,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,11750,Not Available,Not Available,Not Available,Not Available
76 Lott Avenue,Not Available,Not Available,No,94.4,Not Available,3036220023,Not Available,-6.6,Not Available,No,Not Available,Not Available,759000,86.8,Not Available,Not Available,04/09/2019 04:46 PM EDT,No,Not Available,01/2018,346118.1,Not Available,Not Available,11212,44546,Not Available,04/09/2019 04:47 PM EDT,Not Available,8815061.4,Not Available,74400.0,Not Available,8815061.4,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,Not Available,Not Available,74400,Not Available
1861 Anthony Avenue,Not Available,Not Available,No,204.8,Not Available,2028040031,Not Available,-4.5,Not Available,No,Not Available,Not Available,4247088.2,63.2,Not Available,Not Available,04/09/2019 02:09 PM EDT,No,Not Available,09/2018,435920,Not Available,Not Available,10457,2685,Not Available,04/09/2019 02:10 PM EDT,Not Available,8736089.4,Not Available,94980.0,Not Available,8736089.4,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,Not Available,Not Available,94980,Not Available
4124 9th Avenue,Not Available,Not Available,No,91.2,Not Available,1022150824,Not Available,-56,Not Available,No,Not Available,Not Available,Not Available,58.4,Not Available,Not Available,04/09/2019 04:46 PM EDT,No,Not Available,05/2018,177520,Not Available,Not Available,10034,7428.1,Not Available,04/09/2019 04:46 PM EDT,Not Available,2474110,Not Available,23080.0,Not Available,2474110,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,Not Available,Not Available,23080,Not Available
866 UN Plaza,Not Available,Not Available,Yes,Not Available,Not Available,1-01360-7501,Not Available,-16.9,Not Available,Yes,Not Available,Not Available,Not Available,68.8,Not Available,54.12,Not Available,No,370842,Not Available,5057517.2,12,5897.8,10017,Not Available,Not Available,04/12/2019 07:58 PM EDT,Not Available,58980097.7,Not Available,419000.0,Not Available,58980097.7,Not Available,Not Available,Parking,Not Available,Not Available,Not Available,42674,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
350 Gerard Avenue,Not Available,Not Available,No,578.6,Not Available,2023440096,Not Available,-8.2,Not Available,No,Not Available,Not Available,Not Available,69.8,Not Available,Not Available,04/09/2019 02:09 PM EDT,No,Not Available,06/2018,1277529,Not Available,Not Available,10451,44131.7,Not Available,04/09/2019 02:09 PM EDT,Not Available,17046861.2,Not Available,126600.0,Not Available,17046861.2,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,Not Available,Not Available,126600,Not Available
80 Monroe Avenue,Not Available,Not Available,No,196,Not Available,5000180015,Not Available,-18.6,Not Available,No,Not Available,Not Available,4092527.9,53.4,Not Available,Not Available,04/11/2019 11:57 AM EDT,No,Not Available,09/2018,531479.9,Not Available,Not Available,10301,21,Not Available,04/11/2019 11:58 AM EDT,Not Available,9213205.5,Not Available,110600.0,Not Available,9213205.5,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,Not Available,Not Available,110600,Not Available
333 East 151st Street,Not Available,Not Available,No,672,No,2024110022,Not Available,-13.3,Not Available,No,Not Available,Not Available,Not Available,76.5,Not Available,Not Available,04/09/2019 02:09 PM EDT,No,Not Available,08/2018,1480799.9,Not Available,Not Available,10451,1127,Not Available,04/09/2019 02:10 PM EDT,Not Available,30891553.7,Not Available,282668.0,Not Available,30891553.7,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,Not Available,Not Available,282668,Not Available
3000 West 1st Street,Not Available,Not Available,No,234,Not Available,3072740107,Not Available,-4.6,Not Available,No,Not Available,Not Available,151800,80.6,Not Available,Not Available,04/11/2019 11:56 AM EDT,No,Not Available,08/2018,469541.8,Not Available,Not Available,11224,24980.9,Not Available,04/11/2019 11:58 AM EDT,Not Available,7333868.1,Not Available,52800.0,Not Available,7333868.1,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,Not Available,Not Available,52800,Not Available
1071 Fifth Avenue,Not Available,Not Available,No,Not Available,Not Available,1-01500-0001,Not Available,305.9,Not Available,No,Not Available,Not Available,Not Available,253.2,Not Available,Not Available,04/17/2019 01:26 PM EDT,No,Not Available,Not Available,3459483,Not Available,Not Available,10128,3241.5,Not Available,04/19/2019 10:39 AM EDT,Not Available,Not Available,Not Available,125362.0,Not Available,56990037,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
1855 Stillwell Avenue,Not Available,Not Available,No,228.8,No,3066670024,Not Available,-19.6,Not Available,No,Not Available,Not Available,Not Available,61.8,Not Available,Not Available,04/11/2019 11:56 AM EDT,No,Not Available,09/2018,432477.6,Not Available,Not Available,11223,1386.4,Not Available,04/11/2019 11:58 AM EDT,Not Available,7844006.3,Not Available,82800.0,Not Available,7844006.3,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,Not Available,Not Available,82800,Not Available
2950 West 25th Street,Not Available,Not Available,No,164,No,3070540045,Not Available,-5.2,Not Available,No,Not Available,Not Available,Not Available,70.3,Not Available,Not Available,04/11/2019 11:56 AM EDT,No,Not Available,10/2018,418799.9,Not Available,Not Available,11224,56598.7,Not Available,04/29/2019 04:38 PM EDT,Not Available,9763027.9,Not Available,98400.0,Not Available,9763027.9,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,Not Available,Not Available,98400,Not Available
2230 5th Avenue,Not Available,Not Available,No,200,Not Available,1017330017,Not Available,-36.5,Not Available,No,Not Available,Not Available,0,57.3,Not Available,Not Available,04/09/2019 04:46 PM EDT,No,Not Available,09/2018,497599.9,Not Available,Not Available,10037,42219.8,Not Available,04/09/2019 04:47 PM EDT,Not Available,9038606.4,Not Available,100925.0,Not Available,9038606.4,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,Not Available,Not Available,100925,Not Available
306 Fort Washington Avenue,Not Available,Not Available,No,164,Not Available,1021420154,Not Available,60.4,Not Available,No,Not Available,Not Available,0,139.6,Not Available,Not Available,04/09/2019 04:46 PM EDT,No,Not Available,09/2018,524199.3,Not Available,Not Available,10033,173557.3,Not Available,04/09/2019 04:47 PM EDT,Not Available,23044558.7,Not Available,135965.0,Not Available,23044558.7,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,Not Available,Not Available,135965,Not Available
115 East 57th Street,Not Available,Not Available,No,Not Available,Not Available,1013127501,0.67293,40.6,Not Available,No,Not Available,105208,Not Available,82.6,Not Available,47.23,04/22/2019 10:50 AM EDT,Yes,32868,Not Available,6279643.9,Not Available,Not Available,10022,10509.1,Not Available,04/30/2019 12:14 PM EDT,Not Available,Not Available,1,544244.0,Not Available,86634006.8,368540,248,Medical Office,15161,Not Available,Not Available,105208,90,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0,Ok,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
82-01 101st Avenue,Not Available,Not Available,No,204.8,No,4090530014,Not Available,0.3,Not Available,No,Not Available,Not Available,3733507.2,74.3,Not Available,Not Available,04/11/2019 11:56 AM EDT,No,Not Available,09/2018,404640,Not Available,Not Available,11416,35,Not Available,04/11/2019 11:58 AM EDT,Not Available,7640286,Not Available,68908.0,Not Available,7640286,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,Not Available,Not Available,68908,Not Available
3787 Bedford Avenue,Not Available,Not Available,No,408,No,3067880001,Not Available,0.2,Not Available,No,Not Available,Not Available,250608,106.5,Not Available,Not Available,04/11/2019 11:56 AM EDT,No,Not Available,09/2018,1541599.7,Not Available,Not Available,11229,1291,Not Available,04/11/2019 11:57 AM EDT,Not Available,42075356.3,Not Available,303600.0,Not Available,42075356.3,Not Available,Not Available,Swimming Pool,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,Not Available,Not Available,303600,Not Available
80-55 Cornish Avenue,Not Available,Not Available,No,743,Not Available,4015380075,Not Available,26.1,Not Available,No,Not Available,Not Available,940207.7,89.8,Not Available,Not Available,04/09/2019 02:09 PM EDT,No,Not Available,06/2018,1743199.7,Not Available,Not Available,11373,67217.9,Not Available,04/09/2019 02:10 PM EDT,Not Available,24535544.8,Not Available,150175.0,Not Available,24535544.8,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,Not Available,Not Available,150175,Not Available
1021 Jennings Avenue,Not Available,Not Available,No,276,Not Available,2030130001,Not Available,-0.7,Not Available,No,Not Available,Not Available,Not Available,80.9,Not Available,Not Available,04/09/2019 02:10 PM EDT,No,Not Available,05/2018,565964.8,Not Available,Not Available,10460,27068.5,Not Available,04/09/2019 02:10 PM EDT,Not Available,8319816.2,Not Available,57580.0,Not Available,8319816.2,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,Not Available,Not Available,57580,Not Available
88-15 182nd Street,Not Available,Not Available,No,272,No,4099190006,Not Available,-37.7,Not Available,No,Not Available,Not Available,Not Available,44.9,Not Available,Not Available,04/11/2019 11:56 AM EDT,No,Not Available,05/2018,848799.9,Not Available,Not Available,11423,3939.4,Not Available,04/16/2019 03:15 PM EDT,Not Available,16076205.2,Not Available,240055.0,Not Available,16076205.2,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,Not Available,Not Available,240055,Not Available
730 Third Avenue,Not Available,Not Available,No,Not Available,Not Available,1013000033,Not Available,-17.7,Not Available,No,Not Available,Not Available,Not Available,84.6,Not Available,51.38,Not Available,No,636215,Not Available,10079385.9,10,Not Available,10017,Not Available,Not Available,04/04/2019 08:39 PM EDT,Not Available,124688897.4,0,678947.0,Not Available,124688897.4,Not Available,Not Available,Data Center,10644,Not Available,Not Available,15400,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
