property_name,movie_theater_gross_floor,transportation_terminal,estimated_savings_from_energy_1,estimated_data_flag,restaurant_worker_density,data_center_pue,alert_data_center_does_not,alert_property_has_no_uses,estimated_data_flag_natural,other_gross_floor_area_ft,energy_star_score,multifamily_housing_number_7,wholesale_club_supercenter,self_storage_facility_gross,multifamily_housing_percent,source_energy_use_kbtu,medical_office_percent_that_1,alert_meter_has_less_than,district_steam_cost,alert_individual_monthly,multifamily_housing_government,site_energy_use_kbtu,automobile_dealership_gross,food_sales_gross_floor_area,alert_no_meters_are_associated,electricity_grid_purchase,council_district,water_wastewater_estimated,investment_in_energy_projects,office_percent_that_can_be_1,national_median_site_energy,liquid_propane_use_kbtu,weather_normalized_site_3,natural_gas_use_kbtu,nta,urgent_care_clinic_other,multifamily_housing_resident,parent_property_name,multifamily_housing_number_4,parking_open_parking_lot,bank_branch_gross_floor_area,national_median_reference,weather_normalized_source,financial_office_number_of_1,hospital_general_medical_7,convenience_store_with_gas,hospital_general_medical_5,medical_office_percent_that,leed_us_project_id,repair_services_vehicle_shoe,investment_in_energy_projects_1,energy_star_certification,year_ending,retail_store_number_of_walk,data_center_gross_floor_area,temporary_values,data_center_cooling_equipment,distribution_center_gross,parent_property_id,hotel_percent_that_can_be,race_track_gross_floor_area,hotel_room_density_number,hospital_general_medical_13,library_gross_floor_area
57 West 38th Street,Not Available,Not Available,0,No,Not Available,Not Available,Ok,Ok,No,Not Available,70,Not Available,Not Available,Not Available,Not Available,11225009.9,Not Available,Possible Issue,Not Available,Ok,Not Available,5461091.5,Not Available,Not Available,Ok,0,4.0,Not Available,0,100,6912038.5,Not Available,789114.4,1435,Midtown-Midtown South,Not Available,Not Available,Not Applicable: Standalone Property,Not Available,Not Available,Not Available,CBECS - Office & Bank/Financial,173.2,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0,Not Available,2014-12-31T00:00:00.000,Not Available,Not Available,No,Not Available,Not Available,Not Applicable: Standalone Property,Not Available,Not Available,Not Available,Not Available,Not Available
"DIAMOND: 1350 Grand Concourse Realty, L.L.C.",Not Available,Not Available,0,No,Not Available,Not Available,Ok,Ok,No,Not Available,90,0.95094,Not Available,Not Available,0,6896744.7,Not Available,Ok,Not Available,Ok,No,5189092.9,Not Available,Not Available,Ok,Not Available,13.0,Not Available,0,Not Available,7311664.7,Not Available,226480,245100,Pelham Parkway,Not Available,No specific resident population,Not Applicable: Standalone Property,0,Not Available,Not Available,Fannie Mae Industry Survey - Multifamily,129.8,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0,Not Available,2014-12-31T00:00:00.000,Not Available,Not Available,No,Not Available,Not Available,Not Applicable: Standalone Property,Not Available,Not Available,Not Available,Not Available,Not Available
310 West End Ave,Not Available,Not Available,0,No,Not Available,Not Available,Ok,Ok,No,Not Available,84,0,Not Available,Not Available,100,9377447.4,Not Available,Possible Issue,Not Available,Ok,No,6694161.3,Not Available,Not Available,Ok,Not Available,6.0,Not Available,0,Not Available,8680252.8,Not Available,357243,115326.7,Upper West Side,Not Available,No specific resident population,Not Applicable: Standalone Property,66,Not Available,Not Available,Fannie Mae Industry Survey - Multifamily,105.3,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0,Not Available,2014-12-31T00:00:00.000,Not Available,Not Available,No,Not Available,Not Available,Not Applicable: Standalone Property,Not Available,Not Available,Not Available,Not Available,Not Available
223-01 65TH AVE,Not Available,Not Available,0,No,Not Available,Not Available,Ok,Ok,No,Not Available,Not Available,0,Not Available,Not Available,Not Available,1882436,Not Available,Ok,Not Available,Ok,Not Available,1368102.7,Not Available,Not Available,Ok,0,23.0,Not Available,0,Not Available,1129660.1,Not Available,62533,1154740,Oakland Gardens,Not Available,Not Available,Not Applicable: Standalone Property,0,Not Available,Not Available,Fannie Mae Industry Survey - Multifamily,152.3,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0,Not Available,2014-12-31T00:00:00.000,Not Available,Not Available,No,Not Available,Not Available,Not Applicable: Standalone Property,Not Available,Not Available,Not Available,Not Available,Not Available
The Allen Hospital,Not Available,Not Available,0,No,Not Available,Not Available,Ok,Ok,No,Not Available,69,Not Available,Not Available,Not Available,Not Available,123981410.4,Not Available,Possible Issue,Not Available,Ok,Not Available,52461511.6,Not Available,Not Available,Ok,Not Available,10.0,Not Available,0,Not Available,58340084.5,Not Available,9651136.6,19496524.4,park-cemetery-etc-Manhattan,Not Available,Not Available,Not Applicable: Standalone Property,Not Available,Not Available,Not Available,CBECS - Inpatient Healthcare,410,Not Available,0.0014,Not Available,0.68994,Not Available,Not Available,Not Available,0,"2014, 2006, 2005",2014-12-31T00:00:00.000,Not Available,Not Available,No,Not Available,Not Available,Not Applicable: Standalone Property,Not Available,Not Available,Not Available,100,Not Available
880 Third Ave,Not Available,Not Available,0,No,Not Available,Not Available,Ok,Ok,Not Available,Not Available,63,Not Available,Not Available,Not Available,Not Available,26823374,Not Available,Possible Issue,Not Available,Ok,Not Available,9474647.5,Not Available,Not Available,Ok,Not Available,4.0,Not Available,0,100,10990053.1,Not Available,2331666.1,Not Available,Turtle Bay-East Midtown,Not Available,Not Available,Not Applicable: Standalone Property,Not Available,Not Available,Not Available,CBECS - Office & Bank/Financial,185.7,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0,Not Available,2014-12-31T00:00:00.000,Not Available,Not Available,No,Not Available,Not Available,Not Applicable: Standalone Property,Not Available,Not Available,Not Available,Not Available,Not Available
Zuckerman,Not Available,Not Available,0,No,Not Available,Not Available,Ok,Ok,Not Available,701010,Not Available,Not Available,Not Available,Not Available,Not Available,819566853.9,Not Available,Ok,4018681.61,Ok,Not Available,380796640,Not Available,Not Available,Ok,Not Available,5.0,Not Available,0,Not Available,42557489.3,Not Available,55114291.1,Not Available,Lenox Hill-Roosevelt Island,Not Available,Not Available,Memorial Sloan Kettering Cancer Center 1,Not Available,Not Available,Not Available,CBECS - Other,1095.2,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0,Not Available,2014-12-31T00:00:00.000,Not Available,Not Available,No,Not Available,Not Available,3615313,Not Available,Not Available,Not Available,Not Available,Not Available
Hospital for Joint Diseases,Not Available,Not Available,0,No,Not Available,Not Available,Ok,Ok,Not Available,Not Available,23,Not Available,Not Available,Not Available,Not Available,182376898.5,Not Available,Ok,Not Available,Ok,Not Available,85371344.9,Not Available,Not Available,Ok,Not Available,,Not Available,0,Not Available,73738801,Not Available,12111058.4,Not Available,,Not Available,Not Available,Not Applicable: Standalone Property,Not Available,Not Available,Not Available,CBECS - Inpatient Healthcare,531,Not Available,0.00295,Not Available,0.58388,Not Available,Not Available,Not Available,0,Not Available,2014-12-31T00:00:00.000,Not Available,Not Available,No,Not Available,Not Available,Not Applicable: Standalone Property,Not Available,Not Available,Not Available,100,Not Available
909 Third,Not Available,Not Available,0,No,Not Available,Not Available,Ok,Ok,Not Available,Not Available,83,Not Available,Not Available,Not Available,Not Available,176552669.2,Not Available,Ok,785995.48,Ok,Not Available,76771763.4,Not Available,Not Available,Ok,1155641.16,4.0,Not Available,0,100,113705316.8,Not Available,12739340,Not Available,Turtle Bay-East Midtown,Not Available,Not Available,Not Applicable: Standalone Property,Not Available,Not Available,Not Available,CBECS - Office & Bank/Financial,221.4,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0,"2012, 2008",2014-12-31T00:00:00.000,Not Available,1000,No,N+1,Not Available,Not Applicable: Standalone Property,Not Available,Not Available,Not Available,Not Available,Not Available
265 MILL RD HLS,Not Available,Not Available,0,No,Not Available,Not Available,Ok,Ok,No,Not Available,93,1.03106,Not Available,Not Available,Not Available,11532979.9,Not Available,Possible Issue,Not Available,Ok,Not Available,7263250.5,Not Available,Not Available,Ok,0,50.0,Not Available,0,Not Available,10817068.1,Not Available,547136.6,5394079.7,Oakwood-Oakwood Beach,Not Available,Not Available,Not Applicable: Standalone Property,0,Not Available,Not Available,Fannie Mae Industry Survey - Multifamily,93.1,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0,Not Available,2014-12-31T00:00:00.000,Not Available,Not Available,No,Not Available,Not Available,Not Applicable: Standalone Property,Not Available,Not Available,Not Available,Not Available,Not Available
Sycamore Row,Not Available,Not Available,0,No,Not Available,Not Available,Ok,Ok,No,Not Available,72,0.87461,Not Available,Not Available,0,12135579.9,Not Available,Ok,Not Available,Ok,No,9168043.1,Not Available,Not Available,Ok,Not Available,14.0,Not Available,0,Not Available,10668387,Not Available,351859,7967500.1,University Heights-Morris Heights,Not Available,No specific resident population,Not Applicable: Standalone Property,0,Not Available,Not Available,Fannie Mae Industry Survey - Multifamily,110,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0,Not Available,2014-12-31T00:00:00.000,Not Available,Not Available,No,Not Available,Not Available,Not Applicable: Standalone Property,Not Available,Not Available,Not Available,Not Available,Not Available
520 East 72nd Street,Not Available,Not Available,0,No,Not Available,Not Available,Ok,Ok,No,Not Available,Not Available,0,Not Available,Not Available,100,39028990.5,Not Available,Ok,Not Available,Ok,No,28197444.7,Not Available,Not Available,Ok,Not Available,5.0,Not Available,0,Not Available,15933922,Not Available,1322295,23689466.9,Lenox Hill-Roosevelt Island,Not Available,No specific resident population,Not Applicable: Standalone Property,244,0,Not Available,Fannie Mae Industry Survey - Multifamily,226.5,Not Available,0.2,Not Available,0.7,Not Available,Not Available,Not Available,0,Not Available,2014-12-31T00:00:00.000,Not Available,Not Available,No,Not Available,Not Available,Not Applicable: Standalone Property,Not Available,Not Available,Not Available,100,Not Available
MMS428 - East 110th street,Not Available,Not Available,0,No,Not Available,Not Available,Ok,Ok,No,30000,Not Available,Not Available,Not Available,192200,Not Available,19581941.1,Not Available,Ok,Not Available,Ok,Not Available,7479071.6,Not Available,Not Available,Ok,291990.95,8.0,Not Available,0,Not Available,4038772.9,Not Available,1629254.4,1867150.1,East Harlem South,Not Available,Not Available,Not Applicable: Standalone Property,Not Available,Not Available,Not Available,CBECS - Unrefrgerated Warehouse & Storage,85.9,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0,Not Available,2014-12-31T00:00:00.000,Not Available,Not Available,No,Not Available,Not Available,Not Applicable: Standalone Property,Not Available,Not Available,Not Available,Not Available,Not Available
Center for Automotive Education and Training,Not Available,Not Available,0,No,Not Available,Not Available,Ok,Ok,No,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,15396827.3,Not Available,Ok,Not Available,Ok,Not Available,7138150.7,Not Available,Not Available,Ok,147942.12,19.0,Not Available,0,Not Available,6079031,Not Available,1111946,3357399.9,Whitestone,Not Available,Not Available,Not Applicable: Standalone Property,Not Available,Not Available,Not Available,CBECS - Education,163.3,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0,Not Available,2014-12-31T00:00:00.000,Not Available,Not Available,No,Not Available,Not Available,Not Applicable: Standalone Property,Not Available,Not Available,Not Available,Not Available,Not Available
"Pelican: Fordham One Company, LLC",Not Available,Not Available,0,No,Not Available,Not Available,Ok,Ok,No,Not Available,26,0.9517,Not Available,Not Available,90,10189934.9,Not Available,Possible Issue,Not Available,Ok,No,7870800.9,Not Available,Not Available,Ok,Not Available,14.0,Not Available,0,Not Available,6735892,Not Available,281435.9,4562883.2,University Heights-Morris Heights,Not Available,Not Available,Not Applicable: Standalone Property,0,Not Available,Not Available,Fannie Mae Industry Survey - Multifamily,141.8,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0,Not Available,2014-12-31T00:00:00.000,Not Available,Not Available,No,Not Available,Not Available,Not Applicable: Standalone Property,Not Available,Not Available,Not Available,Not Available,Not Available
"680 Fifth Avenue Associates, L.P.",Not Available,Not Available,0,No,Not Available,Not Available,Ok,Ok,Not Available,Not Available,77,Not Available,Not Available,Not Available,Not Available,41858097.9,Not Available,Ok,341636.5,Ok,Not Available,18510903.2,Not Available,Not Available,Ok,Not Available,4.0,Not Available,0,100,26543648.2,Not Available,2953293.4,Not Available,Midtown-Midtown South,Not Available,Not Available,Not Applicable: Standalone Property,Not Available,Not Available,Not Available,CBECS - Office & Bank/Financial,177.6,44,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0,Not Available,2014-12-31T00:00:00.000,0,Not Available,No,Not Available,Not Available,Not Applicable: Standalone Property,Not Available,Not Available,Not Available,Not Available,Not Available
MSR -  515 Residential,Not Available,Not Available,0,No,Not Available,Not Available,Ok,Ok,No,Not Available,65,Not Available,Not Available,Not Available,Not Available,60307870.8,Not Available,Ok,Not Available,Ok,Not Available,35580163.6,Not Available,Not Available,Ok,Not Available,6.0,Not Available,0,Not Available,43303663,Not Available,2659024.3,1045610.1,Lincoln Square,Not Available,Not Available,Not Applicable: Standalone Property,Not Available,Not Available,Not Available,CBECS - Dormitory,146.3,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0,Not Available,2014-12-31T00:00:00.000,Not Available,Not Available,No,Not Available,Not Available,Not Applicable: Standalone Property,Not Available,Not Available,Not Available,Not Available,Not Available
123 W 93 St.,Not Available,Not Available,0,No,Not Available,Not Available,Ok,Ok,No,Not Available,81,0,Not Available,Not Available,100,11150370.6,Not Available,Ok,Not Available,Ok,No,7663738.1,Not Available,Not Available,Ok,0,6.0,Not Available,0,Not Available,9669407.2,Not Available,432021.8,6178835.9,Upper West Side,Not Available,No specific resident population,Not Applicable: Standalone Property,87,Not Available,Not Available,Fannie Mae Industry Survey - Multifamily,103.7,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0,Not Available,2014-12-31T00:00:00.000,Not Available,Not Available,No,Not Available,Not Available,Not Applicable: Standalone Property,Not Available,Not Available,Not Available,Not Available,Not Available
