property_name,green_power_onsite_kwh,electricity_use_grid_purchase,number_of_active_energy_meters_2,parking_gross_floor_area,energy_power_station_gross,estimated_data_flag_2,alert_property_has_no_uses,electricity_use_generated,laboratory_gross_floor_area,property_gfa_calculated_1,estimated_data_flag_fuel_3,indirect_location_based_ghg_1,propane_use_kbtu,indirect_location_based_ghg,self_storage_facility_gross,medical_office_number_of,other_gross_floor_area_ft,indoor_water_use_all_water,alert_data_center_issue_with,hospital_general_medical_3,annual_maximum_demand_meter,multifamily_housing_government,last_modified_date_non,food_sales_gross_floor_area,hospital_general_medical_5,nyc_borough_block_and_lot,metered_areas_water,third_party_certification_2,data_center_energy_estimates,municipally_supplied_potable_1,primary_property_type_self,total_location_based_ghg_1,multifamily_housing_total,number_of_active_energy_meters,fitness_center_health_club,supermarket_grocery_number,automobile_dealership_gross,hospital_general_medical_4,financial_office_number_of,estimated_data_flag_district,outpatient_rehabilitation,percent_of_total_electricity,data_center_it_equipment,manufacturing_industrial,supermarket_grocery_gross,medical_office_weekly,outdoor_water_use_all_water,estimated_data_flag_diesel,data_center_pdu_output_meter,data_center_gross_floor_area,alert_energy_meter_has,mailing_center_post_office,hospital_general_medical_10
751 Troy Avenue,Not Available,999426,0,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,90944,Not Available,0.9,Not Available,84.5,Not Available,Not Available,Not Available,5098.9,Ok,Not Available,Not Available,No,,Not Available,Not Available,3048650001,Whole Property,Not Available,Not Available,5098.9,Multifamily Housing,6,95,4,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,Not Available
3139 BROADWAY,Not Available,746938,0,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,25412,Not Available,2.5,Not Available,63.1,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,Not Available,,Not Available,Not Available,1019930073,Whole Property,Not Available,Not Available,Not Available,Multifamily Housing,9.9,26,10,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,Not Available
Child - 200-210 East 165 Street,Not Available,654332.9,0,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,24840,Not Available,2.2,Not Available,55.3,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,Not Available,2023-02-09T00:00:00.000,Not Available,Not Available,2024550059,Not Available,Not Available,Not Available,Not Available,Multifamily Housing,4.9,26,10,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,Not Available
38-19 Union Street,Not Available,585731.2,0,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,27830,Not Available,1.8,Not Available,49.5,Not Available,Not Available,Not Available,194.6,Ok,Not Available,Not Available,Not Available,,Not Available,Not Available,4050200003,Whole Property,Not Available,Not Available,194.6,Office,2.3,Not Available,4,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,Not Available
CARO: 34-43 Crescent Street,Not Available,1614172.9,0,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,111120,Not Available,1.2,Not Available,136.5,Not Available,Not Available,Not Available,4207.7,Ok,Not Available,Not Available,No,2023-04-12T00:00:00.000,Not Available,Not Available,4-00583-0011,Whole Property,Not Available,Not Available,4207.7,Multifamily Housing,4,120,6,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,Not Available
Indus - 22-30 Mott Avenue,Not Available,1825658.7,0,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,137820,Not Available,1.1,Not Available,154.3,Not Available,Not Available,Not Available,12434.1,Ok,Not Available,Not Available,100.0% Yes,2023-03-10T00:00:00.000,Not Available,Not Available,4156610012,Whole Property,Not Available,Not Available,12434.1,Multifamily Housing,4.9,132,4,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,Not Available
Not Active-6200 Riverdale Avenue,Not Available,791430.5,0,6000,Not Available,Not Available,Ok,Not Available,Not Available,62601,Not Available,1.1,Not Available,66.9,Not Available,Not Available,Not Available,5037.4,Ok,Not Available,Not Available,Not Available,,Not Available,Not Available,2-05887-1348,Whole Property,Not Available,Not Available,5037.4,Multifamily Housing,5.3,61,5,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,Not Available
101 East 10th Street,Not Available,1788024.5,0,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,41323,Not Available,3.7,Not Available,151.2,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,Not Available,,Not Available,Not Available,1004667501,Whole Property,Not Available,Not Available,Not Available,Multifamily Housing,6.9,29,13,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,Not Available
Living - 350 West 110th Street,Not Available,462083.7,0,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,31596,Not Available,1.2,Not Available,39.1,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,Not Available,,Not Available,Not Available,1018450014,Whole Property,Not Available,Not Available,Not Available,Multifamily Housing,4.5,36,10,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,Not Available
Automotive Realty: 2490 Webster Ave,Not Available,4079612.4,0,15500,Not Available,Not Available,Ok,Not Available,Not Available,37700,Not Available,9.1,Not Available,344.9,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,Not Available,,Not Available,Not Available,2-03033-0004,Whole Property,Not Available,Not Available,Not Available,K-12 School,13,Not Available,10,Not Available,4,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,16500,Not Available,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,Not Available
170 Van Brunt Street,Not Available,559851.2,0,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,39740,Not Available,1.2,Not Available,47.3,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,Not Available,,Not Available,Not Available,3005020001,Whole Property,Not Available,Not Available,Not Available,Manufacturing/Industrial Plant,2.5,Not Available,5,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,39740,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,Not Available
1240 Edward L Grant Highway,Not Available,1287296.4,0,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,26000,Not Available,4.2,Not Available,108.8,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,Not Available,,Not Available,Not Available,2028710002,Not Available,Not Available,Not Available,Not Available,Office,10.8,Not Available,8,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,Not Available
637 - Hotel Indigo Flushing,Not Available,4422282.6,0,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,89930,Not Available,4.2,Not Available,373.9,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,Not Available,,Not Available,Not Available,3049717504,Not Available,Not Available,Not Available,Not Available,Hotel,5.6,Not Available,2,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,Not Available
Resolution -  24-32 Union Square,Not Available,5692672.9,0,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,145772,Not Available,3.3,Not Available,481.3,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,Not Available,2023-03-16T00:00:00.000,Not Available,Not Available,1008710003,Whole Property,Not Available,Not Available,Not Available,Office,6,Not Available,9,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,Not Available
831 Bartholdi Street,Not Available,1977330.8,0,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,127629,Not Available,1.3,Not Available,167.2,Not Available,Not Available,Not Available,8635.9,Ok,Not Available,Not Available,Not Available,,Not Available,Not Available,2-04633-0001,Whole Property,Not Available,Not Available,8635.9,Multifamily Housing,4,122,2,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,Not Available
ROSENBERG: 1266-68 Grand Concourse,Not Available,1262614,0,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,60874,Not Available,1.8,Not Available,106.7,Not Available,Not Available,Not Available,6827,Ok,Not Available,Not Available,No,2023-04-05T00:00:00.000,Not Available,Not Available,2-02457-0040,Whole Property,Not Available,Not Available,6827,Multifamily Housing,6.7,56,12,Not Available,0.45,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,1800,Not Available,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,Not Available
90-11 149th Street,Not Available,1596587.4,0,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,136000,Not Available,1,Not Available,135,Not Available,Not Available,Not Available,14955.8,Ok,Not Available,Not Available,No,2023-03-10T00:00:00.000,Not Available,Not Available,4096790052,Whole Property,Not Available,Not Available,14955.8,Multifamily Housing,4.7,120,5,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,Not Available
M&&L: 1695 Grand Concourse,Not Available,1083729.7,0,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,85500,Not Available,1.1,Not Available,91.6,Not Available,Not Available,Not Available,9370.7,Ok,Not Available,Not Available,No,2022-07-14T00:00:00.000,Not Available,Not Available,2-02822-0012,Whole Property,Not Available,Not Available,9370.7,Multifamily Housing,3.7,75,8,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,Not Available
490 Myrtle Avenue,Not Available,5528733.1,0,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,113302,Not Available,4.1,Not Available,467.4,Not Available,Not Available,Not Available,3940,Ok,Not Available,Not Available,100.0% Yes,,Not Available,Not Available,3019057502,Whole Property,Not Available,Not Available,3940,Multifamily Housing,5.1,93,5,Not Available,0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,36755,Not Available,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,Not Available
Estates at Bayside- Section 2A,Not Available,2470584.8,0,10625,Not Available,Not Available,Ok,Not Available,Not Available,147700,Not Available,1.4,Not Available,208.9,Not Available,Not Available,Not Available,11093.9,Ok,Not Available,Not Available,Not Available,2018-04-19T00:00:00.000,Not Available,Not Available,4-07670-0002,Whole Property,Not Available,Not Available,11093.9,Multifamily Housing,8.1,188,210,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,Not Available
66 Ainslie Street,Not Available,932799.9,0,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,42172,Not Available,1.9,Not Available,78.9,Not Available,Not Available,Not Available,124.6,Ok,Not Available,Not Available,Not Available,,Not Available,Not Available,3023750005,Whole Property,Not Available,Not Available,124.6,Multifamily Housing,3.1,51,5,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,Not Available
629 West 170th Street,Not Available,306902.6,0,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,30020,Not Available,0.9,Not Available,25.9,Not Available,Not Available,Not Available,1960.6,Ok,Not Available,Not Available,Not Available,2023-04-13T00:00:00.000,Not Available,Not Available,1021420009,Whole Property,Not Available,Not Available,1960.6,Multifamily Housing,7.2,33,7,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,Not Available
2570 Briggs Avenue,Not Available,526174.7,0,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,39456,Not Available,1.1,Not Available,44.5,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,No,,Not Available,Not Available,2032930026,Not Available,Not Available,Not Available,Not Available,Multifamily Housing,4.8,43,6,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,Not Available
H. Schrier: 1476 Utica Ave,Not Available,5901105.3,0,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,107231,Not Available,4.7,Not Available,498.9,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,Not Available,,Not Available,Not Available,3-04786-0088,Not Available,Not Available,Not Available,Not Available,Non-Refrigerated Warehouse,4.8,Not Available,3,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,Not Available
Muse Hotel,Not Available,5461704.6,0,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,113969,Not Available,4.1,Not Available,461.7,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,Not Available,,Not Available,Not Available,1-00998-0047,Whole Property,Not Available,Not Available,Not Available,Hotel,7,Not Available,4,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,Not Available
6309 Bay Parkway,Not Available,678769.6,0,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,64500,Not Available,0.9,Not Available,57.4,Not Available,Not Available,Not Available,1823.4,Ok,Not Available,Not Available,No,,Not Available,Not Available,3065520001,Whole Property,Not Available,Not Available,1823.4,Multifamily Housing,5.1,82,4,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,Not Available
Hotel ThirtyTwo - 32,Not Available,1470824.4,0,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,33275,Not Available,3.7,Not Available,124.3,Not Available,Not Available,Not Available,2774.8,Ok,Not Available,Not Available,Not Available,,Not Available,Not Available,1-00861-0054,Whole Property,Not Available,Not Available,2774.8,Hotel,7.2,Not Available,6,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,Not Available
Delta Management- 100-11 67 Road,Not Available,1604725,0,11250,Not Available,Not Available,Ok,Not Available,Not Available,138120,Not Available,1,Not Available,135.7,Not Available,Not Available,Not Available,6402.1,Ok,Not Available,Not Available,Not Available,2022-03-01T00:00:00.000,Not Available,Not Available,4-03170-0001,Whole Property,Not Available,Not Available,6402.1,Multifamily Housing,4.1,156,5,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,Not Available
Living - 5 Delavan Street,Not Available,1802982.7,0,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,113628,Not Available,1.3,Not Available,152.4,Not Available,Not Available,Not Available,3575.2,Ok,Not Available,Not Available,Not Available,,Not Available,Not Available,3005230018,Whole Property,Not Available,Not Available,3575.2,Multifamily Housing,3.3,100,7,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,Not Available
2800-2900 East 29 Street,Not Available,448442.6,0,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,39798,Not Available,1,Not Available,37.9,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,Not Available,,Not Available,Not Available,3087927502,Whole Property,Not Available,Not Available,Not Available,Multifamily Housing,2.7,18,7,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,Not Available
Michael Young: 36-08 29th Street,Not Available,751233.7,0,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,84166,Not Available,0.8,Not Available,63.5,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,No,,Not Available,Not Available,4-00343-0024,Whole Property,Not Available,Not Available,Not Available,Multifamily Housing,4.2,72,10,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,Not Available
155 West 81,Not Available,788155.8,0,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,67231,Not Available,1,Not Available,66.6,Not Available,Not Available,Not Available,8393.7,Ok,Not Available,Not Available,Not Available,2020-04-26T00:00:00.000,Not Available,Not Available,1012120110,Whole Property,Not Available,Not Available,8393.7,Multifamily Housing,5.5,66,3,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,Not Available
First Metropolitan: 2206 Holland Ave,Not Available,646103.1,0,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,63956,Not Available,0.9,Not Available,54.6,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,No,2023-04-14T00:00:00.000,Not Available,Not Available,2043450005,Whole Property,Not Available,Not Available,Not Available,Multifamily Housing,1,55,6,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,Not Available
Imperial && Estate: 118-40 Metropolitan Ave,Not Available,1108790.8,0,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,89587,Not Available,1,Not Available,93.7,Not Available,Not Available,Not Available,3416.4,Ok,Not Available,Not Available,Not Available,2023-04-10T00:00:00.000,Not Available,Not Available,4-03322-0014,Whole Property,Not Available,Not Available,3416.4,Multifamily Housing,4.7,84,7,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,Not Available
345-HIWall,Not Available,1925270.3,0,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,37075,Not Available,4.4,Not Available,162.8,Not Available,Not Available,Not Available,4202,Ok,Not Available,Not Available,Not Available,,Not Available,Not Available,1-00064-0001,Whole Property,Not Available,Not Available,4202,Hotel,6.9,Not Available,4,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,Not Available
144 East 24th Street NY,Not Available,1005448.1,0,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,38267,Not Available,2.2,Not Available,85,Not Available,Not Available,Not Available,1380.3,Ok,Not Available,Not Available,100.0% Yes,,Not Available,Not Available,1008790054,Whole Property,Not Available,Not Available,1380.3,Multifamily Housing,5.3,38,7,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,Not Available
Indus - 168-42 88th Avenue,Not Available,796200.5,0,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,50976,Not Available,1.3,Not Available,67.3,Not Available,Not Available,Not Available,6279.2,Ok,Not Available,Not Available,100.0% Yes,2023-03-10T00:00:00.000,Not Available,Not Available,4098200049,Whole Property,Not Available,Not Available,6279.2,Multifamily Housing,6.2,78,4,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,Not Available
39-82 65 Place,Not Available,345980.2,0,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,31316,Not Available,0.9,Not Available,29.2,Not Available,Not Available,Not Available,2601,Ok,Not Available,Not Available,No,2022-04-03T00:00:00.000,Not Available,Not Available,4012970050,Whole Property,Not Available,Not Available,2601,Multifamily Housing,6.2,38,3,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,Not Available
The Waterford Condominium Association,Not Available,926446.7,0,1683,Not Available,Not Available,Ok,Not Available,Not Available,37122,Not Available,2.1,Not Available,78.3,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,No,,Not Available,Not Available,3061337502,Not Available,Not Available,Not Available,Not Available,Multifamily Housing,2.1,23,2,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,Not Available
Majestic: 63-84 Saunders Street,Not Available,1645471.2,0,12000,Not Available,Not Available,Ok,Not Available,Not Available,153606,Not Available,0.9,Not Available,139.1,Not Available,Not Available,Not Available,6244,Ok,Not Available,Not Available,No,2022-08-26T00:00:00.000,Not Available,Not Available,4-03083-0061,Whole Property,Not Available,Not Available,6244,Multifamily Housing,3.7,121,6,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,Not Available
Living - 992 Amsterdam Ave,Not Available,1014022.6,0,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,28944,Not Available,3,Not Available,85.7,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,Not Available,,Not Available,Not Available,1018810029,Not Available,Not Available,Not Available,Not Available,Multifamily Housing,9.4,30,15,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,Not Available
284 Eastern Parkway,Not Available,869688.1,0,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,76670,Not Available,1,Not Available,73.5,Not Available,Not Available,Not Available,2431.9,Ok,Not Available,Not Available,No,,Not Available,Not Available,3011850021,Whole Property,Not Available,Not Available,2431.9,Multifamily Housing,4.8,72,4,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,Not Available
2537 Broadway,Not Available,11915508.9,0,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,41250,Not Available,24.4,Not Available,1007.3,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,Not Available,,Not Available,Not Available,1012420055,Not Available,Not Available,Not Available,Not Available,Performing Arts,44.8,Not Available,13,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,Not Available
