bike_store_6,residence_rent_own,scooter_typical_charge_1,diary_platform,reduced_bike_1,increased_veh_5,bike_store_2,r_num_vehicles,increased_bike_997,increased_bike_1,packages,reduced_veh_2,ev_purchase_barriers_1,increased_veh_8,increased_bike_2,increased_veh_6,ev_purchase_barriers_3,participation_group,reduced_veh_3,scooter_typical_charge_6,bike_store_9,ev_typical_charge_7,scooter_typical_charge_5,num_vehicles,bike_store_3,ev_typical_charge_4,ev_typical_charge_2,hh_weight,reduced_veh_997
0,2,995,rmove,995,995,0,0,995,995,2,995,995,995,995,995,995,3,995,995,0,995,995,0,0,995,995,173.3775459,995
995,1,995,browser,995,995,995,1,995,995,2,995,995,995,995,995,995,1,995,995,995,995,995,1,995,995,995,1264.547082,995
995,2,995,rmove,995,995,995,1,995,995,2,995,0,995,995,995,0,9,995,995,995,995,995,1,995,995,995,999.0799804,995
995,1,995,rmove,995,995,995,2,995,995,2,995,995,995,995,995,995,9,995,995,995,995,995,2,995,995,995,237.0821922,995
1,2,995,rmove,995,1,0,1,0,0,2,995,1,0,0,1,0,3,995,995,0,995,995,1,1,995,995,393.1397429,995
1,2,1,rmove,995,995,0,1,0,1,2,995,995,995,0,995,995,9,995,0,0,995,0,1,0,995,995,406.9821198,995
995,1,995,browser,995,995,995,1,995,995,1,995,0,995,995,995,0,1,995,995,995,995,995,1,995,995,995,460.5715308,995
1,1,995,browser,995,995,1,0,995,995,2,995,995,995,995,995,995,1,995,995,0,995,995,0,0,995,995,2734.714422,995
995,2,995,browser,995,995,995,1,995,995,2,995,995,995,995,995,995,1,995,995,995,995,995,1,995,995,995,824.2471246,995
995,2,995,rmove,995,995,995,0,995,995,6,995,995,995,995,995,995,9,995,995,995,995,995,0,995,995,995,270.2281409,995
995,2,995,rmove,995,995,995,1,995,995,5,995,1,995,995,995,1,9,995,995,995,995,995,1,995,995,995,176.9562222,995
