address_1,national_median_energy_star_score,medical_office_number_of_mri_machines,annual_maximum_demand_kw,estimated_data_flag_natural_gas,number_of_active_energy_meters_not_used_to_compute_metrics,financial_office_gross_floor_area_ft,source_eui_kbtu_ft,estimated_data_flag_fuel_oil_no_1,supermarket_grocery_number_of_walk_in_refrigeration_freezer_units,egrid_output_emissions_rate_kgco2e_mbtu,electricity_use_grid_purchase_kwh,alert_data_center_issue_with_estimates_it_configuration_or_it_meter,parking_completely_enclosed_parking_garage_size_ft,council_district,third_party_certification_date_achieved,estimated_data_flag_fuel_oil_no_2,hotel_gym_fitness_center_floor_area_ft,office_number_of_workers_on_main_shift,default_values,courthouse_gross_floor_area_ft,retail_store_number_of_open_or_closed_refrigeration_freezer_units,financial_office_number_of_computers,green_power_onsite_kwh,year_ending,percent_of_recs_retained,total_ghg_emissions_intensity_kgco2e_ft,parking_open_parking_lot_size_ft,distribution_center_gross_floor_area_ft,data_center_it_source_energy_kbtu,water_use_all_water_sources_kgal,property_gfa_calculated_parking_ft,pre_school_daycare_gross_floor_area_ft,wholesale_club_supercenter_exterior_entrance_to_the_public,national_median_site_eui_kbtu_ft,senior_living_community_living_unit_density_number_per_1_000_sq_ft,direct_ghg_emissions_metric_tons_co2e,restaurant_worker_density_number_per_1_000_sq_ft,last_modified_date_non_electric_non_gas_energy_meters,college_university_gross_floor_area_ft,laboratory_gross_floor_area_ft,multifamily_housing_percent_that_can_be_cooled,alert_property_has_no_uses,data_center_ups_output_meter_kwh,avoided_emissions_offsite_green_power_metric_tons_co2e,office_percent_that_can_be_cooled
292 Greenwich Street,50,Not Available,288,No,0,Not Available,97.8,Not Available,Not Available,79.5,461999.9,Ok,Not Available,1.0,Not Available,Not Available,Not Available,Not Available,No,Not Available,Not Available,Not Available,Not Available,2020-12-31T00:00:00.000,Not Available,4,Not Available,Not Available,Not Available,383.8,Not Available,Not Available,Not Available,73.4,Not Available,1.3,Not Available,04/12/2021 03:03 PM EDT,Not Available,Not Available,Not Available,Ok,Not Available,0,Not Available
551 Madison Avenue,50,Not Available,Not Available,No,2,Not Available,126.4,Not Available,Not Available,79.5,1538119.8,Ok,Not Available,4.0,Not Available,Not Available,Not Available,85.46,No,Not Available,Not Available,Not Available,Not Available,2020-12-31T00:00:00.000,Not Available,3.8,Not Available,Not Available,Not Available,1155.8,Not Available,Not Available,Not Available,67.8,Not Available,69.8,Not Available,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,0,100
44-36 Vernon Boulevard,50,Not Available,1200.6,No,0,Not Available,75,Not Available,Not Available,79.5,3702719.5,Ok,Not Available,26.0,Not Available,No,Not Available,2500,Yes,Not Available,Not Available,Not Available,Not Available,2020-12-31T00:00:00.000,Not Available,3.2,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,81.2,Not Available,1137.5,Not Available,03/23/2021 09:38 AM EDT,Not Available,Not Available,Not Available,Ok,Not Available,0,100
1700 Fulton Street,50,Not Available,538.1,No,0,Not Available,87.1,Not Available,Not Available,79.5,2366860.3,Ok,Not Available,36.0,Not Available,No,Not Available,Not Available,No,Not Available,Not Available,Not Available,275447.5,2020-12-31T00:00:00.000,100,3.2,Not Available,Not Available,Not Available,1389.1,Not Available,Not Available,Not Available,71.2,Not Available,838.5,Not Available,03/23/2021 09:38 AM EDT,Not Available,Not Available,Not Available,Ok,Not Available,0,Not Available
750 Jennings Street,50,Not Available,344.4,No,0,Not Available,50.9,Not Available,Not Available,79.5,500399.9,Ok,Not Available,16.0,Not Available,No,Not Available,Not Available,No,Not Available,Not Available,Not Available,Not Available,2020-12-31T00:00:00.000,Not Available,2.5,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,82.5,Not Available,309.6,Not Available,03/23/2021 09:37 AM EDT,Not Available,Not Available,Not Available,Ok,Not Available,0,Not Available
800 East Gun Hill Road,50,Not Available,377.8,No,0,Not Available,93.6,Not Available,Not Available,79.5,1066819.6,Ok,Not Available,12.0,Not Available,Not Available,Not Available,Not Available,No,Not Available,Not Available,Not Available,152108.7,2020-12-31T00:00:00.000,100,5.7,Not Available,Not Available,Not Available,2050.6,Not Available,Not Available,Not Available,104.5,Not Available,1923.5,Not Available,03/23/2021 09:36 AM EDT,Not Available,Not Available,Not Available,Ok,Not Available,0,Not Available
557 Pennsylvania Avenue,50,Not Available,324,No,0,Not Available,73.4,Not Available,Not Available,79.5,595199.9,Ok,Not Available,42.0,Not Available,Not Available,Not Available,Not Available,No,Not Available,Not Available,Not Available,Not Available,2020-12-31T00:00:00.000,Not Available,3.6,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,88.5,Not Available,363.2,Not Available,03/23/2021 09:38 AM EDT,Not Available,Not Available,Not Available,Ok,Not Available,0,Not Available
577 East 139th Street,50,Not Available,120,Not Available,0,Not Available,152,Not Available,Not Available,79.5,230000,Ok,Not Available,8.0,Not Available,Not Available,Not Available,Not Available,No,Not Available,Not Available,Not Available,Not Available,2020-12-31T00:00:00.000,Not Available,4.3,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,51.4,Not Available,0,Not Available,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,0,Not Available
317 Hoyt Street,50,Not Available,360,No,0,Not Available,113.3,Not Available,Not Available,79.5,911999.9,Ok,Not Available,39.0,Not Available,Not Available,Not Available,Not Available,No,Not Available,Not Available,Not Available,37749.6,2020-12-31T00:00:00.000,100,4.8,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,71.5,Not Available,306.6,Not Available,03/23/2021 09:38 AM EDT,Not Available,Not Available,Not Available,Ok,Not Available,0,Not Available
2100 Lafontaine Avenue,50,Not Available,429.8,No,0,Not Available,100.9,Not Available,Not Available,79.5,661599.9,Ok,Not Available,15.0,Not Available,No,Not Available,Not Available,No,Not Available,Not Available,Not Available,Not Available,2020-12-31T00:00:00.000,Not Available,3.6,Not Available,Not Available,Not Available,384,Not Available,Not Available,Not Available,60.3,Not Available,170.8,Not Available,03/23/2021 09:39 AM EDT,Not Available,Not Available,Not Available,Ok,Not Available,0,Not Available
161 Park Avenue,50,Not Available,120,No,0,Not Available,135.1,Not Available,Not Available,79.5,253040,Ok,Not Available,49.0,Not Available,Not Available,Not Available,Not Available,No,Not Available,Not Available,Not Available,Not Available,2020-12-31T00:00:00.000,Not Available,6.7,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,105.3,Not Available,164.9,Not Available,03/23/2021 09:38 AM EDT,Not Available,Not Available,Not Available,Ok,Not Available,0,Not Available
75-40 Parsons Boulevard,50,Not Available,96,No,0,Not Available,89.2,Not Available,Not Available,79.5,219600,Ok,Not Available,24.0,Not Available,Not Available,Not Available,Not Available,No,Not Available,Not Available,Not Available,Not Available,2020-12-31T00:00:00.000,Not Available,3.6,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,97.9,Not Available,117.2,Not Available,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,0,Not Available
