activitydetailid,lotid,area,civilian_hrs,fivedayletterno,lotdupinspectionrequestid,streetaddress,lotcleaningtotal,crossstreettwo,used_house1,total_tonnage,activitystatusdate,firstname,old_status_rea_dd,isdeleted,segmentid,ccuno,coordinatex,operatorid_detail,lotno,zone,requestconversion_notes,dumpsiteid,l_tires
178486,67830,40.0,0,,,,,,,375.8,2010-11-02T14:55:56.000,,,0,,9805644,,619,1,11.0,PB STATUS = ASSIGNED TO INTAKE,,0
66391,25160,40.0,0,,,,158.03,,,0.0,2010-11-02T14:55:57.000,,,0,,509865,,693,77,9.0,PB STATUS = ASSIGNED TO INTAKE,,0
135430,73292,39.0,0,1.0,,,,,,0.1,2010-11-02T14:55:56.000,,,0,,812296,,331,8,9.0,PB STATUS = ASSIGNED TO INTAKE,,0
308841,201805,0.0,0,,,EAST  170 STREET,0.0,FULTON AVENUE,571,0.31,2014-10-01T11:06:23.000,,,0,0.0,1408875,0.0,694,1,6.0,,0.0,0
102413,51404,39.0,0,1.0,,,,,,0.0,2010-11-02T14:55:57.000,,,0,,707399,,694,34,12.0,PB STATUS = ASSIGNED TO INTAKE,,0
184020,100704,40.0,0,,,,,,,45.9,2010-11-02T14:55:56.000,,,0,,9805616,,694,3,11.0,PB STATUS = ASSIGNED TO INTAKE,,0
9833,154112,39.0,156,,,,,,,12.0,2010-11-02T14:55:59.000,,,0,,210265,,694,36,6.0,PB STATUS = ASSIGNED TO INTAKE,,0
237877,100494,,0,,,,,,,282.0,2010-11-02T14:55:56.000,,,0,,9707515,,331,54,2.0,PB STATUS = ASSIGNED TO INTAKE,,0
231778,133518,,0,,,,1454.86,,,13.3,2010-11-02T14:55:57.000,,,0,,9703282,,618,49,11.0,PB STATUS = ASSIGNED TO INTAKE,,0
71955,32834,39.0,0,,,,,,,12.25,2010-11-02T14:55:54.000,,,0,,605272,,694,41,1.0,PB STATUS = ASSIGNED TO INTAKE,,0
276769,184613,,0,,,105 STREET,0.0,NORTHERN BOULEVARD,32-32,0.15,2012-06-28T11:57:22.000,MARCOS,,0,83306.0,1207711,1021942.0,693,19,,,0.0,0
117642,58764,40.0,0,1.0,,,,,,5.55,2010-11-02T14:55:56.000,,,0,,712314,,694,2,12.0,PB STATUS = ASSIGNED TO INTAKE,,0
306438,200223,,0,,,,0.0,BEACH CHANNEL DRIVE,331,1.0,2014-08-04T14:39:38.000,CECILIA,,0,57991.0,1407614,1048500.0,694,7,10.0,,0.0,0
200925,108419,40.0,0,,,,,,,108.7,2010-11-02T14:55:57.000,,,0,,9900140,,694,130,11.0,PB STATUS = ASSIGNED TO INTAKE,,0
107614,54294,39.0,0,1.0,,,,,,0.0,2010-11-02T14:55:57.000,,,0,,709619,,694,44,4.0,PB STATUS = ASSIGNED TO INTAKE,,0
142738,78761,39.0,0,1.0,,,,,,0.3,2010-11-02T14:55:56.000,,,0,,907080,,694,43,8.0,PB STATUS = ASSIGNED TO INTAKE,,0
