property_name,alert_meter_has_overlaps,year_built,_3rd_largest_property_use,multifamily_housing_number_3,financial_office_gross_floor,multifamily_housing_government,hospital_general_medical_8,college_university_gross,medical_office_number_of_1,alert_meter_has_gaps,office_gross_floor_area_ft,avoided_emissions_onsite,metered_areas_energy,energy_power_station_gross,hospital_general_medical_11,address_2,national_median_source_eui,financial_office_number_of_1,municipally_supplied_potable,alert_data_center_does_not,movie_theater_gross_floor,energy_star_certification_1,percent_of_total_electricity,weather_normalized_site_1,weather_normalized_site_eui,office_percent_that_can_be_1,nta,college_university_number,outpatient_rehabilitation,convention_center_gross_floor,bank_branch_number_of,longitude,energy_star_score,wholesale_club_supercenter,fuel_oil_4_use_kbtu,metered_areas_water,weather_normalized_site_2,retail_store_gross_floor,property_gfa_epa_calculated_1,number_of_buildings,retail_store_open_or_closed,office_number_of_computers,adult_education_gross_floor,other_number_of_computers,hotel_gym_fitness_center,medical_office_number_of,district_hot_water_use_kbtu,_2nd_largest_property_use_1,multifamily_housing_number_6,national_median_total_ghg,site_energy_use_kbtu,weather_normalized_site_3,estimated_data_flag_1,automobile_dealership_gross,data_center_it_source_energy,outdoor_water_use_all_water,postcode,diesel_2_use_kbtu,avoided_emissions_offsite,council_district,multifamily_housing_number_2,worship_facility_gross_floor
1451 52nd Street - 36383,Ok,1931,Not Available,1.14917,Not Available,No,Not Available,Not Available,Not Available,Ok,2100,Not Available,Whole Building,Not Available,Not Available,Not Available,127.9,Not Available,Not Available,Ok,Not Available,Not Available,Not Available,0.5,58.9,100,Borough Park,Not Available,Not Available,Not Available,Not Available,-73.990539,Not Available,Not Available,Not Available,Whole Building,40185.1,Not Available,83028.0,1,Not Available,12,Not Available,Not Available,Not Available,Not Available,Not Available,2100,62,432.5,4760725.7,254453.6,Not Available,Not Available,Not Available,Not Available,11219,Not Available,0,44.0,2,Not Available
795 Columbus Avenue,Ok,2007,K-12 School,1.02426,Not Available,No,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,127.9,Not Available,Not Available,Ok,Not Available,Not Available,Not Available,0.4,99.7,Not Available,Upper West Side,Not Available,Not Available,Not Available,Not Available,-73.966272,Not Available,Not Available,Not Available,Not Available,111011.9,52234,270366.0,1,0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,52234,0,1068.8,26989364.8,4645866.8,Not Available,Not Available,Not Available,Not Available,10025,Not Available,0,7.0,5,Not Available
11 Times Square,Ok,2011,Other,Not Available,2393,Not Available,Not Available,Not Available,Not Available,Ok,1090408,Not Available,Whole Building,Not Available,Not Available,Not Available,248.2,0,Not Available,Ok,Not Available,Not Available,Not Available,0.2,101.9,89.54,Midtown-Midtown South,Not Available,Not Available,Not Available,Not Available,-73.990193,44,Not Available,Not Available,Whole Building,279483,31820,1135441.0,1,0,1549.04,Not Available,1,Not Available,Not Available,Not Available,31820,Not Available,8433.5,119006798.9,24411912.3,Not Available,Not Available,Not Available,Not Available,10036,Not Available,0,3.0,Not Available,Not Available
3015/3017 Riverdale Ave,Ok,1941,Not Available,1.49423,Not Available,No,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,Whole Building,Not Available,Not Available,Not Available,136.3,Not Available,Not Available,Ok,Not Available,Not Available,Not Available,0.8,94.2,Not Available,Spuyten Duyvil-Kingsbridge,Not Available,Not Available,Not Available,Not Available,-73.910245,55,Not Available,Not Available,Whole Building,98214,Not Available,125148.0,1,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0,705.3,11708852.7,578076.9,Not Available,Not Available,Not Available,Not Available,10463,Not Available,0,11.0,14,Not Available
181 ROCKAWAY PARKWAY,Ok,1931,Not Available,1.70432,Not Available,No,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,Whole Building,Not Available,Not Available,Not Available,141.7,Not Available,Not Available,Ok,Not Available,Not Available,Not Available,0.4,74.5,Not Available,Brownsville,Not Available,Not Available,Not Available,Not Available,-73.921442,85,Not Available,1287866.1,Whole Building,23499.8,Not Available,61608.0,1,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,70,389.9,4495953.7,263093,Not Available,Not Available,Not Available,Not Available,11212,Not Available,0,41.0,0,Not Available
885 TROY AVE,Ok,1928,Not Available,1.70864,Not Available,No,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,Whole Building,Not Available,Not Available,Not Available,150.2,Not Available,Not Available,Ok,Not Available,Not Available,Not Available,0,85.7,Not Available,East Flatbush-Farragut,Not Available,Not Available,Not Available,Not Available,-73.936137,74,Not Available,Not Available,Whole Building,93.3,5630,59474.0,1,0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,5630,61,460.1,4936855.9,323334.3,Not Available,Not Available,Not Available,Not Available,11203,Not Available,0,45.0,0,Not Available
St. John's Preparatory School,Ok,1962,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,Whole Building,Not Available,Not Available,Not Available,146.6,Not Available,Not Available,Ok,Not Available,Not Available,Not Available,0.5,52.3,Not Available,Steinway,Not Available,Not Available,Not Available,Not Available,-73.912911,98,Not Available,Not Available,Whole Building,124555.9,Not Available,273124.0,1,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,1726.7,14158561.5,538848.2,Not Available,Not Available,Not Available,Not Available,11105,Not Available,0,22.0,Not Available,Not Available
2 Times Square - 712 7th Avenue,Ok,1990,Fast Food Restaurant,Not Available,1200,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,Whole Building,Not Available,Not Available,Not Available,179.9,6,Not Available,Ok,Not Available,Not Available,Not Available,0.2,217.5,Not Available,Midtown-Midtown South,Not Available,Not Available,Not Available,Not Available,-73.984406,1,Not Available,Not Available,Whole Building,55284.2,Not Available,242018.0,1,Not Available,Not Available,Not Available,1,1200,Not Available,Not Available,14310,Not Available,1370.1,52738203.4,9566915.4,Not Available,Not Available,Not Available,Not Available,10036,Not Available,0,4.0,Not Available,Not Available
Peartree Square,Ok,1998,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,Whole Building,Not Available,Not Available,Not Available,434.6,Not Available,Not Available,Ok,Not Available,Not Available,Not Available,Not Available,106.7,Not Available,Co-op City,Not Available,Not Available,Not Available,Not Available,-73.823909,74,Not Available,Not Available,Not Available,Not Available,84646,139646.0,1,0.12995,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,55000,Not Available,1603,15089174.6,4367387.3,Not Available,Not Available,Not Available,Not Available,10475,Not Available,0,12.0,Not Available,Not Available
609 Greenwich St,Ok,1920,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,Whole Building,Not Available,Not Available,Not Available,123.1,Not Available,Not Available,Ok,Not Available,Not Available,Not Available,0.1,107.9,Not Available,,Not Available,Not Available,Not Available,Not Available,,Not Available,Not Available,Not Available,Not Available,15987.7,Not Available,118422.0,1,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,401,12757137.7,3274959.5,Not Available,Not Available,Not Available,Not Available,10035-2086,Not Available,0,,Not Available,Not Available
42-52 WEST 39TH STREET,Ok,1927,Other,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ok,149352,Not Available,Whole Building,Not Available,Not Available,Not Available,238.4,Not Available,1452.2,Ok,Not Available,06/30/2014,Not Available,0,74.9,100,Midtown-Midtown South,Not Available,Not Available,Not Available,Not Available,-73.983701,77,Not Available,5257167.9,Not Available,18.6,10844,168103.0,1,0,290,Not Available,Not Available,Not Available,Not Available,Not Available,10844,Not Available,1418.4,12629772.2,2118315.1,Not Available,Not Available,Not Available,Not Available,10018,Not Available,0,4.0,Not Available,Not Available
Kimberly Holdings LLC 2,Ok,1985,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,Whole Building,Not Available,Not Available,Not Available,206.4,Not Available,Not Available,Ok,Not Available,Not Available,Not Available,0.2,110.3,Not Available,Turtle Bay-East Midtown,Not Available,Not Available,Not Available,Not Available,-73.971792,45,Not Available,Not Available,Whole Building,30728,Not Available,165000.0,1,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,7000,Not Available,1322.2,18381777.1,2233327.3,Not Available,Not Available,Not Available,Not Available,10022,Not Available,0,4.0,Not Available,Not Available
166 West 72nd (742),Ok,1911,Not Available,1.4,Not Available,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,Whole Building,Not Available,Not Available,Not Available,127.9,Not Available,Not Available,Ok,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Lincoln Square,Not Available,Not Available,Not Available,Not Available,-73.980737,Not Available,Not Available,Not Available,Not Available,Not Available,2000,59200.0,1,0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,2000,0,417,5596295.9,Not Available,Not Available,Not Available,Not Available,Not Available,10023,Not Available,0,6.0,Not Available,Not Available
884 Riverside Drive,Ok,1920,Not Available,1.4,Not Available,No,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,Whole Building,Not Available,Not Available,Not Available,119,Not Available,Not Available,Ok,Not Available,Not Available,Not Available,0.1,85.7,Not Available,Washington Heights South,Not Available,Not Available,Not Available,Not Available,-73.946569,56,Not Available,Not Available,Whole Building,4410,Not Available,75852.0,1,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,14.56,509.2,6585267.6,271635,Not Available,Not Available,Not Available,Not Available,10032,Not Available,0,7.0,Not Available,Not Available
46-15 Center Boulevard,Ok,2010,Not Available,1.14426,Not Available,No,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,Whole Building,Not Available,Not Available,Not Available,129.6,Not Available,Not Available,Ok,Not Available,Not Available,Not Available,0.6,80.4,Not Available,Hunters Point-Sunnyside-West Maspeth,Not Available,Not Available,Not Available,Not Available,-73.956378,47,Not Available,Not Available,Not Available,206893.2,Not Available,354622.0,1,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,1557,0,1716,28227468.9,2295333,Not Available,Not Available,Not Available,Not Available,11109,Not Available,0,26.0,16,Not Available
Beech Hills 1-3,Ok,1951,Not Available,1.64271,Not Available,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,Whole Building,Not Available,Not Available,Not Available,124.3,Not Available,Not Available,Ok,Not Available,Not Available,Not Available,Not Available,100.3,Not Available,Douglas Manor-Douglaston-Little Neck,Not Available,Not Available,Not Available,Not Available,-73.731773,29,Not Available,3115772.6,Not Available,Not Available,Not Available,38960.0,1,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0,260.4,3876671.3,213396.8,Not Available,Not Available,Not Available,Not Available,11362,Not Available,0,23.0,4,Not Available
25 West 14th Street,Ok,1925,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,Whole Building,Not Available,Not Available,Not Available,237.6,Not Available,Not Available,Ok,Not Available,Not Available,Not Available,0.2,91.9,Not Available,Hudson Yards-Chelsea-Flatiron-Union Square,Not Available,Not Available,Not Available,Not Available,-73.994649,Not Available,Not Available,Not Available,Whole Building,15033.2,Not Available,40838.0,1,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,426.1,5748946.8,1225730,Not Available,Not Available,Not Available,Not Available,10011,Not Available,0,3.0,Not Available,Not Available
240 Willoughby Street,Ok,1975,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,200,Ok,Not Available,Not Available,Whole Building,Not Available,Not Available,Not Available,233.9,Not Available,Not Available,Ok,Not Available,Not Available,Not Available,0.1,33.8,Not Available,Fort Greene,Not Available,Not Available,Not Available,Not Available,-73.97827,89,Not Available,Not Available,Whole Building,10137.7,Not Available,200000.0,1,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,1298.1,6753181.5,1682549.4,Not Available,Not Available,Not Available,Not Available,11205,Not Available,0,35.0,Not Available,Not Available
Octagon Realty LLC,Ok,1985,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ok,63110,Not Available,Whole Building,Not Available,Not Available,Not Available,211.6,Not Available,1472.2,Ok,Not Available,Not Available,Not Available,0.1,50.7,98.4,Whitestone,Not Available,Not Available,Not Available,Not Available,-73.825065,78,Not Available,Not Available,Whole Building,3846.6,Not Available,63110.0,1,Not Available,172,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,366.8,3238668.3,824683.8,Not Available,Not Available,Not Available,Not Available,11357,Not Available,0,19.0,Not Available,Not Available
Renwick Gardens Apts,Ok,1979,Not Available,1.5084,Not Available,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,Whole Building,Not Available,Not Available,Not Available,146,Not Available,Not Available,Ok,Not Available,Not Available,Not Available,0,83.6,Not Available,Murray Hill-Kips Bay,Not Available,Not Available,Not Available,Not Available,-73.976847,92,Not Available,Not Available,Whole Building,396,Not Available,165739.0,1,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0,1502.4,13749023.8,372303.5,Not Available,Not Available,Not Available,Not Available,10016,Not Available,0,2.0,0,Not Available
