address_1,latitude,longitude,hospital_general_medical_2,electricity_use_grid_purchase_1,generation_date,weather_normalized_site,k_12_school_gross_floor_area,stadium_closed_gross_floor,manufacturing_industrial,primary_property_type_self,electricity_use_generated,occupancy,municipally_supplied_potable_3,nyc_borough_block_and_lot,date_property_last_modified,refrigerated_warehouse_gross,hospital_general_medical_8,outpatient_rehabilitation,financial_office_number_of,hospital_general_medical_4,hospital_general_medical_14,water_use_all_water_sources,fitness_center_health_club,nta,national_median_reference,district_steam_cost,pre_school_daycare_gross,bank_branch_gross_floor_area,community_board,office_percent_that_can_be,food_service_gross_floor,indoor_water_use_all_water,other_number_of_workers_on,convenience_store_with_gas,fuel_oil_2_use_kbtu,estimated_data_flag,retail_store_open_or_closed,national_median_site_eui,hospital_general_medical_12,personal_services_health,weather_normalized_source,roller_rink_gross_floor_area,indoor_arena_gross_floor,social_meeting_hall_gross,multifamily_housing_percent,hospital_general_medical_1,urgent_care_clinic_other,worship_facility_gross_floor
2105 Burr Ave.,40.854897,-73.828128,Not Available,1303492.8,2014-04-28T15:39:28.000,Not Available,Not Available,Not Available,Not Available,Multifamily Housing,Not Available,100,0,2-04252-0052,04/15/2014 12:17 PM EDT,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,2462.6,Not Available,Pelham Bay-Country Club-City Island,,Not Available,Not Available,Not Available,210.0,Not Available,Not Available,2462.6,Not Available,Not Available,Not Available,No,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,8,Not Available,Not Available,Not Available
47-59 Vandam street,40.726475,-74.005996,Not Available,3336936,2014-04-24T14:53:49.000,41839,Not Available,Not Available,Not Available,Self-Storage Facility,Not Available,100,0,1-00580-0022,04/17/2014 12:41 PM EDT,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,165.2,Not Available,SoHo-TriBeCa-Civic Center-Little Italy,"PBA - 5, Nonrefrigerated warehouse",Not Available,Not Available,Not Available,102.0,Not Available,Not Available,165.2,Not Available,Not Available,Not Available,No,Not Available,24.3,Not Available,Not Available,84,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
136 E 57th st,40.760822,-73.968898,Not Available,4173790.4,2014-05-01T15:11:53.000,2.1,Not Available,Not Available,Not Available,Office,Not Available,100,Not Available,1-01311-0050,05/01/2014 06:41 AM EDT,Not Available,Not Available,Not Available,15,Not Available,Not Available,Not Available,Not Available,Turtle Bay-East Midtown,"CBECS combination - 2, Bank_LG+Office",208446.8222,Not Available,Not Available,106.0,100,Not Available,Not Available,Not Available,Not Available,Not Available,No,0.28584,112.3,Not Available,Not Available,220.7,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
150 East 58th Street,40.761398,-73.968183,Not Available,25334386.6,2014-04-30T15:47:44.000,Not Available,Not Available,Not Available,Not Available,Office,Not Available,100,0,1013120041,09/15/2013 04:29 PM EDT,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,8803.6,Not Available,Turtle Bay-East Midtown,"CBECS combination - 2, Bank_LG+Office",871627.581,Not Available,Not Available,106.0,100,Not Available,8803.6,Not Available,Not Available,Not Available,No,Not Available,137.7,Not Available,Not Available,199.7,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
1133 Avenue of the Americas,40.755942,-73.983324,Not Available,59498592.5,2014-04-30T11:03:33.000,Not Available,Not Available,Not Available,Not Available,Office,Not Available,100,Not Available,1009960029,09/15/2013 04:28 PM EDT,Not Available,Not Available,Not Available,1800,Not Available,Not Available,Not Available,Not Available,Midtown-Midtown South,"CBECS combination - 2, Bank_LG+Office",0,Not Available,Not Available,105.0,100,Not Available,Not Available,Not Available,Not Available,Not Available,No,0.11138,68,Not Available,Not Available,262.7,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
345 East 81st Street,40.774183,-73.952952,Not Available,4203522.6,2014-05-01T23:04:32.000,6613.9,Not Available,Not Available,Not Available,Multifamily Housing,Not Available,100,Not Available,1015440019,04/22/2014 09:07 AM EDT,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Yorkville,,Not Available,Not Available,Not Available,108.0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,No,Not Available,Not Available,Not Available,Not Available,64.5,Not Available,Not Available,Not Available,20,Not Available,Not Available,Not Available
400 Fifth Avenue,40.750038,-73.983409,Not Available,5638882.7,2014-05-01T23:04:56.000,24908.6,Not Available,Not Available,Not Available,Multifamily Housing,Not Available,100,Not Available,1008387501,10/18/2013 06:21 AM EDT,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Midtown-Midtown South,,693467.9452,Not Available,Not Available,105.0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,No,0,Not Available,Not Available,Not Available,87.5,Not Available,Not Available,Not Available,20,Not Available,Not Available,Not Available
37 WEST 47th STREET,40.75722,-73.979877,Not Available,4534350.1,2014-04-14T16:18:50.000,10.7,Not Available,Not Available,Not Available,Office,Not Available,100,Not Available,1-01263-0014,09/15/2013 04:30 PM EDT,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,3115.8,Not Available,Midtown-Midtown South,"CBECS combination - 2, Bank_LG+Office",Not Available,Not Available,Not Available,105.0,100,Not Available,Not Available,Not Available,Not Available,Not Available,No,Not Available,110.1,Not Available,Not Available,175.9,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
5935 Broadway,40.88843,-73.898791,Not Available,699085.7,2014-04-09T16:00:10.000,Not Available,Not Available,Not Available,Not Available,Parking,Not Available,100,Not Available,2-05776-0632,03/30/2014 07:09 AM EDT,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Spuyten Duyvil-Kingsbridge,,Not Available,Not Available,Not Available,208.0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,No,Not Available,Not Available,Not Available,Not Available,10.2,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
990 Stewart Avenue,,,Not Available,Not Available,2014-05-01T16:57:22.000,Not Available,Not Available,Not Available,Not Available,Office,Not Available,100,Not Available,Not Available,03/11/2014 12:42 PM EDT,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,,"CBECS combination - 2, Bank_LG+Office",Not Available,Not Available,Not Available,,100,Not Available,Not Available,Not Available,Not Available,Not Available,No,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
20-47 thru 20-57 Seagirt Blvd,,,Not Available,781925.7,2014-04-30T10:00:38.000,140611.2,Not Available,Not Available,Not Available,Multifamily Housing,Not Available,100,Not Available,4-15815-0220,04/03/2014 11:01 AM EDT,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,,,Not Available,Not Available,Not Available,,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,No,Not Available,Not Available,Not Available,Not Available,80.1,Not Available,Not Available,Not Available,10,Not Available,Not Available,Not Available
411 FIFTH AVENUE,40.75043,-73.983098,Not Available,6164180.6,2014-04-29T12:20:47.000,25.8,Not Available,Not Available,Not Available,Office,Not Available,100,Not Available,1008670001,03/28/2014 10:53 AM EDT,Not Available,Not Available,Not Available,10,Not Available,Not Available,Not Available,Not Available,Murray Hill-Kips Bay,"CBECS combination - 2, Bank_LG+Office",Not Available,Not Available,Not Available,105.0,100,Not Available,Not Available,Not Available,Not Available,Not Available,No,Not Available,87.1,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
400 Walnut Avenue,40.805184,-73.906015,Not Available,4359915,2014-04-25T10:26:01.000,Not Available,Not Available,Not Available,Not Available,Distribution Center,Not Available,100,Not Available,2025990089,11/12/2013 04:54 AM EST,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,871.4,Not Available,Mott Haven-Port Morris,"CBECS combination - 9, UnRfg Warehouse",Not Available,Not Available,Not Available,201.0,100,Not Available,Not Available,Not Available,Not Available,Not Available,No,Not Available,41,Not Available,Not Available,54.8,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
320 Park Avenue,40.75745,-73.973798,Not Available,52685647.4,2014-04-04T11:19:30.000,Not Available,Not Available,Not Available,Not Available,Financial Office,Not Available,100,Not Available,1-01286-0035,09/15/2013 04:28 PM EDT,Not Available,Not Available,Not Available,3196.72,Not Available,Not Available,Not Available,Not Available,Midtown-Midtown South,"CBECS combination - 2, Bank_LG+Office",569408.6215,Not Available,Not Available,105.0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,No,Not Available,130.3,Not Available,Not Available,252.6,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
110 Meisner Ave,40.579999,-74.131359,Not Available,1795333,2014-05-01T10:16:13.000,35466.5,Not Available,Not Available,Not Available,Senior Care Community,Not Available,100,Not Available,5022500250,09/15/2013 04:30 PM EDT,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Todt Hill-Emerson Hill-Heartland Village-Lighthouse Hill,"PBA - 17, Nursing",Not Available,Not Available,Not Available,502.0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,No,Not Available,119.7,Not Available,Not Available,173.7,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
230 Park Avenue,40.754508,-73.975951,Not Available,66712959.4,2014-04-03T17:27:12.000,12221,Not Available,Not Available,Not Available,Office,Not Available,100,0.2814708,1013000001,04/03/2014 01:24 PM EDT,Not Available,Not Available,Not Available,1500,Not Available,Not Available,30140.6,Not Available,Turtle Bay-East Midtown,"CBECS combination - 2, Bank_LG+Office",1625372.739,Not Available,Not Available,105.0,100,Not Available,30140.6,Not Available,Not Available,Not Available,No,1.22919,141.4,Not Available,Not Available,222.5,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
162-15 HIGHLAND AVE ENTM,40.709895,-73.80088,Not Available,1841872,2014-05-01T11:03:37.000,82704.1,Not Available,Not Available,Not Available,Multifamily Housing,Not Available,100,Not Available,4097730005,09/15/2013 04:30 PM EDT,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Briarwood-Jamaica Hills,,Not Available,Not Available,Not Available,408.0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,No,Not Available,Not Available,Not Available,Not Available,145.5,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
80 Pine Street,40.705892,-74.007181,Not Available,55469839.4,2014-04-30T16:44:22.000,Not Available,Not Available,Not Available,Not Available,Office,Not Available,100,0,1000390012,09/15/2013 04:29 PM EDT,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,14667.7,Not Available,Battery Park City-Lower Manhattan,"CBECS combination - 2, Bank_LG+Office",0,Not Available,Not Available,101.0,100,Not Available,14667.7,89,Not Available,Not Available,No,Not Available,137,Not Available,Not Available,264,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
200 Park Avenue South,40.736787,-73.989305,Not Available,15528858.2,2014-04-23T15:22:50.000,49,Not Available,Not Available,Not Available,Office,Not Available,100,0,1008460033,04/23/2014 09:53 AM EDT,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,3757.3,Not Available,Hudson Yards-Chelsea-Flatiron-Union Square,"CBECS combination - 2, Bank_LG+Office",Not Available,Not Available,7125,105.0,100,Not Available,3757.3,Not Available,Not Available,Not Available,No,0.07115,61.4,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
930 Sheridan Avenue,40.827792,-73.920361,Not Available,1602369,2014-04-30T10:00:38.000,3720.7,Not Available,Not Available,Not Available,Multifamily Housing,Not Available,100,0,2-02454-0019,02/06/2014 06:31 AM EST,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,4634.7,Not Available,East Concourse-Concourse Village,,Not Available,Not Available,Not Available,204.0,Not Available,Not Available,4634.7,Not Available,Not Available,Not Available,No,Not Available,Not Available,Not Available,Not Available,80.8,Not Available,Not Available,Not Available,10,Not Available,Not Available,Not Available
47 East 91st Street,40.78386,-73.956033,Not Available,1378417.6,2014-04-29T14:45:41.000,15037.5,Not Available,Not Available,Not Available,Multifamily Housing,Not Available,100,Not Available,1-01503-7501,04/29/2014 03:37 AM EDT,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Upper East Side-Carnegie Hill,,Not Available,Not Available,7388,108.0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,No,0,Not Available,Not Available,Not Available,109.6,Not Available,Not Available,Not Available,2.5,Not Available,Not Available,Not Available
1491 Montgomery Avenue,40.847628,-73.921002,Not Available,983369.1,2014-05-02T17:31:16.000,29510.2,Not Available,Not Available,Not Available,Multifamily Housing,Not Available,100,0.1285589,2-02877-0233,09/15/2013 04:30 PM EDT,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,9683.7,Not Available,University Heights-Morris Heights,,Not Available,Not Available,Not Available,205.0,Not Available,Not Available,9683.7,Not Available,Not Available,Not Available,No,Not Available,Not Available,Not Available,Not Available,86.4,Not Available,Not Available,3600,30,Not Available,Not Available,Not Available
153 East 57th Street,40.760726,-73.968628,Not Available,3150079.2,2014-04-29T14:45:40.000,2561.1,Not Available,Not Available,Not Available,Multifamily Housing,Not Available,100,Not Available,1013120028,04/29/2014 03:59 AM EDT,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Turtle Bay-East Midtown,,Not Available,Not Available,Not Available,106.0,Not Available,Not Available,Not Available,Not Available,Not Available,22595135.6,No,0,Not Available,Not Available,Not Available,241.4,Not Available,Not Available,Not Available,20.5,Not Available,Not Available,Not Available
P.O. Box 290 523,,,Not Available,750340.4,2014-04-28T11:20:09.000,49909.9,Not Available,Not Available,Not Available,Multifamily Housing,Not Available,100,7.42641,3-05979-0046,04/23/2014 10:57 AM EDT,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,4813.8,Not Available,,,Not Available,Not Available,Not Available,,Not Available,Not Available,4813.8,Not Available,Not Available,Not Available,No,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,10,Not Available,Not Available,Not Available
47-05 CENTER BOULEVARD,40.745961,-73.956823,Not Available,20336038.6,2014-04-29T14:32:20.000,244701.1,Not Available,Not Available,Not Available,Multifamily Housing,Not Available,100,Not Available,4000210060,04/08/2014 03:29 AM EDT,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Hunters Point-Sunnyside-West Maspeth,,Not Available,Not Available,Not Available,402.0,Not Available,Not Available,Not Available,Not Available,Not Available,2656499.7,No,0.41363,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
120 West 176th St,40.849441,-73.918445,Not Available,930006.5,2014-05-02T17:31:16.000,33652.9,Not Available,Not Available,Not Available,Multifamily Housing,Not Available,100,0,2-02878-0044,09/15/2013 04:30 PM EDT,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,3846.5,Not Available,University Heights-Morris Heights,,Not Available,Not Available,Not Available,205.0,Not Available,Not Available,3846.5,Not Available,Not Available,Not Available,No,Not Available,Not Available,Not Available,Not Available,114.5,Not Available,Not Available,Not Available,30,Not Available,Not Available,Not Available
135 East 12th Street,40.732453,-73.989291,Not Available,2227483.3,2014-05-28T16:22:08.000,42309.6,Not Available,Not Available,Not Available,Residence Hall/Dormitory,Not Available,100,0,1005580037,02/06/2014 06:31 AM EST,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,3001.1,Not Available,East Village,CBECS - Dormitory,Not Available,Not Available,Not Available,103.0,Not Available,Not Available,3001.1,Not Available,Not Available,Not Available,No,Not Available,99.9,Not Available,Not Available,198.4,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
300 E 65 St,40.764209,-73.961258,Not Available,33816014.7,2014-04-29T11:16:26.000,Not Available,Not Available,Not Available,Not Available,Urgent Care/Clinic/Other Outpatient,Not Available,100,Not Available,1-01440-0049,04/28/2014 05:39 AM EDT,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Lenox Hill-Roosevelt Island,"PBA - 91, Other",661777.2598,Not Available,Not Available,108.0,100,Not Available,Not Available,0,Not Available,Not Available,No,Not Available,52.5,Not Available,Not Available,564.5,Not Available,Not Available,Not Available,Not Available,Not Available,105518,Not Available
201 E 66th Street,40.765777,-73.963174,Not Available,5937009.7,2014-04-30T15:47:50.000,6612,Not Available,Not Available,Not Available,Retail Store,Not Available,100,Not Available,1014210001,02/10/2014 12:56 PM EST,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Lenox Hill-Roosevelt Island,,Not Available,Not Available,Not Available,108.0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,No,Not Available,Not Available,Not Available,Not Available,66.1,Not Available,Not Available,Not Available,15,Not Available,Not Available,Not Available
247 West 46th Street,40.759228,-73.986572,Not Available,10539831.8,2014-05-01T23:05:21.000,109940.4,Not Available,Not Available,Not Available,Multifamily Housing,Not Available,100,0,1010187502,02/06/2014 06:31 AM EST,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,8497.9,Not Available,Midtown-Midtown South,,Not Available,Not Available,Not Available,105.0,Not Available,Not Available,8497.9,Not Available,Not Available,Not Available,No,0,Not Available,Not Available,Not Available,141.4,Not Available,Not Available,Not Available,50,Not Available,Not Available,Not Available
381 Park Avenue South,40.742534,-73.984641,Not Available,Not Available,2014-05-01T23:56:12.000,37075.7,Not Available,Not Available,Not Available,Office,Not Available,100,Not Available,1-00882-0085,04/30/2014 02:37 PM EDT,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Gramercy,"CBECS combination - 2, Bank_LG+Office",Not Available,Not Available,Not Available,105.0,100,Not Available,Not Available,Not Available,Not Available,Not Available,No,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
1085 Washington Avenue,40.828264,-73.909054,Not Available,1883486.1,2014-05-02T17:31:15.000,48998,Not Available,Not Available,Not Available,Multifamily Housing,666621.2,100,0.2484507,2-02387-0032,09/15/2013 04:30 PM EDT,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,5534.4,Not Available,Morrisania-Melrose,,Not Available,Not Available,Not Available,203.0,100,Not Available,5534.4,Not Available,Not Available,Not Available,No,Not Available,Not Available,Not Available,Not Available,92.8,Not Available,Not Available,Not Available,30,Not Available,Not Available,Not Available
2940 Ocean Parkway,40.57948,-73.967816,Not Available,7572456.3,2014-05-01T11:03:40.000,312657.6,Not Available,Not Available,Not Available,Multifamily Housing,Not Available,100,Not Available,3072740020,09/15/2013 04:30 PM EDT,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,West Brighton,,Not Available,Not Available,Not Available,313.0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,No,Not Available,Not Available,Not Available,Not Available,120.3,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
498 7th Ave,40.752808,-73.98932,Not Available,51288808.7,2014-04-21T12:50:55.000,35.8,Not Available,Not Available,Not Available,Office,Not Available,100,Not Available,1007860051,09/15/2013 04:30 PM EDT,Not Available,Not Available,Not Available,17,Not Available,Not Available,Not Available,Not Available,Midtown-Midtown South,"CBECS combination - 2, Bank_LG+Office",Not Available,Not Available,Not Available,105.0,100,Not Available,Not Available,0,Not Available,Not Available,No,Not Available,102.6,Not Available,Not Available,188.3,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
32 East 76th Street,40.774253,-73.963296,Not Available,1369483.7,2014-05-01T23:04:22.000,23183.4,Not Available,Not Available,Not Available,Multifamily Housing,Not Available,100,0,1013907502,02/06/2014 06:31 AM EST,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,1868.8,Not Available,Upper East Side-Carnegie Hill,,Not Available,Not Available,Not Available,108.0,Not Available,Not Available,1868.8,Not Available,Not Available,Not Available,No,Not Available,Not Available,Not Available,Not Available,36.4,Not Available,Not Available,Not Available,8,Not Available,Not Available,Not Available
1919 Williamsbridge Road,40.852799,-73.853325,Not Available,1040414.3,2014-04-29T18:57:25.000,1788,Not Available,Not Available,Not Available,Multifamily Housing,Not Available,100,Not Available,2-02457-0040,04/25/2014 12:27 PM EDT,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Pelham Parkway,,Not Available,Not Available,Not Available,211.0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,No,Not Available,Not Available,Not Available,Not Available,134.6,Not Available,Not Available,Not Available,20,Not Available,Not Available,Not Available
120 East 90th Street,40.782344,-73.954419,Not Available,2275730.3,2014-05-01T23:04:23.000,2941.5,Not Available,Not Available,Not Available,Multifamily Housing,Not Available,100,Not Available,1015187501,04/02/2014 09:20 AM EDT,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Upper East Side-Carnegie Hill,,Not Available,Not Available,Not Available,108.0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,No,0,Not Available,Not Available,Not Available,144.3,Not Available,Not Available,Not Available,10,Not Available,Not Available,Not Available
529 Fifth Avenue,40.754467,-73.979455,Not Available,17144163.8,2014-04-30T13:12:35.000,Not Available,Not Available,Not Available,Not Available,Office,Not Available,95,0,1012780069,04/29/2014 06:19 AM EDT,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,3013.1,Not Available,Midtown-Midtown South,"CBECS combination - 2, Bank_LG+Office",0,Not Available,Not Available,105.0,100,Not Available,3013.1,Not Available,Not Available,Not Available,No,Not Available,108.2,Not Available,Not Available,236.6,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
414 W 48 Street,40.762527,-73.990578,Not Available,1055216.3,2014-05-01T11:51:16.000,5325.7,Not Available,Not Available,Not Available,Multifamily Housing,Not Available,100,0,1010570141,02/06/2014 06:31 AM EST,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,1476.3,Not Available,Clinton,,Not Available,Not Available,Not Available,104.0,Not Available,Not Available,1476.3,Not Available,Not Available,4229820.2,No,Not Available,Not Available,Not Available,Not Available,141.2,Not Available,Not Available,Not Available,20,Not Available,Not Available,Not Available
410 WEST 53RD STREET,40.765623,-73.988213,Not Available,5465532.7,2014-04-29T14:32:19.000,4009,Not Available,Not Available,Not Available,Multifamily Housing,Not Available,100,Not Available,1010620019,04/07/2014 02:01 PM EDT,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,7734.1,Not Available,Clinton,,Not Available,Not Available,Not Available,104.0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,No,Not Available,Not Available,Not Available,Not Available,175.2,Not Available,Not Available,Not Available,20,Not Available,Not Available,Not Available
345 Park Avenue South,40.741609,-73.985316,Not Available,18747660.5,2014-05-01T13:16:35.000,Not Available,Not Available,Not Available,Not Available,Office,Not Available,100,Not Available,1008810001,09/15/2013 04:30 PM EDT,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Gramercy,"CBECS combination - 2, Bank_LG+Office",Not Available,Not Available,14675,105.0,100,Not Available,Not Available,Not Available,Not Available,Not Available,No,Not Available,106.2,Not Available,Not Available,234.2,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
261 Broadway,40.713696,-74.00672,Not Available,2900566.8,2014-04-30T13:50:11.000,2123.8,Not Available,Not Available,Not Available,Multifamily Housing,Not Available,100,0,1001357501,02/06/2014 06:31 AM EST,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,1829.4,Not Available,SoHo-TriBeCa-Civic Center-Little Italy,,Not Available,Not Available,Not Available,101.0,Not Available,Not Available,1829.4,Not Available,Not Available,6366767.9,No,Not Available,Not Available,Not Available,Not Available,128.3,Not Available,Not Available,Not Available,10,Not Available,Not Available,Not Available
345 Park Ave,40.758171,-73.973246,Not Available,134168404.1,2014-04-30T16:44:20.000,Not Available,Not Available,Not Available,Not Available,Office,Not Available,100,0,1013060001,09/15/2013 04:29 PM EDT,Not Available,Not Available,Not Available,137,Not Available,Not Available,32983.8,Not Available,Turtle Bay-East Midtown,"CBECS combination - 2, Bank_LG+Office",0,Not Available,Not Available,105.0,100,Not Available,32983.8,0,Not Available,Not Available,No,Not Available,135.5,Not Available,Not Available,324.4,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
75 Varick St,40.723217,-74.006227,Not Available,59994970.2,2014-04-09T16:40:57.000,9929.5,Not Available,Not Available,Not Available,Office,Not Available,100,Not Available,1-00226-0001,04/09/2014 08:03 AM EDT,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,SoHo-TriBeCa-Civic Center-Little Italy,"CBECS combination - 2, Bank_LG+Office",Not Available,Not Available,Not Available,102.0,100,Not Available,Not Available,25,Not Available,17788904.6,No,Not Available,105.8,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
1266-1268 Olmstead Ave,40.8332,-73.854481,Not Available,686685.5,2014-04-22T15:42:39.000,2393,Not Available,Not Available,Not Available,Multifamily Housing,Not Available,100,0,2-03814-0001,04/09/2014 11:02 AM EDT,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,11361.7,Not Available,Westchester-Unionport,,Not Available,Not Available,Not Available,209.0,Not Available,Not Available,11361.7,Not Available,Not Available,1148298,No,Not Available,Not Available,Not Available,Not Available,41.5,Not Available,Not Available,Not Available,20,Not Available,Not Available,Not Available
1025 Gerard Avenue,40.830975,-73.922916,Not Available,847513.5,2014-04-30T12:57:28.000,3016,Not Available,Not Available,Not Available,Multifamily Housing,Not Available,100,0,2-02486-0025,02/06/2014 06:31 AM EST,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,5977.6,Not Available,West Concourse,,Not Available,Not Available,Not Available,204.0,Not Available,Not Available,5977.6,Not Available,Not Available,5050386,No,Not Available,Not Available,Not Available,Not Available,135.7,Not Available,Not Available,Not Available,20,Not Available,Not Available,Not Available
19E 57th Street,40.762621,-73.973128,Not Available,8354452.6,2014-04-30T11:37:14.000,Not Available,Not Available,Not Available,Not Available,Office,Not Available,100,Not Available,1012930014,04/24/2014 05:51 AM EDT,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Midtown-Midtown South,"CBECS combination - 2, Bank_LG+Office",45558.7133,Not Available,Not Available,105.0,100,Not Available,Not Available,3,Not Available,Not Available,No,Not Available,111.9,Not Available,Not Available,289.7,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
2900 VETERANS RD W,40.527705,-74.230733,Not Available,8667029.3,2014-06-11T16:02:35.000,33785.8,Not Available,Not Available,Not Available,Retail Store,Not Available,100,Not Available,5074810001,12/06/2013 06:01 PM EST,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Charleston-Richmond Valley-Tottenville,CBECS - Retail Store,Not Available,Not Available,Not Available,503.0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,No,0.31277,123.5,Not Available,Not Available,213.6,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
303 East 43rd Street,40.750359,-73.971372,Not Available,2795901.6,2014-05-01T23:03:44.000,65740.4,Not Available,Not Available,Not Available,Multifamily Housing,Not Available,100,Not Available,1013367501,09/15/2013 04:29 PM EDT,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Turtle Bay-East Midtown,,Not Available,Not Available,Not Available,106.0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,No,0,Not Available,Not Available,Not Available,129.8,Not Available,Not Available,Not Available,10,Not Available,Not Available,Not Available
