project_id,project_name,ulurp_numbers,primary_applicant,ceqr_type,completed_date,current_milestone,cc_district,mih_flag,dcp_visibility,current_envmilestone,noticed_date,community_district
P1977Y0188,,N760226ZRY,DCP,,1977-08-18T00:00:00.000,,,,General Public,,,"K00,X00,CY00,M00,Q00,R00"
P1978K0008,Gowanus Street Change,C770381MMK,ZOLMAR REALTY CORP,,1982-11-11T00:00:00.000,,,,General Public,,,K06
2020K0454,1720 Atlantic Avenue Rezoning,N230315ZRK; 230316ZMK,Bermuda Realty No. 2 LLC,Unlisted,,EAS - City Council Review,,True,General Public,EAS - Review Filed EAS,2024-04-26T00:00:00.000,K08
2020Q0167,Court Square Block 3 Subway Certification,N210039ZCQ,Court Square 45th Ave LLC,Type II,2020-10-23T00:00:00.000,ZC - Project Completed,,False,General Public,,,Q02
2020M0422,450 West 31st Street Hudson Yards DIB,N210134ZCM,Venmel LLC,Type II,,ZC - Prepare Filed Land Use Application,3.0,False,General Public,,,M04
P1984Y1038,,,Unknown,,,,,,General Public,,,
P1977M0407,,C770306PPM,DEPT OF REAL ESTATE,,1978-03-02T00:00:00.000,,,,General Public,,,M04
P1977M0144,1095 6TH AVE,N760168ZCM,NY TELEPHONE CO,,1977-05-23T00:00:00.000,,,,General Public,,,M05
2019K0407,The Smoke Joint,,The Smoke Joint,,2020-02-28T00:00:00.000,EC - Review Filed Land Use Application,,False,General Public,,,K02
2021M0185,"POPS Signage - Hudson Yards ERY, 500 West 30th St",N210089SGM,FRIED FRANK HARRIS SHRIVER & JACOBSON LLP,Not Applicable,2021-02-11T00:00:00.000,SG - Project Completed,,False,General Public,,,M04
2020X0329,George's Restaurant,,George's SCC Inc. George's SCC Inc.,,2020-02-21T00:00:00.000,EC - Review Filed Land Use Application,,False,General Public,,,X10
P1977X0154,NEWMAN AVE BET RANDAL & SEWARD AVES,N760178PAX,NYC TRANSPORTATION ADMINISTRATION,,1977-03-24T00:00:00.000,,,,General Public,,,X09
P1984Y1080,,,Unknown,,,,,,General Public,,,
P1977X0362,,C770250ZMX,DCP/BRONX OFFICE,,1977-11-17T00:00:00.000,,,,General Public,,,X03
2025R0286,45 Charter Oak Road,N260001ZAR,Kelvin Wong,Type II,,ZA - Prepare Filed Land Use Application,,False,General Public,,,R02
P1977R0109,"443,451 YETMAN,480 SLEIGHT,7121 HYLAN BLVD",N760126ZAR,"ESPOSITO, FRANK",,1977-02-06T00:00:00.000,,,,General Public,,,R03
