manhattan_cooperatives_comparable_properties_boro_block_lot,comparable_rental_2_year_built,comparable_rental_1_gross_income_per_sqft,manhattan_cooperatives_comparable_properties_year_built,comparable_rental_2_boro_block_lot,comparable_rental_1_dist_from_coop_in_miles,comparable_rental_2_total_units,comparable_rental_1_full_market_value,manhattan_cooperatives_comparable_properties_full_market_value,bin,comparable_rental_2_dist_from_coop_in_miles,comparable_rental_1_market_value_per_sqft,latitude,manhattan_cooperatives_comparable_properties_gross_income_per_sqft,manhattan_cooperatives_comparable_properties_neighborhood,comparable_rental_2_gross_sqft,manhattan_cooperatives_comparable_properties_building_classification,comparable_rental_2_address
1-01625-0068,1910.0,14.72,1910,1-01687-0123,0.35,12.0,405000,356000,,0.95,49.7,,17.97,HARLEM-EAST,7804.0,C6-WALK-UP,"{'latitude': '40.804290142366', 'longitude': '-73.95708715042', 'human_address': '{""address"": ""343 115 STREET"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}"
1-01451-0037,1910.0,41.8,1910,1-01527-0033,0.55,20.0,2060000,2020000,,0.3,205.0,,41.0,UPPER EAST SIDE (59-79),10025.0,C6-WALK-UP,"{'latitude': '40.626641915703', 'longitude': '-74.031107471715', 'human_address': '{""address"": ""234 82 STREET"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}"
1-00802-0052,1939.0,30.4,1907,1-00882-0028,0.25,77.0,5860000,7410000,,0.6,141.0,,31.5,CHELSEA,52092.0,D0-ELEVATOR,"{'latitude': '40.74175460069', 'longitude': '-73.983128904238', 'human_address': '{""address"": ""95 LEXINGTON AVENUE"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}"
1-01392-0028,1920.0,42.6,1920,1-01492-0056,0.8,21.0,10500000,10200000,,0.2,209.0,,42.2,UPPER EAST SIDE (59-79),47380.0,D4-ELEVATOR,"{'latitude': '40.777448692033', 'longitude': '-73.961293365367', 'human_address': '{""address"": ""1070 MADISON AVENUE"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}"
1-01472-0014,1938.0,52.0,1962,1-01517-0043,0.6,51.0,15800000,8790000,,0.7,253.0,,30.0,UPPER EAST SIDE (59-79),64272.0,D4-ELEVATOR,"{'latitude': '40.62316151649', 'longitude': '-74.039623167392', 'human_address': '{""address"": ""16O 89 STREET"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}"
1-00179-0056,1926.0,34.7,1919,1-01210-0012,1.8,61.0,12600000,11200000,1002012.0,4.65,162.0,40.71919,32.5,TRIBECA,76193.0,D4-ELEVATOR,"{'latitude': '40.629612150649', 'longitude': '-74.033321842043', 'human_address': '{""address"": ""147 79 STREET"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}"
1-01499-0010,1958.0,69.0,1954,1-01472-0022,0.4,96.0,26700000,11700000,,0.85,339.0,,32.0,UPPER EAST SIDE (79-96),75936.0,D4-ELEVATOR,"{'latitude': '40.770326061561', 'longitude': '-73.951211965418', 'human_address': '{""address"": ""1453 YORK AVENUE"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}"
1-00502-0038,1920.0,38.8,1910,1-00504-0031,0.1,60.0,4140000,5870000,1007736.0,0.1,190.0,40.724667,34.0,SOHO,38880.0,D0-ELEVATOR,"{'latitude': '40.725890560093', 'longitude': '-74.00282405668', 'human_address': '{""address"": ""112 SULLIVAN STREET"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}"
1-01183-0046,1923.0,31.3,1927,1-01216-0060,0.7,50.0,16000000,14000000,,0.8,146.0,,30.0,UPPER WEST SIDE (59-79),100042.0,D4-ELEVATOR,"{'latitude': '40.624154220415', 'longitude': '-74.034082774023', 'human_address': '{""address"": ""168 86 STREET"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}"
1-01118-0036,1903.0,41.2,1930,1-01233-0016,0.65,321.0,45500000,45500000,1000000.0,1.05,202.0,40.782295,40.0,UPPER WEST SIDE (59-79),236789.0,D4-ELEVATOR,"{'latitude': '40.787916800454', 'longitude': '-73.976698751729', 'human_address': '{""address"": ""2350 BROADWAY"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}"
1-02136-0128,1924.0,12.37,1915,1-02137-0168,0.2,78.0,2260000,2090000,,0.2,32.1,,12.0,WASHINGTON HEIGHTS LOWER,80886.0,D4-ELEVATOR,"{'latitude': '40.839789695104', 'longitude': '-73.943225985798', 'human_address': '{""address"": ""130 FT WASHINGTON AVENUE"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}"
1-01491-0037,1986.0,31.5,1925,1-01530-0019,0.3,83.0,10400000,10500000,1046443.0,0.4,146.0,40.776063,31.9,UPPER EAST SIDE (79-96),69000.0,D4-ELEVATOR,"{'latitude': '40.786972274391', 'longitude': '-73.977307938787', 'human_address': '{""address"": ""245 84 STREET"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}"
1-01520-0041,1922.0,47.6,1941,1-01509-0064,0.7,20.0,6900000,5320000,,0.55,234.0,,35.0,UPPER EAST SIDE (79-96),32383.0,D4-ELEVATOR,"{'latitude': '40.628474254294', 'longitude': '-74.035453488541', 'human_address': '{""address"": ""108 81 STREET"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}"
1-01391-0054,,26.5,1930,,0.35,,16200000,22100000,1041804.0,,110.0,40.774791,33.4,UPPER EAST SIDE (59-79),,D4-ELEVATOR,
1-00849-0055,1907.0,41.4,1904,1-00818-0019,0.2,63.0,6230000,4890000,,0.3,203.0,,32.0,FLATIRON,41300.0,D0-ELEVATOR,"{'latitude': '40.66773000146', 'longitude': '-73.995418278486', 'human_address': '{""address"": ""27 16 STREET"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}"
1-01506-0069,1959.0,51.0,1925,1-01526-0021,0.5,117.0,28200000,18500000,1047413.0,0.8,249.0,40.787019,32.4,UPPER EAST SIDE (79-96),123524.0,D4-ELEVATOR,"{'latitude': '40.774211132727', 'longitude': '-73.954404558622', 'human_address': '{""address"": ""1543 2 AVENUE"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}"
1-01603-0060,1925.0,34.1,1925,1-01509-0006,0.45,33.0,8390000,8240000,,0.9,159.0,,34.0,UPPER EAST SIDE (96-110),52272.0,D4-ELEVATOR,"{'latitude': '40.629333012145', 'longitude': '-74.035511629588', 'human_address': '{""address"": ""107 80 STREET"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}"
1-01487-0039,,23.07,1964,,0.45,,7840000,12500000,,,96.0,,33.0,UPPER EAST SIDE (59-79),,D4-ELEVATOR,
1-01367-0026,1961.0,26.3,1953,1-01338-0035,1.5,206.0,14000000,21100000,1040544.0,0.5,109.0,40.757855,29.0,MIDTOWN EAST,133828.0,D4-ELEVATOR,"{'latitude': '40.649495172154', 'longitude': '-74.011585688208', 'human_address': '{""address"": ""330 46 STREET"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}"
1-01342-0023,1942.0,40.7,1940,1-01045-0061,0.45,109.0,21300000,16800000,,1.25,200.0,,34.0,MIDTOWN EAST,100000.0,D4-ELEVATOR,"{'latitude': '40.766588599627', 'longitude': '-73.986645207292', 'human_address': '{""address"": ""840A 9 AVENUE"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}"
1-02077-0041,1920.0,17.59,1910,1-02072-0006,0.2,26.0,1280000,1250000,,0.25,66.0,,20.0,HARLEM-UPPER,17205.0,C6-WALK-UP,"{'latitude': '40.822895093457', 'longitude': '-73.951807261042', 'human_address': '{""address"": ""563 140 STREET"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}"
1-01046-0056,1911.0,31.4,1920,1-01046-0009,0.5,96.0,6500000,6820000,,0.0,146.0,,30.0,MIDTOWN WEST,53952.0,D4-ELEVATOR,"{'latitude': '40.644297438436', 'longitude': '-74.016474634526', 'human_address': '{""address"": ""347 55 STREET"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}"
