address_1,enclosed_mall_gross_floor,number_of_buildings,last_modified_date_property_2,hospital_general_medical,property_gfa_calculated_2,strip_mall_gross_floor_area,data_center_ups_output_meter,parking_completely_enclosed,data_center_it_source_energy,municipally_supplied_potable_2,national_median_source_eui,city,supermarket_grocery_number_1,data_center_it_site_energy,last_modified_date_electric,municipally_supplied_potable,multifamily_housing_gross,natural_gas_weather_normalized_1,wholesale_club_supercenter,weather_normalized_source,metered_areas_energy,community_board,bank_branch_gross_floor_area,_2nd_largest_property_use,financial_office_weekly,green_power_onsite_and_offsite,alert_energy_meter_has_gaps,data_center_ups_system,national_median_total_location,data_center_national_median,estimated_values_energy,multifamily_housing_number_2,senior_living_community_living,district_hot_water_use_kbtu,financial_office_number_of_1,water_use_all_water_sources,retail_store_gross_floor,target_energy_star_score,borough,kerosene_use_kbtu,hospital_general_medical_7,electricity_weather_normalized,medical_office_number_of_1,k_12_school_gross_floor_area,senior_living_community_gross,percent_of_recs_retained
430 EAST 80 STREET,Not Available,1,2023-03-31T00:00:00.000,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,1625.5,107.5,New York,Not Available,Not Available,2023-04-07T00:00:00.000,Not Available,Not Available,0.6,Not Available,201.1,Whole Property,108.0,Not Available,Not Available,Not Available,0,Ok,Not Available,147.5,Not Available,No,Not Available,Not Available,Not Available,Not Available,1625.5,Not Available,Not Available,MANHATTAN,Not Available,Not Available,566863.8,Not Available,Not Available,Not Available,Not Available
825 East 141 Street,Not Available,1,2023-04-20T00:00:00.000,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,629.1,192.3,Bronx,Not Available,Not Available,2023-04-13T00:00:00.000,Not Available,Not Available,0.1,Not Available,32.2,Whole Property,201.0,Not Available,Retail Store,Not Available,0,Ok,Not Available,1924,Not Available,No,Not Available,Not Available,Not Available,Not Available,629.1,33570,Not Available,BRONX,Not Available,Not Available,644670.9,Not Available,Not Available,Not Available,Not Available
"34 WEST 32 STREET, 10001",Not Available,1,2022-04-07T00:00:00.000,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,2785,153,New York,Not Available,Not Available,2023-03-21T00:00:00.000,Not Available,Not Available,0.2,Not Available,169.1,Whole Property,105.0,Not Available,Not Available,Not Available,0,Ok,Not Available,316.6,Not Available,No,Not Available,Not Available,Not Available,Not Available,2785,Not Available,Not Available,MANHATTAN,Not Available,Not Available,697371.6,Not Available,Not Available,Not Available,Not Available
500 West 144th street/144 Hamilton Place,Not Available,1,2022-05-17T00:00:00.000,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,5761.2,122.7,New York,Not Available,Not Available,2023-03-03T00:00:00.000,Not Available,56688,0.5,Not Available,98.1,Whole Property,,Not Available,Not Available,Not Available,0,Ok,Not Available,287.8,Not Available,No,Not Available,Not Available,Not Available,Not Available,5761.2,Not Available,Not Available,,Not Available,Not Available,256762.3,Not Available,Not Available,Not Available,Not Available
1824 Madison Avenue,Not Available,1,2020-04-17T00:00:00.000,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,2159.4,334.4,New York,Not Available,Not Available,2023-03-10T00:00:00.000,Not Available,Not Available,0.6,Not Available,346,Whole Property,111.0,Not Available,Not Available,Not Available,0,Ok,Not Available,334.1,Not Available,No,Not Available,Not Available,Not Available,Not Available,2159.4,Not Available,Not Available,MANHATTAN,Not Available,Not Available,888259.5,Not Available,Not Available,Not Available,Not Available
2111 ALBEMARLE RD,Not Available,1,2014-08-05T00:00:00.000,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,8185.2,109.1,Brooklyn,Not Available,Not Available,2023-03-06T00:00:00.000,Not Available,129817,0.5,Not Available,87.7,Whole Property,314.0,Not Available,Not Available,Not Available,0,Ok,Not Available,605.8,Not Available,No,0,Not Available,Not Available,Not Available,8185.2,Not Available,Not Available,BROOKLYN,Not Available,Not Available,437477.9,Not Available,Not Available,Not Available,Not Available
31-64 21st Street,Not Available,1,2023-03-14T00:00:00.000,Not Available,1250,Not Available,Not Available,1250,Not Available,1734,132.4,Queens,Not Available,Not Available,2023-03-09T00:00:00.000,Not Available,46333,52.9,Not Available,95,Whole Property,401.0,Not Available,Parking,Not Available,0,Ok,Not Available,255.7,Not Available,No,Not Available,Not Available,Not Available,Not Available,1734,Not Available,Not Available,QUEENS,Not Available,Not Available,191440.5,Not Available,Not Available,Not Available,Not Available
685 East 228 Street,Not Available,1,2022-10-19T00:00:00.000,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,2459.2,115.9,Bronx,Not Available,Not Available,2023-03-10T00:00:00.000,Not Available,28495,0.1,Not Available,110.1,Whole Property,212.0,Not Available,Not Available,Not Available,0,Ok,Not Available,189.2,Not Available,Yes,0,Not Available,Not Available,Not Available,2459.2,Not Available,Not Available,BRONX,Not Available,Not Available,108835.8,Not Available,Not Available,Not Available,Not Available
1981-1995 Sedgwick Avenue,Not Available,2,2020-01-22T00:00:00.000,Not Available,18900,Not Available,Not Available,18900,Not Available,14779.3,128.6,Bronx,Not Available,Not Available,2023-04-14T00:00:00.000,Not Available,202600,Not Available,Not Available,26.8,Whole Property,205.0,Not Available,Parking,Not Available,0,Ok,Not Available,794.4,Not Available,No,0,Not Available,Not Available,Not Available,14779.3,Not Available,90,BRONX,Not Available,Not Available,574204.5,Not Available,Not Available,Not Available,Not Available
1160 5th Avenue,Not Available,1,2020-01-21T00:00:00.000,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,2908,125.9,New York,Not Available,Not Available,2023-04-10T00:00:00.000,Not Available,90849,0.5,Not Available,96.5,Whole Property,111.0,Not Available,Office,Not Available,0,Ok,Not Available,532.4,Not Available,No,0,Not Available,Not Available,Not Available,2908,Not Available,90,MANHATTAN,Not Available,Not Available,530075.5,Not Available,Not Available,Not Available,Not Available
2050 Second Ave,Not Available,1,2022-07-29T00:00:00.000,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,142.2,New York,Not Available,Not Available,2023-03-05T00:00:00.000,Not Available,Not Available,35.2,Not Available,187.3,Whole Property,111.0,Not Available,Not Available,Not Available,0,Ok,Not Available,247.9,Not Available,No,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,MANHATTAN,Not Available,Not Available,807188.6,Not Available,51286,Not Available,Not Available
1850 Ocean Pkwy,Not Available,1,2022-05-23T00:00:00.000,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,3432.1,100.6,Brooklyn,Not Available,Not Available,2023-03-18T00:00:00.000,Not Available,97744,0.5,Not Available,75.3,Whole Property,315.0,Not Available,Not Available,Not Available,0,Ok,Not Available,426.4,Not Available,Yes,0,Not Available,Not Available,Not Available,3432.1,Not Available,Not Available,BROOKLYN,Not Available,Not Available,265334.6,Not Available,Not Available,Not Available,Not Available
165 Eldridge Street,Not Available,1,2023-02-01T00:00:00.000,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,118.1,New York,Not Available,Not Available,2023-03-03T00:00:00.000,Not Available,32700,0.5,Not Available,112.8,Whole Property,103.0,Not Available,Not Available,Not Available,0,Ok,Not Available,148.8,Not Available,Yes,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,MANHATTAN,Not Available,Not Available,223324.9,Not Available,Not Available,Not Available,Not Available
97-07 67th Avenue,Not Available,1,2020-03-12T00:00:00.000,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,125.7,Queens,Not Available,Not Available,2023-03-18T00:00:00.000,Not Available,54271,0.7,Not Available,105.4,Whole Property,406.0,Not Available,Not Available,Not Available,0,Ok,Not Available,304.4,Not Available,No,0,Not Available,Not Available,Not Available,Not Available,Not Available,90,QUEENS,Not Available,Not Available,165213,Not Available,Not Available,Not Available,Not Available
151 Kent Avenue,Not Available,1,2023-02-01T00:00:00.000,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,687.3,116.7,Brooklyn,Not Available,Not Available,2023-03-03T00:00:00.000,Not Available,54000,Not Available,Not Available,34.1,Whole Property,301.0,Not Available,Not Available,Not Available,0,Ok,Not Available,190.2,Not Available,No,Not Available,Not Available,Not Available,Not Available,687.3,Not Available,Not Available,BROOKLYN,Not Available,Not Available,192464,Not Available,Not Available,Not Available,Not Available
5 Minerva Place,Not Available,1,2021-04-22T00:00:00.000,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,8214.3,118.1,Bronx,Not Available,Not Available,2023-03-29T00:00:00.000,Not Available,86275,0.6,Not Available,92.6,Whole Property,207.0,Not Available,Retail Store,Not Available,0,Ok,Not Available,455.8,Not Available,No,0,Not Available,Not Available,Not Available,8214.3,2000,90,BRONX,Not Available,Not Available,276785.4,Not Available,Not Available,Not Available,Not Available
37-11 23rd Street,Not Available,1,2023-01-19T00:00:00.000,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,2803,178,Long Island City,Not Available,Not Available,2023-03-10T00:00:00.000,Not Available,Not Available,50,Not Available,178.2,Whole Property,401.0,Not Available,Not Available,Not Available,0,Ok,Not Available,255.1,Not Available,No,Not Available,Not Available,Not Available,Not Available,2803,Not Available,Not Available,QUEENS,Not Available,Not Available,520757.2,Not Available,Not Available,Not Available,Not Available
84 Ross Street,Not Available,1,2022-05-16T00:00:00.000,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,112,Brooklyn,Not Available,Not Available,,Not Available,93538,0.8,Not Available,79.1,Whole Property,301.0,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,529.8,Not Available,No,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,BROOKLYN,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
2345 60th Street,Not Available,1,2022-07-27T00:00:00.000,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,112.7,Brooklyn,Not Available,Not Available,2023-03-03T00:00:00.000,Not Available,25382,0.1,Not Available,48.1,Whole Property,312.0,Not Available,Not Available,Not Available,0,Ok,Not Available,101.8,Not Available,No,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,BROOKLYN,Not Available,Not Available,94023,Not Available,Not Available,Not Available,Not Available
3427 Broadway,Not Available,1,2022-02-02T00:00:00.000,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,4022.1,121.7,New York,Not Available,Not Available,2023-03-03T00:00:00.000,Not Available,34790,25.8,Not Available,179.6,Whole Property,109.0,Not Available,Not Available,Not Available,0,Ok,Not Available,244.1,Not Available,No,Not Available,Not Available,Not Available,Not Available,4022.1,Not Available,Not Available,MANHATTAN,Not Available,Not Available,184634.9,Not Available,Not Available,Not Available,Not Available
607 West 47 Street,Not Available,1,2022-12-14T00:00:00.000,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,121.9,47.8,New York,Not Available,Not Available,2023-03-03T00:00:00.000,Not Available,Not Available,0,Not Available,63.7,Whole Property,104.0,Not Available,Not Available,Not Available,0,Ok,Not Available,77.4,Not Available,Yes,Not Available,Not Available,Not Available,Not Available,121.9,Not Available,Not Available,MANHATTAN,Not Available,Not Available,332702,Not Available,Not Available,Not Available,Not Available
2820 Middle Town Road,Not Available,1,2022-12-13T00:00:00.000,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,128.7,Bronx,Not Available,Not Available,2023-03-03T00:00:00.000,Not Available,25200,108.3,Not Available,163.7,Whole Property,,Not Available,Not Available,Not Available,0,Ok,Not Available,143,Not Available,No,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,,Not Available,Not Available,132018.9,Not Available,Not Available,Not Available,Not Available
